lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
406631.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17
406630.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17
406629.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17
406474.0,,nayagarh,2471611166,Kaptapalli,hsc,0.09,0.04
406470.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0
406475.0,,nayagarh,2471611166,Kaptapalli,hsc,1.12,0.47
406476.0,,nayagarh,2471611166,Kaptapalli,hsc,0.51,0.21
406440.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0
406469.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0
406467.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0
406477.0,,nayagarh,2471611166,Kaptapalli,hsc,20.64,8.55
406503.0,,nayagarh,2471611166,Kaptapalli,hsc,0.29,0.12
406502.0,,nayagarh,2471611166,Kaptapalli,hsc,1.12,0.47
406473.0,,nayagarh,2471611166,Kaptapalli,hsc,9.69,3.98
406472.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0
406468.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0
406471.0,,nayagarh,2471611166,Kaptapalli,hsc,9.69,3.98
406439.0,,nayagarh,2471611166,Kaptapalli,hsc,0.0,0.0
406632.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406581.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406557.0,,nayagarh,8442822279,Sunamuhin,hsc,4.81,2.01
406514.0,,nayagarh,7236837667,Dandor,hsc,3.2,1.33
406561.0,,nayagarh,1854783816,Rohibanka,hsc,1.66,1.8
406593.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406611.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406573.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406550.0,,nayagarh,7236837667,Dandor,hsc,0.0,0.0
406549.0,,nayagarh,7236837667,Dandor,hsc,0.0,0.0
406511.0,,nayagarh,7872174185,Giridipalli,hsc,2.42,1.01
406576.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406589.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406564.0,,nayagarh,5648482718,Komanda,hsc,0.0,0.0
406740.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406567.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406596.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406619.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406618.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406603.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17
406601.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17
406591.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406569.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406590.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406565.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406702.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406571.0,,nayagarh,8275753773,Banthapur,hsc,0.33,0.14
406706.0,,nayagarh,8275753773,Banthapur,hsc,0.0,0.0
406625.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17
406628.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17
406626.0,,nayagarh,1854783816,Rohibanka,hsc,1.08,1.17
