lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
422247.0,,nuapada,2418765877,Badibahal,hsc,0.42,0.28
422241.0,,nuapada,2418765877,Badibahal,hsc,45.45,29.41
422242.0,,nuapada,2418765877,Badibahal,hsc,39.48,27.11
422248.0,,nuapada,2418765877,Badibahal,hsc,0.86,0.57
422249.0,,nuapada,2418765877,Badibahal,hsc,2.22,1.48
422181.0,,nuapada,4776341762,Gorla,hsc,32.07,22.82
422229.0,,nuapada,7163768430,Kuliadunguri,hsc,0.28,0.18
422246.0,,nuapada,2418765877,Badibahal,hsc,0.0,0.0
422175.0,,nuapada,5363386771,Nangalbord,hsc,6.89,2.87
422232.0,,nuapada,3442853853,Kendumunda,hsc,1.16,0.77
422231.0,,nuapada,7163768430,Kuliadunguri,hsc,0.28,0.18
422237.0,,nuapada,3442853853,Kendumunda,hsc,7.66,4.34
422233.0,,nuapada,3442853853,Kendumunda,hsc,1.48,0.99
422182.0,,nuapada,3442853853,Kendumunda,hsc,8.97,5.95
422170.0,,nuapada,5363386771,Nangalbord,hsc,11.64,4.84
422163.0,,nuapada,4776341762,Gorla,hsc,0.0,0.0
422160.0,,nuapada,4776341762,Gorla,hsc,7.53,3.14
422171.0,,nuapada,5363386771,Nangalbord,hsc,8.73,3.64
422173.0,,nuapada,5363386771,Nangalbord,hsc,4.44,1.85
422164.0,,nuapada,4776341762,Gorla,hsc,14.02,5.77
422140.0,,nuapada,5786617687,Karangamal,hsc,10.0,4.98
422159.0,,nuapada,8458564658,Niljee,hsc,4.27,5.93
422152.0,,nuapada,4776341762,Gorla,hsc,8.51,3.76
422176.0,,nuapada,5363386771,Nangalbord,hsc,13.29,5.48
422178.0,,nuapada,4776341762,Gorla,hsc,8.92,3.72
422165.0,,nuapada,4776341762,Gorla,hsc,11.1,4.55
422167.0,,nuapada,4776341762,Gorla,hsc,13.06,5.44
422243.0,,nuapada,3442853853,Kendumunda,hsc,8.06,5.38
422245.0,,nuapada,2418765877,Badibahal,hsc,0.86,0.57
422240.0,,nuapada,5363386771,Nangalbord,hsc,18.67,7.78
422184.0,,nuapada,3442853853,Kendumunda,hsc,6.59,4.37
422185.0,,nuapada,7163768430,Kuliadunguri,hsc,1.97,1.31
422179.0,,nuapada,4776341762,Gorla,hsc,4.33,1.79
422168.0,,nuapada,5363386771,Nangalbord,hsc,18.03,7.5
422157.0,,nuapada,8458564658,Niljee,hsc,1.54,2.18
422162.0,,nuapada,4776341762,Gorla,hsc,4.42,1.84
422158.0,,nuapada,8458564658,Niljee,hsc,2.12,3.01
422239.0,,nuapada,4776341762,Gorla,hsc,39.81,26.13
422238.0,,nuapada,3442853853,Kendumunda,hsc,4.39,2.92
422236.0,,nuapada,3442853853,Kendumunda,hsc,2.91,1.94
422235.0,,nuapada,3442853853,Kendumunda,hsc,9.88,6.56
422234.0,,nuapada,3442853853,Kendumunda,hsc,0.0,0.0
422172.0,,nuapada,5363386771,Nangalbord,hsc,11.88,4.95
422174.0,,nuapada,5363386771,Nangalbord,hsc,0.0,0.0
422177.0,,nuapada,5363386771,Nangalbord,hsc,12.55,5.18
422180.0,,nuapada,4776341762,Gorla,hsc,34.68,24.0
422183.0,,nuapada,8458564658,Niljee,hsc,7.33,6.97
422148.0,,nuapada,5363386771,Nangalbord,hsc,22.58,9.4
422186.0,,nuapada,8458564658,Niljee,hsc,0.0,0.0
422169.0,,nuapada,5363386771,Nangalbord,hsc,14.07,5.85
422166.0,,nuapada,4776341762,Gorla,hsc,8.82,3.64
422161.0,,nuapada,4776341762,Gorla,hsc,11.04,4.55
422244.0,,nuapada,3442853853,Kendumunda,hsc,5.55,3.7
422250.0,,nuapada,2418765877,Badibahal,hsc,2.22,1.48
422189.0,,nuapada,6841466433,Godal,hsc,5.3,4.38
422193.0,,nuapada,5846277274,Sinapali,hsc,0.0,0.0
422187.0,,nuapada,8458564658,Niljee,hsc,6.99,9.8
422253.0,,nuapada,2418765877,Badibahal,hsc,2.9,1.88
422227.0,,nuapada,5731516133,Singhjhar,hsc,2.08,1.38
422218.0,,nuapada,5484317283,Bharuamunda,hsc,0.0,0.0
422225.0,,nuapada,5846277274,Sinapali,hsc,2.48,2.74
422220.0,,nuapada,1424878146,Chalna,hsc,3.44,4.47
422230.0,,nuapada,7163768430,Kuliadunguri,hsc,0.28,0.18
422258.0,,nuapada,5731516133,Singhjhar,hsc,1.91,1.27
422203.0,,nuapada,1424878146,Chalna,hsc,1.43,1.09
422198.0,,nuapada,1424878146,Chalna,hsc,1.87,2.35
422205.0,,nuapada,2627875863,Makhapadar,hsc,0.12,0.17
422211.0,,nuapada,2486413384,Hatibandha,hsc,62.54,38.16
422142.0,,nuapada,5786617687,Karangamal,hsc,8.46,5.08
422257.0,,nuapada,8268454561,Bamniguda,hsc,2.02,1.35
422268.0,,nuapada,5484317283,Bharuamunda,hsc,1.58,0.62
422266.0,,nuapada,5484317283,Bharuamunda,hsc,1.58,0.62
422267.0,,nuapada,5484317283,Bharuamunda,hsc,1.58,0.62
422196.0,,nuapada,1424878146,Chalna,hsc,4.15,5.48
422147.0,,nuapada,5324828739,Gandabahali,hsc,3.58,1.74
422145.0,,nuapada,6354236884,Bargaon,hsc,0.0,0.0
422200.0,,nuapada,5324828739,Gandabahali,hsc,2.56,1.31
422146.0,,nuapada,5786617687,Karangamal,hsc,5.74,3.82
422199.0,,nuapada,5324828739,Gandabahali,hsc,5.99,2.74
422222.0,,nuapada,6841466433,Godal,hsc,2.14,1.43
422202.0,,nuapada,5324828739,Gandabahali,hsc,0.0,0.0
422201.0,,nuapada,5324828739,Gandabahali,hsc,0.36,0.24
422223.0,,nuapada,5731516133,Singhjhar,hsc,0.0,0.0
422219.0,,nuapada,5484317283,Bharuamunda,hsc,0.0,0.0
422265.0,,nuapada,5484317283,Bharuamunda,hsc,1.58,0.62
422217.0,,nuapada,5484317283,Bharuamunda,hsc,1.58,0.62
422255.0,,nuapada,8268454561,Bamniguda,hsc,9.44,6.25
422251.0,,nuapada,2418765877,Badibahal,hsc,2.22,1.48
422188.0,,nuapada,8458564658,Niljee,hsc,12.11,14.4
422262.0,,nuapada,8268454561,Bamniguda,hsc,2.58,1.72
422260.0,,nuapada,8268454561,Bamniguda,hsc,2.06,1.37
422264.0,,nuapada,5484317283,Bharuamunda,hsc,1.58,0.62
422254.0,,nuapada,8268454561,Bamniguda,hsc,0.0,0.0
422256.0,,nuapada,8268454561,Bamniguda,hsc,2.26,1.51
422259.0,,nuapada,8268454561,Bamniguda,hsc,1.2,0.8
422191.0,,nuapada,5846277274,Sinapali,hsc,7.95,6.25
422212.0,,nuapada,2486413384,Hatibandha,hsc,62.43,38.12
422194.0,,nuapada,5846277274,Sinapali,hsc,4.04,2.75
422144.0,,nuapada,5846277274,Sinapali,hsc,12.19,8.01
422204.0,,nuapada,2627875863,Makhapadar,hsc,0.75,1.06
422190.0,,nuapada,5846277274,Sinapali,hsc,5.47,5.06
422263.0,,nuapada,8268454561,Bamniguda,hsc,52.58,52.39
422261.0,,nuapada,8268454561,Bamniguda,hsc,4.69,3.13
422252.0,,nuapada,8268454561,Bamniguda,hsc,11.64,7.71
422269.0,,nuapada,2486413384,Hatibandha,hsc,4.41,5.15
422226.0,,nuapada,5731516133,Singhjhar,hsc,1.57,1.05
422228.0,,nuapada,7163768430,Kuliadunguri,hsc,0.0,0.0
422215.0,,nuapada,1424878146,Chalna,hsc,6.77,3.15
422214.0,,nuapada,2486413384,Hatibandha,hsc,4.92,5.99
422221.0,,nuapada,6841466433,Godal,hsc,0.86,0.58
422224.0,,nuapada,6841466433,Godal,hsc,0.0,0.0
422216.0,,nuapada,5484317283,Bharuamunda,hsc,2.58,1.06
422192.0,,nuapada,5846277274,Sinapali,hsc,2.45,1.62
422208.0,,nuapada,2486413384,Hatibandha,hsc,0.0,0.0
422207.0,,nuapada,2486413384,Hatibandha,hsc,2.63,2.1
422195.0,,nuapada,6354236884,Bargaon,hsc,11.3,7.21
422197.0,,nuapada,1424878146,Chalna,hsc,0.0,0.0
422143.0,,nuapada,5786617687,Karangamal,hsc,3.85,2.57
422141.0,,nuapada,5786617687,Karangamal,hsc,7.5,3.93
422206.0,,nuapada,2627875863,Makhapadar,hsc,0.0,0.0
422210.0,,nuapada,2486413384,Hatibandha,hsc,62.58,38.18
422209.0,,nuapada,2627875863,Makhapadar,hsc,4.89,6.69
422213.0,,nuapada,2486413384,Hatibandha,hsc,7.12,9.01
422270.0,,nuapada,2486413384,Hatibandha,hsc,4.41,5.15
421850.0,,nuapada,6631555619,Sunabeda,hsc,67.08,28.21
422096.0,,nuapada,7176846579,Boirgaon,hsc,17.41,7.25
422095.0,,nuapada,7176846579,Boirgaon,hsc,10.81,4.5
422090.0,,nuapada,7176846579,Boirgaon,hsc,13.67,5.64
422072.0,,nuapada,4663422782,Khaira,hsc,31.45,19.09
422121.0,,nuapada,8322818736,Litisargi,hsc,5.51,3.81
422151.0,,nuapada,4776341762,Gorla,hsc,13.14,5.65
422106.0,,nuapada,6484833519,Boden,hsc,1.59,1.89
422089.0,,nuapada,6484833519,Boden,hsc,6.19,3.18
421925.0,,nuapada,8446331285,Nagpada,hsc,8.05,3.36
422119.0,,nuapada,7176846579,Boirgaon,hsc,7.99,3.3
422154.0,,nuapada,8322818736,Litisargi,hsc,20.64,13.44
422149.0,,nuapada,7176846579,Boirgaon,hsc,30.29,12.62
422105.0,,nuapada,6484833519,Boden,hsc,0.0,0.0
422104.0,,nuapada,6484833519,Boden,hsc,1.96,2.0
422099.0,,nuapada,7176846579,Boirgaon,hsc,5.36,2.22
422088.0,,nuapada,6484833519,Boden,hsc,5.14,2.73
422118.0,,nuapada,8322818736,Litisargi,hsc,6.59,8.17
422117.0,,nuapada,8322818736,Litisargi,hsc,4.29,4.76
422107.0,,nuapada,7234546476,Sunapur,hsc,8.31,11.05
422091.0,,nuapada,2222222180,Bhainsadani,hsc,10.35,4.3
422139.0,,nuapada,1753834470,Kuleikela,hsc,8.61,3.93
422150.0,,nuapada,4776341762,Gorla,hsc,17.58,7.46
422120.0,,nuapada,8322818736,Litisargi,hsc,0.0,0.0
422102.0,,nuapada,6484833519,Boden,hsc,4.25,4.36
422100.0,,nuapada,7176846579,Boirgaon,hsc,3.48,1.45
422098.0,,nuapada,7176846579,Boirgaon,hsc,0.0,0.0
422097.0,,nuapada,7176846579,Boirgaon,hsc,19.43,8.09
422103.0,,nuapada,6484833519,Boden,hsc,7.91,5.66
422069.0,,nuapada,2222222180,Bhainsadani,hsc,31.52,12.96
422094.0,,nuapada,2222222180,Bhainsadani,hsc,33.22,13.77
422071.0,,nuapada,2222222180,Bhainsadani,hsc,9.79,4.06
422153.0,,nuapada,4776341762,Gorla,hsc,15.7,6.69
422087.0,,nuapada,7234546476,Sunapur,hsc,14.7,12.63
422092.0,,nuapada,2222222180,Bhainsadani,hsc,4.23,1.76
422086.0,,nuapada,7234546476,Sunapur,hsc,24.49,16.68
422093.0,,nuapada,2222222180,Bhainsadani,hsc,0.0,0.0
422070.0,,nuapada,2222222180,Bhainsadani,hsc,15.91,6.58
422085.0,,nuapada,4663422782,Khaira,hsc,24.83,16.32
422155.0,,nuapada,8322818736,Litisargi,hsc,11.62,6.52
422138.0,,nuapada,1753834470,Kuleikela,hsc,7.12,3.32
422156.0,,nuapada,8322818736,Litisargi,hsc,5.21,3.85
422101.0,,nuapada,6484833519,Boden,hsc,2.64,3.65
422073.0,,nuapada,4663422782,Khaira,hsc,28.72,17.95
421969.0,,nuapada,1886281771,Bhuliasikuan,hsc,8.4,6.49
422074.0,,nuapada,3548785140,Karlkot,hsc,14.48,9.47
421957.0,,nuapada,2682348756,Bargaon,hsc,19.84,14.74
422018.0,,nuapada,1284384540,Nehna,hsc,6.19,2.54
422075.0,,nuapada,4663422782,Khaira,hsc,7.13,2.93
422113.0,,nuapada,6824386327,Rokal,hsc,2.01,0.84
422039.0,,nuapada,4682741642,Dhanksar,hsc,9.72,3.89
422037.0,,nuapada,4682741642,Dhanksar,hsc,0.0,0.0
421962.0,,nuapada,2682348756,Bargaon,hsc,19.31,12.39
422116.0,,nuapada,8725676582,Pharsara,hsc,0.0,0.0
422052.0,,nuapada,4682741642,Dhanksar,hsc,11.04,4.48
422032.0,,nuapada,6874327148,Duajhar,hsc,6.99,2.8
422111.0,,nuapada,6824386327,Rokal,hsc,72.54,35.75
422112.0,,nuapada,6824386327,Rokal,hsc,0.0,0.0
422058.0,,nuapada,6874327148,Duajhar,hsc,3.92,1.58
422011.0,,nuapada,6148843268,Tukla,hsc,1.82,1.97
422122.0,,nuapada,1753834470,Kuleikela,hsc,3.59,2.0
422062.0,,nuapada,3284425471,Kirkita,hsc,4.38,3.89
422130.0,,nuapada,3832745347,Larka,hsc,49.95,26.33
422002.0,,nuapada,6413438760,Badmaheswar,hsc,5.06,4.83
421960.0,,nuapada,2682348756,Bargaon,hsc,21.11,11.39
421987.0,,nuapada,7333486418,Lanji,hsc,7.79,3.24
422022.0,,nuapada,1748264346,Birighat,hsc,0.0,0.0
422014.0,,nuapada,6386686650,Lachhipur,hsc,5.56,3.13
422036.0,,nuapada,4682741642,Dhanksar,hsc,4.36,1.73
422038.0,,nuapada,4682741642,Dhanksar,hsc,5.46,2.12
422035.0,,nuapada,6874327148,Duajhar,hsc,2.72,0.97
422123.0,,nuapada,1753834470,Kuleikela,hsc,0.0,0.0
421926.0,,nuapada,3548785140,Karlkot,hsc,0.0,0.0
422077.0,,nuapada,2167651229,Khudpej,hsc,2.6,2.38
422008.0,,nuapada,6413438760,Badmaheswar,hsc,4.16,2.92
421982.0,,nuapada,2167651229,Khudpej,hsc,0.0,0.0
422060.0,,nuapada,1368483663,Kotamal,hsc,8.78,3.63
422048.0,,nuapada,6886128724,Khasbahal,hsc,9.66,4.02
422127.0,,nuapada,6824386327,Rokal,hsc,6.57,2.85
422034.0,,nuapada,6874327148,Duajhar,hsc,0.0,0.0
422023.0,,nuapada,1748264346,Birighat,hsc,4.68,1.9
422033.0,,nuapada,1748264346,Birighat,hsc,2.21,0.92
421968.0,,nuapada,1886281771,Bhuliasikuan,hsc,7.08,5.28
421961.0,,nuapada,2682348756,Bargaon,hsc,20.64,12.91
421991.0,,nuapada,2167651229,Khudpej,hsc,23.28,13.69
422025.0,,nuapada,1748264346,Birighat,hsc,9.37,3.9
421988.0,,nuapada,7333486418,Lanji,hsc,6.8,2.83
422027.0,,nuapada,3832745347,Larka,hsc,55.93,28.83
422108.0,,nuapada,8725676582,Pharsara,hsc,5.17,2.95
422110.0,,nuapada,7333486418,Lanji,hsc,10.36,4.31
422021.0,,nuapada,1748264346,Birighat,hsc,16.3,8.31
422020.0,,nuapada,1284384540,Nehna,hsc,6.16,3.24
422019.0,,nuapada,1284384540,Nehna,hsc,0.0,0.0
422129.0,,nuapada,3832745347,Larka,hsc,0.0,0.0
422001.0,,nuapada,6413438760,Badmaheswar,hsc,0.0,0.0
421972.0,,nuapada,3366482465,Bhojpur,hsc,5.47,2.23
421976.0,,nuapada,3366482465,Bhojpur,hsc,11.29,8.68
422078.0,,nuapada,5187247837,Damjhar,hsc,6.65,2.74
422080.0,,nuapada,4663422782,Khaira,hsc,6.99,2.88
421966.0,,nuapada,3366482465,Bhojpur,hsc,6.21,2.53
421958.0,,nuapada,2682348756,Bargaon,hsc,18.47,12.79
421950.0,,nuapada,5187247837,Damjhar,hsc,54.67,37.3
422056.0,,nuapada,1368483663,Kotamal,hsc,0.0,0.0
421973.0,,nuapada,3366482465,Bhojpur,hsc,6.16,3.12
422064.0,,nuapada,3284425471,Kirkita,hsc,11.32,5.96
422053.0,,nuapada,1368483663,Kotamal,hsc,4.51,1.94
422059.0,,nuapada,6874327148,Duajhar,hsc,4.37,3.14
422057.0,,nuapada,1368483663,Kotamal,hsc,7.62,3.17
422015.0,,nuapada,1284384540,Nehna,hsc,3.17,1.32
421994.0,,nuapada,1675412124,Khariar,hsc,5.41,2.52
422109.0,,nuapada,7333486418,Lanji,hsc,10.36,4.31
421989.0,,nuapada,7333486418,Lanji,hsc,0.0,0.0
421992.0,,nuapada,1748264346,Birighat,hsc,7.55,3.11
421993.0,,nuapada,1748264346,Birighat,hsc,21.6,8.88
422017.0,,nuapada,6386686650,Lachhipur,hsc,0.0,0.0
421985.0,,nuapada,7333486418,Lanji,hsc,4.97,2.06
422084.0,,nuapada,7234546476,Sunapur,hsc,0.0,0.0
422068.0,,nuapada,7333486418,Lanji,hsc,46.76,26.69
421974.0,,nuapada,3366482465,Bhojpur,hsc,11.51,8.99
422082.0,,nuapada,4663422782,Khaira,hsc,0.0,0.0
421970.0,,nuapada,3366482465,Bhojpur,hsc,6.07,2.49
421959.0,,nuapada,2682348756,Bargaon,hsc,0.0,0.0
421963.0,,nuapada,2682348756,Bargaon,hsc,21.6,13.34
422067.0,,nuapada,7333486418,Lanji,hsc,40.6,23.85
422054.0,,nuapada,1368483663,Kotamal,hsc,13.08,5.6
422136.0,,nuapada,5786617687,Karangamal,hsc,0.0,0.0
422125.0,,nuapada,5786617687,Karangamal,hsc,5.91,3.59
422131.0,,nuapada,3832745347,Larka,hsc,15.35,6.37
422132.0,,nuapada,3832745347,Larka,hsc,3.97,1.65
422126.0,,nuapada,1753834470,Kuleikela,hsc,12.12,8.07
422047.0,,nuapada,6886128724,Khasbahal,hsc,13.59,5.64
422128.0,,nuapada,3832745347,Larka,hsc,2.54,1.06
422031.0,,nuapada,1748264346,Birighat,hsc,17.86,7.38
422028.0,,nuapada,3832745347,Larka,hsc,57.77,29.6
422049.0,,nuapada,6886128724,Khasbahal,hsc,0.0,0.0
422115.0,,nuapada,8725676582,Pharsara,hsc,5.55,3.11
421967.0,,nuapada,1886281771,Bhuliasikuan,hsc,0.0,0.0
421952.0,,nuapada,2682348756,Bargaon,hsc,24.67,18.09
421999.0,,nuapada,3366482465,Bhojpur,hsc,7.99,3.63
422009.0,,nuapada,6386686650,Lachhipur,hsc,5.38,2.22
422135.0,,nuapada,5786617687,Karangamal,hsc,11.0,5.29
421990.0,,nuapada,7333486418,Lanji,hsc,7.08,2.92
250557.0,,nuapada,1675412124,Khariar,hsc,0.0,0.0
421984.0,,nuapada,7333486418,Lanji,hsc,6.39,2.6
421983.0,,nuapada,2167651229,Khudpej,hsc,25.83,14.73
421980.0,,nuapada,1675412124,Khariar,hsc,9.63,4.32
422083.0,,nuapada,4663422782,Khaira,hsc,4.16,4.12
421995.0,,nuapada,1675412124,Khariar,hsc,3.93,2.85
421996.0,,nuapada,1675412124,Khariar,hsc,4.64,4.58
422081.0,,nuapada,4663422782,Khaira,hsc,5.2,5.07
422079.0,,nuapada,7333486418,Lanji,hsc,39.95,23.25
421979.0,,nuapada,2167651229,Khudpej,hsc,3.1,2.84
421951.0,,nuapada,5187247837,Damjhar,hsc,54.84,37.38
422003.0,,nuapada,1874645763,Amlapali,hsc,5.49,2.47
