lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
426475.0,,rayagada,1755326129,Cheka,hsc,63.51,41.51
426478.0,,rayagada,1755326129,Cheka,hsc,63.51,41.51
426476.0,,rayagada,1755326129,Cheka,hsc,63.46,41.48
426477.0,,rayagada,1755326129,Cheka,hsc,63.46,41.48
426117.0,,rayagada,8474265660,D Korala,hsc,17.27,11.35
426115.0,,rayagada,8474265660,D Korala,hsc,15.05,9.87
426114.0,,rayagada,8474265660,D Korala,hsc,13.83,9.06
426116.0,,rayagada,8474265660,D Korala,hsc,17.27,11.35
425986.0,,rayagada,6886416426,Kucheipadar,hsc,1.55,1.03
426174.0,,rayagada,1381487378,Bankamba,hsc,2.87,1.91
426176.0,,rayagada,8474265660,D Korala,hsc,0.53,0.35
426145.0,,rayagada,6886416426,Kucheipadar,hsc,1.51,1.01
426146.0,,rayagada,6886416426,Kucheipadar,hsc,0.79,0.53
426142.0,,rayagada,6886416426,Kucheipadar,hsc,1.7,1.13
426141.0,,rayagada,6886416426,Kucheipadar,hsc,3.04,2.03
426152.0,,rayagada,2736881349,Godibali,hsc,3.45,2.3
426150.0,,rayagada,7138442467,Badalijharan,hsc,3.27,2.18
426151.0,,rayagada,7138442467,Badalijharan,hsc,1.8,1.2
426138.0,,rayagada,7138442467,Badalijharan,hsc,0.58,0.39
426170.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,3.16,2.11
426171.0,,rayagada,6886416426,Kucheipadar,hsc,2.91,1.95
426167.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,0.0,0.0
426169.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,2.77,1.84
426168.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,1.45,0.97
426159.0,,rayagada,2736881349,Godibali,hsc,6.59,4.41
426161.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,21.33,14.14
426165.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,20.21,13.39
426164.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,20.19,13.37
426163.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,20.21,13.39
426166.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,20.11,13.32
426156.0,,rayagada,2736881349,Godibali,hsc,3.8,2.53
426157.0,,rayagada,2736881349,Godibali,hsc,3.88,2.59
426154.0,,rayagada,2736881349,Godibali,hsc,3.66,2.44
426105.0,,rayagada,1381487378,Bankamba,hsc,0.1,0.07
426113.0,,rayagada,8474265660,D Korala,hsc,13.83,9.06
426111.0,,rayagada,8474265660,D Korala,hsc,0.0,0.0
426112.0,,rayagada,8474265660,D Korala,hsc,0.0,0.0
426175.0,,rayagada,8474265660,D Korala,hsc,0.84,0.56
426148.0,,rayagada,6886416426,Kucheipadar,hsc,3.21,2.14
426162.0,,rayagada,2736881349,Godibali,hsc,184.39,167.12
426155.0,,rayagada,2832815886,Sundhusali (Ladakhaman),hsc,0.0,0.0
426160.0,,rayagada,2736881349,Godibali,hsc,6.59,4.41
426153.0,,rayagada,2736881349,Godibali,hsc,3.57,2.38
426149.0,,rayagada,7138442467,Badalijharan,hsc,3.39,2.26
426137.0,,rayagada,7138442467,Badalijharan,hsc,1.7,1.13
426147.0,,rayagada,6886416426,Kucheipadar,hsc,0.0,0.0
426158.0,,rayagada,2736881349,Godibali,hsc,6.59,4.41
426480.0,,rayagada,1755326129,Cheka,hsc,2.47,1.0
426481.0,,rayagada,1755326129,Cheka,hsc,2.47,1.0
426474.0,,rayagada,8385423812,Kutuli,hsc,6.47,9.15
426479.0,,rayagada,1755326129,Cheka,hsc,13.17,7.25
426484.0,,rayagada,1755326129,Cheka,hsc,7.88,3.37
426482.0,,rayagada,1755326129,Cheka,hsc,0.0,0.0
426483.0,,rayagada,1755326129,Cheka,hsc,7.88,3.37
426486.0,,rayagada,1755326129,Cheka,hsc,9.44,4.76
426471.0,,rayagada,8385423812,Kutuli,hsc,2.83,4.01
426472.0,,rayagada,8385423812,Kutuli,hsc,3.35,4.74
426485.0,,rayagada,1755326129,Cheka,hsc,7.88,3.37
426473.0,,rayagada,8385423812,Kutuli,hsc,4.41,6.24
426487.0,,rayagada,1755326129,Cheka,hsc,17.44,8.08
426488.0,,rayagada,5644736679,Kumbhikota,hsc,22.22,14.25
426490.0,,rayagada,5644736679,Kumbhikota,hsc,2.41,3.42
426489.0,,rayagada,5644736679,Kumbhikota,hsc,1.95,2.76
426470.0,,rayagada,8385423812,Kutuli,hsc,0.47,0.67
426109.0,,rayagada,1381487378,Bankamba,hsc,0.05,0.03
426425.0,,rayagada,6571854485,Gumma,hsc,6.47,3.19
426379.0,,rayagada,6571854485,Gumma,hsc,8.08,4.24
426429.0,,rayagada,5644736679,Kumbhikota,hsc,1.94,2.74
426375.0,,rayagada,6571854485,Gumma,hsc,10.63,5.3
426373.0,,rayagada,6571854485,Gumma,hsc,9.65,4.86
426469.0,,rayagada,8385423812,Kutuli,hsc,0.0,0.0
426493.0,,rayagada,5644736679,Kumbhikota,hsc,1.07,1.51
426492.0,,rayagada,5644736679,Kumbhikota,hsc,1.94,2.75
426374.0,,rayagada,6571854485,Gumma,hsc,10.65,5.3
426468.0,,rayagada,8385423812,Kutuli,hsc,1.9,2.67
426377.0,,rayagada,6571854485,Gumma,hsc,10.65,5.3
426491.0,,rayagada,5644736679,Kumbhikota,hsc,2.41,3.42
426466.0,,rayagada,5644736679,Kumbhikota,hsc,0.0,0.0
426465.0,,rayagada,5644736679,Kumbhikota,hsc,0.56,0.79
426464.0,,rayagada,5644736679,Kumbhikota,hsc,0.78,1.1
426372.0,,rayagada,6571854485,Gumma,hsc,7.76,4.06
426376.0,,rayagada,6571854485,Gumma,hsc,10.63,5.3
426378.0,,rayagada,6571854485,Gumma,hsc,10.63,5.3
426428.0,,rayagada,6571854485,Gumma,hsc,6.64,3.23
426467.0,,rayagada,5644736679,Kumbhikota,hsc,0.73,1.03
425998.0,,rayagada,6571854485,Gumma,hsc,10.65,5.3
426005.0,,rayagada,4656688415,Dongasil,hsc,0.0,0.0
426002.0,,rayagada,4656688415,Dongasil,hsc,0.0,0.0
426001.0,,rayagada,4656688415,Dongasil,hsc,0.0,0.0
426000.0,,rayagada,4656688415,Dongasil,hsc,0.0,0.0
425987.0,,rayagada,6886416426,Kucheipadar,hsc,1.5,1.0
426053.0,,rayagada,6571854485,Gumma,hsc,10.65,5.3
426144.0,,rayagada,7257454475,Podapadi,hsc,0.67,0.28
426067.0,,rayagada,7362588811,Tikiri,hsc,6.62,3.35
426066.0,,rayagada,4818817530,Dudukabahal,hsc,1.09,1.18
426057.0,,rayagada,4818817530,Dudukabahal,hsc,1.98,2.15
426049.0,,rayagada,4818817530,Dudukabahal,hsc,1.91,2.07
426064.0,,rayagada,4818817530,Dudukabahal,hsc,0.95,1.03
426050.0,,rayagada,4818817530,Dudukabahal,hsc,1.94,2.11
426051.0,,rayagada,4171525316,Gorkhpur,hsc,2.14,2.33
426055.0,,rayagada,4171525316,Gorkhpur,hsc,2.19,2.38
426054.0,,rayagada,4656688415,Dongasil,hsc,0.23,0.21
426056.0,,rayagada,7631112328,Panchali,hsc,3.0,2.75
426119.0,,rayagada,4656688415,Dongasil,hsc,0.46,0.43
426118.0,,rayagada,7631112328,Panchali,hsc,2.81,2.58
426085.0,,rayagada,4656688415,Dongasil,hsc,5.85,5.36
426087.0,,rayagada,4656688415,Dongasil,hsc,1.65,1.51
426083.0,,rayagada,4656688415,Dongasil,hsc,0.08,0.08
426084.0,,rayagada,4656688415,Dongasil,hsc,1.95,1.78
426086.0,,rayagada,4656688415,Dongasil,hsc,4.71,4.31
426079.0,,rayagada,7631112328,Panchali,hsc,0.14,0.13
426092.0,,rayagada,7631112328,Panchali,hsc,1.48,1.35
426088.0,,rayagada,4656688415,Dongasil,hsc,2.31,2.12
426081.0,,rayagada,4656688415,Dongasil,hsc,0.95,0.87
