lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
382348.0,,sambalpur,1846277646,Badmal,hsc,24.87,10.35
382349.0,,sambalpur,1846277646,Badmal,hsc,0.0,0.0
382350.0,,sambalpur,1846277646,Badmal,hsc,2.83,1.18
382351.0,,sambalpur,1846277646,Badmal,hsc,3.06,1.28
382352.0,,sambalpur,1846277646,Badmal,hsc,5.13,2.14
382354.0,,sambalpur,1846277646,Badmal,hsc,6.53,2.72
382353.0,,sambalpur,1846277646,Badmal,hsc,5.1,2.12
382355.0,,sambalpur,1846277646,Badmal,hsc,4.76,1.98
382356.0,,sambalpur,1846277646,Badmal,hsc,6.53,2.72
382357.0,,sambalpur,1846277646,Badmal,hsc,6.23,2.6
382364.0,,sambalpur,7781756585,Tribanpur,hsc,69.85,36.31
382363.0,,sambalpur,7781756585,Tribanpur,hsc,69.85,36.31
382365.0,,sambalpur,7781756585,Tribanpur,hsc,69.3,36.07
382366.0,,sambalpur,7781756585,Tribanpur,hsc,9.38,6.09
382447.0,,sambalpur,7781756585,Tribanpur,hsc,66.69,34.99
382359.0,,sambalpur,7781756585,Tribanpur,hsc,9.38,6.09
382358.0,,sambalpur,6757875577,Charmal,hsc,13.16,17.93
382503.0,,sambalpur,7781756585,Tribanpur,hsc,24.2,10.2
382506.0,,sambalpur,7781756585,Tribanpur,hsc,34.76,16.45
382499.0,,sambalpur,7781756585,Tribanpur,hsc,38.26,37.66
382498.0,,sambalpur,4523647834,Badbahal,hsc,16.4,10.82
382502.0,,sambalpur,7781756585,Tribanpur,hsc,36.8,17.39
382501.0,,sambalpur,7781756585,Tribanpur,hsc,37.74,18.43
382496.0,,sambalpur,4523647834,Badbahal,hsc,8.94,11.12
382504.0,,sambalpur,7781756585,Tribanpur,hsc,32.25,14.77
382505.0,,sambalpur,7781756585,Tribanpur,hsc,33.02,15.29
382500.0,,sambalpur,7781756585,Tribanpur,hsc,36.6,17.68
