lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
419806.0,,sonepur,8415113151,Charbhatta,hsc,10.18,4.66
419808.0,,sonepur,8415113151,Charbhatta,hsc,8.81,5.13
419811.0,,sonepur,8415113151,Charbhatta,hsc,12.84,6.96
419813.0,,sonepur,8415113151,Charbhatta,hsc,12.81,6.95
419784.0,,sonepur,1685122168,Singhari,hsc,14.62,6.02
419789.0,,sonepur,1685122168,Singhari,hsc,8.44,3.43
419809.0,,sonepur,8415113151,Charbhatta,hsc,10.06,5.97
419781.0,,sonepur,1685122168,Singhari,hsc,17.91,7.36
419772.0,,sonepur,1685122168,Singhari,hsc,6.0,2.44
419792.0,,sonepur,8415113151,Charbhatta,hsc,7.92,3.23
419790.0,,sonepur,1685122168,Singhari,hsc,11.46,4.73
419786.0,,sonepur,1685122168,Singhari,hsc,11.45,4.7
419791.0,,sonepur,8415113151,Charbhatta,hsc,9.52,3.89
419794.0,,sonepur,8415113151,Charbhatta,hsc,8.3,3.38
419810.0,,sonepur,8415113151,Charbhatta,hsc,9.7,5.73
419797.0,,sonepur,8415113151,Charbhatta,hsc,3.78,1.66
419796.0,,sonepur,8415113151,Charbhatta,hsc,0.0,0.0
419783.0,,sonepur,1685122168,Singhari,hsc,12.24,5.02
419805.0,,sonepur,8415113151,Charbhatta,hsc,11.46,5.18
419804.0,,sonepur,8415113151,Charbhatta,hsc,7.63,3.6
419814.0,,sonepur,8415113151,Charbhatta,hsc,14.47,7.64
419785.0,,sonepur,1685122168,Singhari,hsc,14.53,5.97
419807.0,,sonepur,8415113151,Charbhatta,hsc,8.16,4.7
419795.0,,sonepur,8415113151,Charbhatta,hsc,8.85,3.6
419780.0,,sonepur,3627441870,Brahmani,hsc,14.1,5.87
419762.0,,sonepur,8415113151,Charbhatta,hsc,14.88,6.15
419801.0,,sonepur,8415113151,Charbhatta,hsc,12.14,5.46
419803.0,,sonepur,8415113151,Charbhatta,hsc,9.64,4.44
419799.0,,sonepur,8415113151,Charbhatta,hsc,9.81,4.47
419776.0,,sonepur,1685122168,Singhari,hsc,5.84,2.41
419766.0,,sonepur,1685122168,Singhari,hsc,25.12,10.35
419736.0,,sonepur,3627441870,Brahmani,hsc,6.4,3.91
419802.0,,sonepur,8415113151,Charbhatta,hsc,11.06,5.03
419768.0,,sonepur,8415113151,Charbhatta,hsc,11.12,4.55
419767.0,,sonepur,8415113151,Charbhatta,hsc,10.63,4.38
419778.0,,sonepur,1685122168,Singhari,hsc,11.84,4.83
