lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
383618.0,,sundargarh,4224378242,Julumbahal,hsc,16.43,7.68
383611.0,,sundargarh,4224378242,Julumbahal,hsc,21.5,9.79
383594.0,,sundargarh,4224378242,Julumbahal,hsc,7.69,4.35
383620.0,,sundargarh,4224378242,Julumbahal,hsc,7.5,4.27
383596.0,,sundargarh,4224378242,Julumbahal,hsc,0.0,0.0
383619.0,,sundargarh,4224378242,Julumbahal,hsc,21.41,9.75
383609.0,,sundargarh,4762738625,Kanika,hsc,6.87,4.44
383623.0,,sundargarh,4224378242,Julumbahal,hsc,31.97,24.17
383615.0,,sundargarh,4224378242,Julumbahal,hsc,16.92,10.46
383624.0,,sundargarh,4224378242,Julumbahal,hsc,28.77,19.64
383616.0,,sundargarh,4224378242,Julumbahal,hsc,19.75,12.14
383625.0,,sundargarh,4224378242,Julumbahal,hsc,32.0,24.21
383617.0,,sundargarh,4224378242,Julumbahal,hsc,11.99,5.82
383593.0,,sundargarh,4224378242,Julumbahal,hsc,10.93,6.5
383597.0,,sundargarh,4224378242,Julumbahal,hsc,5.81,3.12
383627.0,,sundargarh,4224378242,Julumbahal,hsc,31.97,24.17
383610.0,,sundargarh,4762738625,Kanika,hsc,7.6,4.93
383595.0,,sundargarh,4224378242,Julumbahal,hsc,0.73,0.31
383612.0,,sundargarh,4224378242,Julumbahal,hsc,3.53,1.57
383613.0,,sundargarh,4224378242,Julumbahal,hsc,12.76,7.72
383614.0,,sundargarh,4224378242,Julumbahal,hsc,18.93,8.72
383569.0,,sundargarh,6681634868,Taparia,hsc,10.27,4.5
383537.0,,sundargarh,6681634868,Taparia,hsc,10.27,4.5
383541.0,,sundargarh,7683665678,Kendudihi,hsc,2.27,1.51
383598.0,,sundargarh,4762738625,Kanika,hsc,4.43,2.81
383590.0,,sundargarh,4762738625,Kanika,hsc,4.83,3.12
383592.0,,sundargarh,4224378242,Julumbahal,hsc,11.1,6.62
383540.0,,sundargarh,7683665678,Kendudihi,hsc,2.85,1.9
383565.0,,sundargarh,7683665678,Kendudihi,hsc,4.05,2.69
383571.0,,sundargarh,7683665678,Kendudihi,hsc,4.58,3.05
383570.0,,sundargarh,6681634868,Taparia,hsc,27.16,11.48
383563.0,,sundargarh,7734224822,Hemgir MC,hsc,7.26,4.82
383575.0,,sundargarh,7734224822,Hemgir MC,hsc,4.39,2.93
383568.0,,sundargarh,7683665678,Kendudihi,hsc,2.85,1.9
383564.0,,sundargarh,7683665678,Kendudihi,hsc,4.05,2.69
383567.0,,sundargarh,7683665678,Kendudihi,hsc,4.05,2.69
383574.0,,sundargarh,7734224822,Hemgir MC,hsc,0.0,0.0
383562.0,,sundargarh,7734224822,Hemgir MC,hsc,4.83,3.22
383573.0,,sundargarh,7734224822,Hemgir MC,hsc,0.12,0.08
383526.0,,sundargarh,3187774652,Duruboga,hsc,6.69,4.38
383572.0,,sundargarh,7734224822,Hemgir MC,hsc,5.3,3.51
383581.0,,sundargarh,7246188457,Sanghumunda,hsc,4.98,1.22
383579.0,,sundargarh,7246188457,Sanghumunda,hsc,8.55,2.14
383588.0,,sundargarh,1712415650,Tangardihi,hsc,0.0,0.0
383607.0,,sundargarh,4472675760,Ankelabira,hsc,2.38,0.99
383544.0,,sundargarh,3187774652,Duruboga,hsc,10.32,6.79
383602.0,,sundargarh,1712415650,Tangardihi,hsc,1.99,0.78
383546.0,,sundargarh,8876535249,Garjanbahal,hsc,4.94,3.21
383556.0,,sundargarh,7246188457,Sanghumunda,hsc,4.91,1.2
383558.0,,sundargarh,3187774652,Duruboga,hsc,1.57,1.04
383560.0,,sundargarh,3187774652,Duruboga,hsc,1.12,0.75
383600.0,,sundargarh,4472675760,Ankelabira,hsc,0.24,0.16
383603.0,,sundargarh,1712415650,Tangardihi,hsc,0.01,0.01
383622.0,,sundargarh,4472675760,Ankelabira,hsc,64.57,50.84
383552.0,,sundargarh,4385433331,Kanakatura,hsc,0.0,0.0
383621.0,,sundargarh,4472675760,Ankelabira,hsc,0.0,0.0
383577.0,,sundargarh,1712415650,Tangardihi,hsc,88.63,68.45
383585.0,,sundargarh,4385433331,Kanakatura,hsc,24.97,10.32
383551.0,,sundargarh,4385433331,Kanakatura,hsc,0.0,0.0
383780.0,,sundargarh,6738671582,Darlipali,hsc,0.0,0.0
383583.0,,sundargarh,4385433331,Kanakatura,hsc,0.06,0.03
383584.0,,sundargarh,4385433331,Kanakatura,hsc,0.0,0.0
383626.0,,sundargarh,4472675760,Ankelabira,hsc,61.07,49.38
383553.0,,sundargarh,7246188457,Sanghumunda,hsc,5.3,1.3
383554.0,,sundargarh,7246188457,Sanghumunda,hsc,0.0,0.0
383587.0,,sundargarh,1712415650,Tangardihi,hsc,0.0,0.0
383601.0,,sundargarh,1712415650,Tangardihi,hsc,89.03,68.72
383608.0,,sundargarh,4762738625,Kanika,hsc,0.98,0.41
383578.0,,sundargarh,7246188457,Sanghumunda,hsc,8.67,2.17
383599.0,,sundargarh,4762738625,Kanika,hsc,0.0,0.0
383576.0,,sundargarh,7734224822,Hemgir MC,hsc,5.25,3.51
383606.0,,sundargarh,4472675760,Ankelabira,hsc,1.65,0.69
383605.0,,sundargarh,1712415650,Tangardihi,hsc,5.26,2.19
383604.0,,sundargarh,1712415650,Tangardihi,hsc,0.45,0.19
383586.0,,sundargarh,4385433331,Kanakatura,hsc,24.97,10.32
383589.0,,sundargarh,1712415650,Tangardihi,hsc,89.16,68.81
383557.0,,sundargarh,7246188457,Sanghumunda,hsc,9.73,2.43
383582.0,,sundargarh,7246188457,Sanghumunda,hsc,5.23,1.28
383580.0,,sundargarh,7246188457,Sanghumunda,hsc,4.98,1.22
383561.0,,sundargarh,3187774652,Duruboga,hsc,3.47,2.31
383555.0,,sundargarh,7246188457,Sanghumunda,hsc,4.18,1.04
383547.0,,sundargarh,3187774652,Duruboga,hsc,4.98,3.25
383550.0,,sundargarh,4385433331,Kanakatura,hsc,0.0,0.0
383559.0,,sundargarh,3187774652,Duruboga,hsc,0.0,0.0
383591.0,,sundargarh,4762738625,Kanika,hsc,2.68,1.68
383760.0,,sundargarh,7621235212,Daldali,hsc,83.6,51.73
383785.0,,sundargarh,2288725449,Dharuadha,hsc,0.0,0.0
383757.0,,sundargarh,5841482762,Kundukela,hsc,0.32,0.34
383759.0,,sundargarh,5841482762,Kundukela,hsc,3.96,4.11
383761.0,,sundargarh,7568627645,Mangaspur,hsc,0.0,0.0
383784.0,,sundargarh,7621235212,Daldali,hsc,1.0,0.42
383775.0,,sundargarh,4468422722,Jogimal,hsc,0.0,0.0
383755.0,,sundargarh,5841482762,Kundukela,hsc,4.79,4.62
383750.0,,sundargarh,5841482762,Kundukela,hsc,3.59,3.8
383752.0,,sundargarh,5841482762,Kundukela,hsc,3.59,3.8
383782.0,,sundargarh,7568627645,Mangaspur,hsc,3.87,1.6
383783.0,,sundargarh,7621235212,Daldali,hsc,0.0,0.0
383781.0,,sundargarh,6382373345,Nuadihi,hsc,87.98,42.64
383754.0,,sundargarh,4388553184,Jamtalia,hsc,0.0,0.0
383758.0,,sundargarh,5841482762,Kundukela,hsc,1.5,1.63
383756.0,,sundargarh,5841482762,Kundukela,hsc,4.53,4.82
383776.0,,sundargarh,6382373345,Nuadihi,hsc,0.0,0.0
383762.0,,sundargarh,4468422722,Jogimal,hsc,2.78,1.16
383753.0,,sundargarh,5841482762,Kundukela,hsc,3.52,3.72
383751.0,,sundargarh,5841482762,Kundukela,hsc,3.52,3.72
383822.0,,sundargarh,1137887434,Dharuadihi,hsc,0.78,0.84
384987.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
384988.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
384990.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
385033.0,,sundargarh,3115372223,Ramchinda,hsc,25.19,19.58
385006.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
385027.0,,sundargarh,2884647211,Jarda,hsc,13.12,7.47
385024.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
384967.0,,sundargarh,1868825280,Sole,hsc,2.49,1.67
385007.0,,sundargarh,3656385782,Kunjhar,hsc,0.02,0.01
385025.0,,sundargarh,3656385782,Kunjhar,hsc,0.03,0.01
384992.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
385028.0,,sundargarh,2884647211,Jarda,hsc,0.0,0.0
384991.0,,sundargarh,1868825280,Sole,hsc,2.49,1.67
385008.0,,sundargarh,3656385782,Kunjhar,hsc,0.0,0.0
385030.0,,sundargarh,3115372223,Ramchinda,hsc,1.17,1.08
385029.0,,sundargarh,2884647211,Jarda,hsc,17.51,13.62
385032.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385031.0,,sundargarh,3115372223,Ramchinda,hsc,0.39,0.36
384994.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
385026.0,,sundargarh,3656385782,Kunjhar,hsc,3.81,1.58
384995.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
384993.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
384989.0,,sundargarh,1868825280,Sole,hsc,0.0,0.0
385076.0,,sundargarh,8821247858,Chandanpur,hsc,3.99,2.58
385058.0,,sundargarh,8157184477,Nikitimal,hsc,8.98,5.98
385055.0,,sundargarh,8157184477,Nikitimal,hsc,5.93,2.66
385054.0,,sundargarh,8157184477,Nikitimal,hsc,3.62,1.73
385056.0,,sundargarh,8157184477,Nikitimal,hsc,2.33,1.55
385053.0,,sundargarh,8157184477,Nikitimal,hsc,0.0,0.0
385052.0,,sundargarh,8157184477,Nikitimal,hsc,3.92,2.57
385051.0,,sundargarh,4548315789,Bhalupani,hsc,40.07,25.25
385059.0,,sundargarh,1841784422,S Bolang MC,hsc,4.12,2.74
385046.0,,sundargarh,4548315789,Bhalupani,hsc,2.68,1.78
385062.0,,sundargarh,8821247858,Chandanpur,hsc,0.0,0.0
385084.0,,sundargarh,4436237855,Kasada,hsc,0.18,0.25
385057.0,,sundargarh,8157184477,Nikitimal,hsc,6.4,4.26
385060.0,,sundargarh,8821247858,Chandanpur,hsc,6.26,4.1
385050.0,,sundargarh,8157184477,Nikitimal,hsc,5.46,2.92
385049.0,,sundargarh,1841784422,S Bolang MC,hsc,4.86,3.16
385048.0,,sundargarh,1841784422,S Bolang MC,hsc,3.68,2.37
385061.0,,sundargarh,8821247858,Chandanpur,hsc,6.11,3.99
385040.0,,sundargarh,4548315789,Bhalupani,hsc,4.24,2.83
385042.0,,sundargarh,4548315789,Bhalupani,hsc,0.0,0.0
385063.0,,sundargarh,8821247858,Chandanpur,hsc,2.36,1.57
385047.0,,sundargarh,1841784422,S Bolang MC,hsc,0.0,0.0
385045.0,,sundargarh,1841784422,S Bolang MC,hsc,19.23,12.73
385064.0,,sundargarh,7527683580,Bandhabhuin,hsc,4.25,1.88
385041.0,,sundargarh,4548315789,Bhalupani,hsc,2.53,1.68
385160.0,,sundargarh,7527683580,Bandhabhuin,hsc,3.82,1.59
385044.0,,sundargarh,7527683580,Bandhabhuin,hsc,1.11,0.41
385240.0,,sundargarh,8453471644,Mahulpada,hsc,0.0,0.0
385204.0,,sundargarh,8331884554,Tendra,hsc,0.0,0.0
385074.0,,sundargarh,8381885139,Tikayatpali,hsc,5.28,7.36
385239.0,,sundargarh,8453471644,Mahulpada,hsc,0.24,0.26
385186.0,,sundargarh,6155322230,Haladikudar,hsc,0.64,0.7
385206.0,,sundargarh,6177122154,Ghosara,hsc,4.85,4.89
385085.0,,sundargarh,4436237855,Kasada,hsc,0.29,0.41
385205.0,,sundargarh,8331884554,Tendra,hsc,11.51,16.02
385208.0,,sundargarh,6177122154,Ghosara,hsc,1.28,1.39
385207.0,,sundargarh,6177122154,Ghosara,hsc,2.35,2.54
385083.0,,sundargarh,4436237855,Kasada,hsc,0.0,0.0
385082.0,,sundargarh,4436237855,Kasada,hsc,10.34,14.37
385189.0,,sundargarh,1877865368,Ruguda,hsc,2.91,1.94
385212.0,,sundargarh,4787543133,Patamunda,hsc,0.0,0.0
385174.0,,sundargarh,8442734227,Baneikela,hsc,7.76,4.3
385166.0,,sundargarh,3372842280,Jirdapalli,hsc,7.7,10.81
385068.0,,sundargarh,8828527237,Kenaveta,hsc,5.89,8.12
385201.0,,sundargarh,8442734227,Baneikela,hsc,0.0,0.0
385196.0,,sundargarh,8381885139,Tikayatpali,hsc,9.35,13.03
385075.0,,sundargarh,8821247858,Chandanpur,hsc,3.23,2.15
385071.0,,sundargarh,3372842280,Jirdapalli,hsc,5.25,7.32
385224.0,,sundargarh,4787543133,Patamunda,hsc,0.0,0.0
385194.0,,sundargarh,8381885139,Tikayatpali,hsc,7.52,10.42
385195.0,,sundargarh,8381885139,Tikayatpali,hsc,7.52,10.42
385188.0,,sundargarh,1877865368,Ruguda,hsc,0.0,0.0
385190.0,,sundargarh,1877865368,Ruguda,hsc,5.39,3.97
385199.0,,sundargarh,8442734227,Baneikela,hsc,0.0,0.0
385070.0,,sundargarh,3372842280,Jirdapalli,hsc,5.82,8.13
385200.0,,sundargarh,8442734227,Baneikela,hsc,0.0,0.0
385067.0,,sundargarh,3372842280,Jirdapalli,hsc,7.38,10.23
385185.0,,sundargarh,6155322230,Haladikudar,hsc,0.64,0.7
385078.0,,sundargarh,4436237855,Kasada,hsc,0.0,0.0
385226.0,,sundargarh,8453471644,Mahulpada,hsc,4.86,5.27
385081.0,,sundargarh,4436237855,Kasada,hsc,9.79,13.72
385079.0,,sundargarh,8381885139,Tikayatpali,hsc,7.06,9.88
385077.0,,sundargarh,8821247858,Chandanpur,hsc,5.46,3.56
385203.0,,sundargarh,1877865368,Ruguda,hsc,8.07,6.42
385080.0,,sundargarh,8381885139,Tikayatpali,hsc,9.41,13.12
385202.0,,sundargarh,1877865368,Ruguda,hsc,7.63,6.02
385072.0,,sundargarh,8381885139,Tikayatpali,hsc,6.22,8.69
385198.0,,sundargarh,1877865368,Ruguda,hsc,7.09,5.53
385225.0,,sundargarh,6177122154,Ghosara,hsc,0.0,0.0
385073.0,,sundargarh,8381885139,Tikayatpali,hsc,5.49,7.66
385211.0,,sundargarh,4787543133,Patamunda,hsc,0.0,0.0
385210.0,,sundargarh,4757266475,Mahuldia,hsc,0.0,0.0
385065.0,,sundargarh,3372842280,Jirdapalli,hsc,3.18,2.36
385066.0,,sundargarh,3372842280,Jirdapalli,hsc,0.0,0.0
385193.0,,sundargarh,8828527237,Kenaveta,hsc,3.7,4.49
385197.0,,sundargarh,8381885139,Tikayatpali,hsc,9.32,12.99
385069.0,,sundargarh,8381885139,Tikayatpali,hsc,0.0,0.0
385191.0,,sundargarh,1877865368,Ruguda,hsc,5.32,3.89
385183.0,,sundargarh,6155322230,Haladikudar,hsc,0.04,0.04
385175.0,,sundargarh,2348867165,Jakeikala,hsc,4.45,3.7
385171.0,,sundargarh,8828527237,Kenaveta,hsc,0.0,0.0
385162.0,,sundargarh,3372842280,Jirdapalli,hsc,7.21,9.99
385165.0,,sundargarh,3372842280,Jirdapalli,hsc,10.12,14.05
385184.0,,sundargarh,6155322230,Haladikudar,hsc,0.04,0.04
385172.0,,sundargarh,8442734227,Baneikela,hsc,3.02,2.01
385187.0,,sundargarh,4787543133,Patamunda,hsc,1.37,1.48
385192.0,,sundargarh,8442734227,Baneikela,hsc,16.1,8.6
385173.0,,sundargarh,8442734227,Baneikela,hsc,7.08,4.02
385180.0,,sundargarh,6155322230,Haladikudar,hsc,0.0,0.0
385164.0,,sundargarh,3372842280,Jirdapalli,hsc,10.34,14.36
385161.0,,sundargarh,3372842280,Jirdapalli,hsc,7.27,10.08
385167.0,,sundargarh,8828527237,Kenaveta,hsc,3.34,3.97
385168.0,,sundargarh,8828527237,Kenaveta,hsc,3.52,4.88
384975.0,,sundargarh,8575683365,Kansabahal,hsc,0.0,0.0
385130.0,,sundargarh,7732476812,Dahichur,hsc,3.46,2.3
385038.0,,sundargarh,4465857276,Kundaidiha,hsc,0.0,0.0
385125.0,,sundargarh,7732476812,Dahichur,hsc,0.0,0.0
385124.0,,sundargarh,7732476812,Dahichur,hsc,0.0,0.0
385022.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385019.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385001.0,,sundargarh,1121626855,Baneikela,hsc,5.87,2.86
385087.0,,sundargarh,1121626855,Baneikela,hsc,6.24,4.2
385037.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385090.0,,sundargarh,6248526847,Kapanda,hsc,1.72,1.15
385129.0,,sundargarh,3443681584,Bijadihi,hsc,18.41,12.71
385016.0,,sundargarh,6334247761,Gurundia MC,hsc,0.36,0.24
385086.0,,sundargarh,1121626855,Baneikela,hsc,5.34,3.6
385012.0,,sundargarh,6334247761,Gurundia MC,hsc,26.82,14.29
385093.0,,sundargarh,5587445858,Satakuta,hsc,2.71,1.81
385004.0,,sundargarh,6334247761,Gurundia MC,hsc,26.82,14.29
385089.0,,sundargarh,6248526847,Kapanda,hsc,1.72,1.15
385097.0,,sundargarh,5587445858,Satakuta,hsc,5.73,3.82
385096.0,,sundargarh,5587445858,Satakuta,hsc,3.87,2.58
384682.0,,sundargarh,3448224752,Dharinidharpur,hsc,5.12,4.69
385002.0,,sundargarh,1121626855,Baneikela,hsc,7.11,3.37
385023.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
384996.0,,sundargarh,3448224752,Dharinidharpur,hsc,0.0,0.0
385098.0,,sundargarh,7732476812,Dahichur,hsc,2.24,1.49
385034.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385159.0,,sundargarh,3443681584,Bijadihi,hsc,18.41,12.71
385013.0,,sundargarh,6334247761,Gurundia MC,hsc,24.7,13.4
385020.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
384683.0,,sundargarh,3448224752,Dharinidharpur,hsc,4.33,3.97
385091.0,,sundargarh,5587445858,Satakuta,hsc,4.74,3.16
385009.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385043.0,,sundargarh,4465857276,Kundaidiha,hsc,0.03,0.02
384985.0,,sundargarh,3448224752,Dharinidharpur,hsc,0.0,0.0
385010.0,,sundargarh,6334247761,Gurundia MC,hsc,26.82,14.29
384999.0,,sundargarh,1121626855,Baneikela,hsc,2.48,1.7
384986.0,,sundargarh,3448224752,Dharinidharpur,hsc,0.0,0.0
384984.0,,sundargarh,3448224752,Dharinidharpur,hsc,0.13,0.12
384997.0,,sundargarh,1121626855,Baneikela,hsc,3.34,1.8
385092.0,,sundargarh,5587445858,Satakuta,hsc,2.89,1.93
385015.0,,sundargarh,7732476812,Dahichur,hsc,5.86,3.9
385126.0,,sundargarh,4465857276,Kundaidiha,hsc,1.4,0.93
385011.0,,sundargarh,6334247761,Gurundia MC,hsc,26.82,14.29
385005.0,,sundargarh,6334247761,Gurundia MC,hsc,26.82,14.29
385128.0,,sundargarh,7527683580,Bandhabhuin,hsc,0.0,0.0
385039.0,,sundargarh,4548315789,Bhalupani,hsc,4.24,2.83
385035.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385127.0,,sundargarh,7527683580,Bandhabhuin,hsc,0.0,0.0
385132.0,,sundargarh,3443681584,Bijadihi,hsc,18.41,12.71
385095.0,,sundargarh,5587445858,Satakuta,hsc,3.37,2.25
385018.0,,sundargarh,6334247761,Gurundia MC,hsc,0.0,0.0
384979.0,,sundargarh,3448224752,Dharinidharpur,hsc,2.73,2.5
385131.0,,sundargarh,3443681584,Bijadihi,hsc,18.41,12.71
385036.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385017.0,,sundargarh,6334247761,Gurundia MC,hsc,0.94,0.62
385100.0,,sundargarh,3443681584,Bijadihi,hsc,18.41,12.71
385021.0,,sundargarh,3115372223,Ramchinda,hsc,0.0,0.0
385099.0,,sundargarh,7732476812,Dahichur,hsc,4.61,3.07
384981.0,,sundargarh,3448224752,Dharinidharpur,hsc,0.29,0.26
384976.0,,sundargarh,3448224752,Dharinidharpur,hsc,2.33,2.14
384983.0,,sundargarh,3448224752,Dharinidharpur,hsc,0.13,0.12
385000.0,,sundargarh,1121626855,Baneikela,hsc,3.48,2.36
384977.0,,sundargarh,3448224752,Dharinidharpur,hsc,2.33,2.14
384998.0,,sundargarh,1121626855,Baneikela,hsc,3.6,1.91
384982.0,,sundargarh,3448224752,Dharinidharpur,hsc,0.0,0.0
384980.0,,sundargarh,1121626855,Baneikela,hsc,0.0,0.0
384978.0,,sundargarh,3448224752,Dharinidharpur,hsc,2.33,2.14
384681.0,,sundargarh,8737663149,Tamada,hsc,4.95,4.53
385003.0,,sundargarh,6334247761,Gurundia MC,hsc,26.82,14.29
385088.0,,sundargarh,6248526847,Kapanda,hsc,1.72,1.15
385014.0,,sundargarh,6334247761,Gurundia MC,hsc,5.09,3.4
384728.0,,sundargarh,2144883424,Bhalidadihi,hsc,7.58,5.43
385152.0,,sundargarh,8338536421,Taleita,hsc,7.36,3.93
384688.0,,sundargarh,1117318616,Darjing,hsc,8.67,12.05
384836.0,,sundargarh,8263733431,Thiaberna,hsc,2.64,3.63
384914.0,,sundargarh,2187758673,Kurda,hsc,1.5,1.62
384912.0,,sundargarh,2187758673,Kurda,hsc,1.4,1.41
385118.0,,sundargarh,3443681584,Bijadihi,hsc,11.0,7.79
384915.0,,sundargarh,2187758673,Kurda,hsc,0.36,0.39
384924.0,,sundargarh,2187758673,Kurda,hsc,0.0,0.0
384909.0,,sundargarh,2187758673,Kurda,hsc,3.84,3.64
384916.0,,sundargarh,2187758673,Kurda,hsc,0.13,0.15
384906.0,,sundargarh,2187758673,Kurda,hsc,0.22,0.24
384908.0,,sundargarh,2187758673,Kurda,hsc,4.03,3.82
384934.0,,sundargarh,8258568750,Bijaghat,hsc,0.05,0.01
385119.0,,sundargarh,3443681584,Bijadihi,hsc,10.41,7.4
385109.0,,sundargarh,6242687371,Lathikata,hsc,5.26,5.73
385133.0,,sundargarh,3443681584,Bijadihi,hsc,17.35,12.0
384917.0,,sundargarh,2187758673,Kurda,hsc,0.13,0.15
384898.0,,sundargarh,2187758673,Kurda,hsc,0.79,0.86
384904.0,,sundargarh,2187758673,Kurda,hsc,0.67,0.73
385107.0,,sundargarh,3443681584,Bijadihi,hsc,5.01,3.34
384714.0,,sundargarh,2144883424,Bhalidadihi,hsc,11.33,6.91
384713.0,,sundargarh,2144883424,Bhalidadihi,hsc,12.0,7.28
385146.0,,sundargarh,5746644458,Barahmusa,hsc,0.09,0.06
384737.0,,sundargarh,7247374650,Nandapada,hsc,4.36,4.43
385151.0,,sundargarh,8338536421,Taleita,hsc,0.67,0.45
384686.0,,sundargarh,1117318616,Darjing,hsc,9.03,12.57
384727.0,,sundargarh,3482172842,Sankhaposh,hsc,4.03,3.2
384930.0,,sundargarh,3411117413,Khutugaon,hsc,0.0,0.0
384851.0,,sundargarh,7444622430,Gudhiali,hsc,2.68,2.46
385112.0,,sundargarh,2135412712,Kendrikela,hsc,0.0,0.0
385106.0,,sundargarh,3443681584,Bijadihi,hsc,0.53,0.35
385121.0,,sundargarh,3443681584,Bijadihi,hsc,0.0,0.0
384905.0,,sundargarh,2187758673,Kurda,hsc,0.21,0.23
385108.0,,sundargarh,6242687371,Lathikata,hsc,5.74,7.0
385101.0,,sundargarh,5587445858,Satakuta,hsc,0.0,0.0
384835.0,,sundargarh,8263733431,Thiaberna,hsc,3.24,4.49
384840.0,,sundargarh,6248526847,Kapanda,hsc,1.61,1.07
384821.0,,sundargarh,6713644687,Gangaposh,hsc,0.25,0.23
384817.0,,sundargarh,3387754140,Gopana,hsc,5.83,8.15
384891.0,,sundargarh,7548267249,Dalamkucha,hsc,2.82,2.59
384921.0,,sundargarh,4677765333,Chordhara,hsc,4.44,4.08
384861.0,,sundargarh,8347726260,Tumkela,hsc,0.0,0.0
385103.0,,sundargarh,3443681584,Bijadihi,hsc,0.91,0.61
385105.0,,sundargarh,3443681584,Bijadihi,hsc,3.35,2.23
384716.0,,sundargarh,2144883424,Bhalidadihi,hsc,0.72,1.03
384839.0,,sundargarh,6248526847,Kapanda,hsc,0.0,0.0
384923.0,,sundargarh,3411117413,Khutugaon,hsc,0.37,0.4
384888.0,,sundargarh,7548267249,Dalamkucha,hsc,0.97,0.89
384890.0,,sundargarh,7548267249,Dalamkucha,hsc,1.88,1.73
384875.0,,sundargarh,5888241360,Kaleiposh,hsc,1.76,1.91
384687.0,,sundargarh,1117318616,Darjing,hsc,10.16,14.18
384804.0,,sundargarh,1117318616,Darjing,hsc,0.0,0.0
385110.0,,sundargarh,8347726260,Tumkela,hsc,0.98,0.65
384880.0,,sundargarh,7858537561,Ulsurai,hsc,0.0,0.0
385094.0,,sundargarh,5587445858,Satakuta,hsc,1.19,0.79
384827.0,,sundargarh,5888241360,Kaleiposh,hsc,1.5,1.62
384829.0,,sundargarh,6623135511,Lahunipara MC,hsc,0.0,0.0
385117.0,,sundargarh,6242687371,Lathikata,hsc,4.48,5.34
384895.0,,sundargarh,7858537561,Ulsurai,hsc,1.05,1.14
384843.0,,sundargarh,3443681584,Bijadihi,hsc,1.87,1.24
384845.0,,sundargarh,6248526847,Kapanda,hsc,5.86,3.91
384854.0,,sundargarh,8347726260,Tumkela,hsc,8.15,7.09
384832.0,,sundargarh,8263733431,Thiaberna,hsc,2.93,3.94
384830.0,,sundargarh,6623135511,Lahunipara MC,hsc,1.52,1.93
384848.0,,sundargarh,7444622430,Gudhiali,hsc,5.52,6.61
