lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
404963.0,,anugul,1188747362,Pataka,phc,32.38,32.85
404800.0,,anugul,1188747362,Pataka,phc,34.22,32.0
404793.0,,anugul,1188747362,Pataka,phc,36.71,33.82
404959.0,,anugul,1188747362,Pataka,phc,32.62,33.1
404960.0,,anugul,1188747362,Pataka,phc,31.77,32.19
404965.0,,anugul,1188747362,Pataka,phc,32.17,32.62
404791.0,,anugul,1188747362,Pataka,phc,33.43,31.64
404794.0,,anugul,1188747362,Pataka,phc,37.9,34.82
404952.0,,anugul,1188747362,Pataka,phc,33.38,33.93
404964.0,,anugul,1188747362,Pataka,phc,59.13,57.4
404792.0,,anugul,1188747362,Pataka,phc,34.66,32.66
404798.0,,anugul,1188747362,Pataka,phc,35.67,32.57
404958.0,,anugul,1188747362,Pataka,phc,33.54,34.1
404966.0,,anugul,1188747362,Pataka,phc,38.99,34.77
404789.0,,anugul,1188747362,Pataka,phc,31.45,31.85
404799.0,,anugul,1188747362,Pataka,phc,34.26,32.03
404953.0,,anugul,1188747362,Pataka,phc,33.28,33.82
404788.0,,anugul,1188747362,Pataka,phc,30.67,31.0
404790.0,,anugul,1188747362,Pataka,phc,32.03,30.91
404796.0,,anugul,1188747362,Pataka,phc,35.93,33.5
404797.0,,anugul,1188747362,Pataka,phc,34.26,32.03
404795.0,,anugul,1188747362,Pataka,phc,35.93,33.5
404858.0,,anugul,1188747362,Pataka,phc,6.82,6.25
404848.0,,anugul,1188747362,Pataka,phc,8.35,7.65
404850.0,,anugul,1188747362,Pataka,phc,10.04,9.2
404846.0,,anugul,1188747362,Pataka,phc,10.96,9.85
404855.0,,anugul,1188747362,Pataka,phc,12.65,9.92
404865.0,,anugul,1188747362,Pataka,phc,3.01,2.75
404863.0,,anugul,1188747362,Pataka,phc,4.24,3.89
404851.0,,anugul,1188747362,Pataka,phc,13.34,10.18
404859.0,,anugul,1188747362,Pataka,phc,6.31,5.79
404854.0,,anugul,1188747362,Pataka,phc,12.65,9.92
404901.0,,anugul,1188747362,Pataka,phc,12.65,9.92
404856.0,,anugul,1188747362,Pataka,phc,8.19,7.5
404857.0,,anugul,1188747362,Pataka,phc,7.84,7.19
404867.0,,anugul,1188747362,Pataka,phc,2.23,2.04
404860.0,,anugul,1188747362,Pataka,phc,5.56,5.1
404872.0,,anugul,1188747362,Pataka,phc,2.3,1.18
404849.0,,anugul,1188747362,Pataka,phc,9.8,8.73
404866.0,,anugul,1188747362,Pataka,phc,3.69,3.38
404862.0,,anugul,1188747362,Pataka,phc,4.58,4.19
404847.0,,anugul,1188747362,Pataka,phc,9.27,8.5
404861.0,,anugul,1188747362,Pataka,phc,5.79,5.31
