lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
420893.0,,balangir,1263844779,Belpada,phc,29.48,23.94
420897.0,,balangir,1263844779,Belpada,phc,11.91,10.09
420895.0,,balangir,1263844779,Belpada,phc,28.54,23.57
420892.0,,balangir,1263844779,Belpada,phc,31.77,24.9
420896.0,,balangir,1263844779,Belpada,phc,17.04,13.51
421294.0,,balangir,5828324821,Bhalumunda,phc,7.49,8.38
421270.0,,balangir,1263844779,Belpada,phc,5.53,4.73
421268.0,,balangir,5828324821,Bhalumunda,phc,5.88,4.56
421271.0,,balangir,1263844779,Belpada,phc,17.52,14.39
420898.0,,balangir,1263844779,Belpada,phc,10.21,8.96
421334.0,,balangir,5828324821,Bhalumunda,phc,22.71,21.76
421269.0,,balangir,1263844779,Belpada,phc,5.53,4.73
420858.0,,balangir,5155255762,Baddukela,phc,2.82,1.17
420854.0,,balangir,5155255762,Baddukela,phc,0.36,0.15
420891.0,,balangir,1263844779,Belpada,phc,30.06,29.73
420899.0,,balangir,5828324821,Bhalumunda,phc,8.61,7.89
420890.0,,balangir,5155255762,Baddukela,phc,29.74,12.38
420888.0,,balangir,5155255762,Baddukela,phc,23.71,9.87
420861.0,,balangir,5155255762,Baddukela,phc,19.61,8.15
420867.0,,balangir,5155255762,Baddukela,phc,23.39,11.86
420868.0,,balangir,5155255762,Baddukela,phc,20.83,9.62
420889.0,,balangir,5155255762,Baddukela,phc,22.46,9.35
420864.0,,balangir,5828324821,Bhalumunda,phc,25.34,19.37
420860.0,,balangir,1263844779,Belpada,phc,29.39,37.87
420866.0,,balangir,5828324821,Bhalumunda,phc,22.83,19.24
420863.0,,balangir,5155255762,Baddukela,phc,13.6,5.67
420856.0,,balangir,5155255762,Baddukela,phc,7.06,2.94
420857.0,,balangir,5155255762,Baddukela,phc,10.46,4.36
420855.0,,balangir,5155255762,Baddukela,phc,1.67,0.7
420849.0,,balangir,5155255762,Baddukela,phc,7.93,3.29
420865.0,,balangir,5828324821,Bhalumunda,phc,15.54,14.23
420859.0,,balangir,1263844779,Belpada,phc,33.71,40.51
420862.0,,balangir,5155255762,Baddukela,phc,22.77,9.48
420894.0,,balangir,1263844779,Belpada,phc,28.54,23.57
420827.0,,balangir,7255155561,Lathor,phc,13.03,5.9
420826.0,,balangir,7255155561,Lathor,phc,7.89,3.78
420846.0,,balangir,7255155561,Lathor,phc,16.93,14.61
420839.0,,balangir,7255155561,Lathor,phc,12.02,10.11
