lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
393633.0,,baleshwar,8648822552,Kupari,phc,10.69,7.14
393634.0,,baleshwar,8648822552,Kupari,phc,10.04,6.86
393608.0,,baleshwar,8648822552,Kupari,phc,3.01,2.83
393611.0,,baleshwar,8648822552,Kupari,phc,7.53,3.74
393625.0,,baleshwar,8648822552,Kupari,phc,7.99,6.01
393632.0,,baleshwar,8648822552,Kupari,phc,8.79,6.34
393616.0,,baleshwar,8648822552,Kupari,phc,7.4,5.83
393512.0,,baleshwar,8648822552,Kupari,phc,7.25,3.42
393607.0,,baleshwar,8648822552,Kupari,phc,2.78,2.62
393517.0,,baleshwar,8648822552,Kupari,phc,6.66,4.58
393514.0,,baleshwar,8648822552,Kupari,phc,6.57,4.51
393622.0,,baleshwar,8648822552,Kupari,phc,8.57,7.19
393638.0,,baleshwar,8648822552,Kupari,phc,12.06,7.71
393510.0,,baleshwar,8648822552,Kupari,phc,4.89,2.44
393612.0,,baleshwar,8648822552,Kupari,phc,12.03,7.62
393627.0,,baleshwar,8648822552,Kupari,phc,4.14,3.87
393628.0,,baleshwar,8648822552,Kupari,phc,3.96,3.7
393521.0,,baleshwar,8648822552,Kupari,phc,2.0,1.44
393520.0,,baleshwar,8648822552,Kupari,phc,6.1,4.2
393636.0,,baleshwar,8648822552,Kupari,phc,16.57,9.58
393624.0,,baleshwar,8648822552,Kupari,phc,6.7,5.47
393503.0,,baleshwar,8648822552,Kupari,phc,6.65,3.18
393613.0,,baleshwar,8648822552,Kupari,phc,3.73,3.48
393513.0,,baleshwar,8648822552,Kupari,phc,5.19,3.59
393519.0,,baleshwar,8648822552,Kupari,phc,20.32,11.21
393635.0,,baleshwar,8648822552,Kupari,phc,11.83,7.61
393614.0,,baleshwar,8648822552,Kupari,phc,7.61,5.79
393516.0,,baleshwar,8648822552,Kupari,phc,6.66,4.58
393515.0,,baleshwar,8648822552,Kupari,phc,6.64,4.56
393629.0,,baleshwar,8648822552,Kupari,phc,4.12,3.85
393507.0,,baleshwar,8648822552,Kupari,phc,9.77,4.47
393508.0,,baleshwar,8648822552,Kupari,phc,9.59,4.4
