lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
379820.0,,bargarh,4385685633,Jamseth,phc,16.22,8.41
379813.0,,bargarh,4385685633,Jamseth,phc,14.57,10.42
379819.0,,bargarh,4385685633,Jamseth,phc,14.51,9.8
379812.0,,bargarh,4385685633,Jamseth,phc,14.81,10.05
379811.0,,bargarh,4385685633,Jamseth,phc,9.49,7.02
379810.0,,bargarh,2356438446,Mandosil,phc,15.15,9.16
379818.0,,bargarh,4385685633,Jamseth,phc,18.29,12.29
379808.0,,bargarh,2356438446,Mandosil,phc,0.0,0.0
379806.0,,bargarh,4385685633,Jamseth,phc,0.0,0.0
379803.0,,bargarh,4385685633,Jamseth,phc,5.55,3.34
379805.0,,bargarh,4385685633,Jamseth,phc,4.78,3.89
379801.0,,bargarh,4385685633,Jamseth,phc,13.06,6.47
379800.0,,bargarh,4385685633,Jamseth,phc,9.02,4.79
379807.0,,bargarh,4385685633,Jamseth,phc,2.19,2.2
379798.0,,bargarh,4385685633,Jamseth,phc,13.05,6.48
379817.0,,bargarh,4385685633,Jamseth,phc,22.52,15.1
379816.0,,bargarh,4385685633,Jamseth,phc,22.63,15.12
379814.0,,bargarh,4385685633,Jamseth,phc,21.98,13.7
379815.0,,bargarh,4385685633,Jamseth,phc,20.31,13.57
379802.0,,bargarh,4385685633,Jamseth,phc,12.99,7.09
379804.0,,bargarh,4385685633,Jamseth,phc,8.8,5.32
379809.0,,bargarh,2356438446,Mandosil,phc,7.82,8.05
379919.0,,bargarh,1841274846,Jharbandha,phc,17.32,10.71
379921.0,,bargarh,1841274846,Jharbandha,phc,21.87,12.58
379717.0,,bargarh,5874852360,Paikmal,phc,24.94,14.18
379774.0,,bargarh,5874852360,Paikmal,phc,20.78,10.21
379777.0,,bargarh,2356438446,Mandosil,phc,20.55,13.67
379768.0,,bargarh,5874852360,Paikmal,phc,5.46,2.86
379765.0,,bargarh,5874852360,Paikmal,phc,2.92,1.5
379723.0,,bargarh,5874852360,Paikmal,phc,7.78,4.74
379721.0,,bargarh,5874852360,Paikmal,phc,19.65,10.94
