lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
417863.0,,boudh,4316487364,Khuntigora,phc,23.68,13.75
417861.0,,boudh,2182113262,Ghantapada,phc,22.81,14.18
417864.0,,boudh,4316487364,Khuntigora,phc,20.85,12.61
417862.0,,boudh,2182113262,Ghantapada,phc,26.93,15.89
417868.0,,boudh,4316487364,Khuntigora,phc,7.8,4.41
417877.0,,boudh,4316487364,Khuntigora,phc,4.08,2.46
417866.0,,boudh,4316487364,Khuntigora,phc,8.46,5.69
417869.0,,boudh,4316487364,Khuntigora,phc,5.22,3.16
417875.0,,boudh,4316487364,Khuntigora,phc,0.0,0.0
417884.0,,boudh,4316487364,Khuntigora,phc,11.8,7.34
417870.0,,boudh,4316487364,Khuntigora,phc,5.72,3.54
417880.0,,boudh,4316487364,Khuntigora,phc,3.87,3.61
417859.0,,boudh,4316487364,Khuntigora,phc,13.83,9.67
417858.0,,boudh,4316487364,Khuntigora,phc,10.88,8.31
417848.0,,boudh,2182113262,Ghantapada,phc,11.2,9.18
417867.0,,boudh,4316487364,Khuntigora,phc,19.07,10.27
417881.0,,boudh,4316487364,Khuntigora,phc,5.05,3.52
417847.0,,boudh,4316487364,Khuntigora,phc,14.42,9.13
417845.0,,boudh,4316487364,Khuntigora,phc,12.34,7.88
417846.0,,boudh,4316487364,Khuntigora,phc,11.01,6.99
417872.0,,boudh,4316487364,Khuntigora,phc,23.42,14.51
417882.0,,boudh,4316487364,Khuntigora,phc,8.3,5.46
417871.0,,boudh,4316487364,Khuntigora,phc,7.25,4.18
417873.0,,boudh,4316487364,Khuntigora,phc,3.72,2.11
417879.0,,boudh,4316487364,Khuntigora,phc,3.24,2.19
417883.0,,boudh,4316487364,Khuntigora,phc,7.27,4.34
417874.0,,boudh,4316487364,Khuntigora,phc,2.7,1.69
417865.0,,boudh,4316487364,Khuntigora,phc,12.72,7.68
417850.0,,boudh,4316487364,Khuntigora,phc,4.71,2.87
417885.0,,boudh,4316487364,Khuntigora,phc,10.94,6.24
417876.0,,boudh,4316487364,Khuntigora,phc,1.53,1.13
417853.0,,boudh,4316487364,Khuntigora,phc,4.59,2.63
417851.0,,boudh,4316487364,Khuntigora,phc,5.6,3.39
417849.0,,boudh,4316487364,Khuntigora,phc,11.91,7.25
417854.0,,boudh,4316487364,Khuntigora,phc,4.8,4.26
417857.0,,boudh,4316487364,Khuntigora,phc,9.76,7.0
417852.0,,boudh,4316487364,Khuntigora,phc,3.06,2.79
417856.0,,boudh,4316487364,Khuntigora,phc,5.23,4.54
417855.0,,boudh,4316487364,Khuntigora,phc,4.16,3.98
417820.0,,boudh,4316487364,Khuntigora,phc,5.05,4.95
417878.0,,boudh,4316487364,Khuntigora,phc,4.15,2.22
417814.0,,boudh,2182113262,Ghantapada,phc,12.78,8.94
417811.0,,boudh,2182113262,Ghantapada,phc,2.48,2.69
417785.0,,boudh,2182113262,Ghantapada,phc,3.22,3.48
417824.0,,boudh,2182113262,Ghantapada,phc,5.74,4.21
417817.0,,boudh,2182113262,Ghantapada,phc,11.67,8.2
417815.0,,boudh,2182113262,Ghantapada,phc,15.5,10.62
417829.0,,boudh,2182113262,Ghantapada,phc,10.87,7.35
417790.0,,boudh,2182113262,Ghantapada,phc,7.17,4.88
417788.0,,boudh,2182113262,Ghantapada,phc,3.72,1.73
417825.0,,boudh,2182113262,Ghantapada,phc,19.02,11.48
417821.0,,boudh,2182113262,Ghantapada,phc,4.51,4.9
417818.0,,boudh,2182113262,Ghantapada,phc,12.25,8.59
