lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
400349.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400351.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400346.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400347.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400352.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400350.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400321.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400348.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400320.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400355.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400359.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400361.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400340.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400360.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400373.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400370.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400337.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400358.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400336.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400339.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400341.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400357.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400380.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400372.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400379.0,,cuttack,6751468684,Pahanga,phc,2.13,0.89
400382.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400381.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400374.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400385.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400386.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400387.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400388.0,,cuttack,6751468684,Pahanga,phc,3.34,1.39
400383.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400384.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400389.0,,cuttack,6751468684,Pahanga,phc,2.69,1.12
400390.0,,cuttack,6751468684,Pahanga,phc,5.05,2.1
400369.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400368.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400335.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400367.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400375.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400362.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400365.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400363.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400344.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400377.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400376.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400378.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400366.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400354.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400353.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400338.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400356.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400342.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400345.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400343.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400331.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400371.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
400364.0,,cuttack,6751468684,Pahanga,phc,0.0,0.0
398433.0,,cuttack,4465832436,Ekdal,phc,54.08,32.96
398514.0,,cuttack,4465832436,Ekdal,phc,21.51,15.25
398483.0,,cuttack,4465832436,Ekdal,phc,26.71,18.36
398461.0,,cuttack,4465832436,Ekdal,phc,36.0,23.32
398471.0,,cuttack,4465832436,Ekdal,phc,38.43,24.62
398482.0,,cuttack,4465832436,Ekdal,phc,24.33,17.09
398453.0,,cuttack,4465832436,Ekdal,phc,38.61,24.71
398528.0,,cuttack,4465832436,Ekdal,phc,15.65,12.47
398491.0,,cuttack,4465832436,Ekdal,phc,23.27,16.53
398496.0,,cuttack,4465832436,Ekdal,phc,16.82,13.09
398436.0,,cuttack,4465832436,Ekdal,phc,46.03,28.67
398458.0,,cuttack,4465832436,Ekdal,phc,43.22,27.17
398492.0,,cuttack,4465832436,Ekdal,phc,19.32,14.42
398493.0,,cuttack,4465832436,Ekdal,phc,20.01,14.8
398469.0,,cuttack,4465832436,Ekdal,phc,32.29,21.34
398448.0,,cuttack,4465832436,Ekdal,phc,42.72,26.9
398480.0,,cuttack,4465832436,Ekdal,phc,27.5,18.79
398511.0,,cuttack,4465832436,Ekdal,phc,18.79,13.58
398530.0,,cuttack,4465832436,Ekdal,phc,13.74,11.45
398447.0,,cuttack,4465832436,Ekdal,phc,43.76,27.46
398459.0,,cuttack,4465832436,Ekdal,phc,40.44,25.69
398485.0,,cuttack,4465832436,Ekdal,phc,25.94,17.96
398494.0,,cuttack,4465832436,Ekdal,phc,20.67,15.14
398502.0,,cuttack,4465832436,Ekdal,phc,16.28,12.8
398443.0,,cuttack,4465832436,Ekdal,phc,56.87,34.45
398498.0,,cuttack,4465832436,Ekdal,phc,14.34,11.77
398500.0,,cuttack,4465832436,Ekdal,phc,14.81,11.99
398510.0,,cuttack,4465832436,Ekdal,phc,16.25,12.52
398451.0,,cuttack,4465832436,Ekdal,phc,41.38,26.19
398472.0,,cuttack,8731464668,Sagar,phc,24.82,12.78
398497.0,,cuttack,4465832436,Ekdal,phc,17.05,13.18
398446.0,,cuttack,4465832436,Ekdal,phc,48.52,29.99
398464.0,,cuttack,4465832436,Ekdal,phc,37.96,24.36
398441.0,,cuttack,4465832436,Ekdal,phc,52.38,32.05
398454.0,,cuttack,4465832436,Ekdal,phc,41.28,26.14
398440.0,,cuttack,4465832436,Ekdal,phc,47.65,29.53
398474.0,,cuttack,4465832436,Ekdal,phc,31.85,21.1
398513.0,,cuttack,4465832436,Ekdal,phc,19.36,13.82
398526.0,,cuttack,4465832436,Ekdal,phc,13.76,11.17
398505.0,,cuttack,4465832436,Ekdal,phc,14.59,11.9
398479.0,,cuttack,4465832436,Ekdal,phc,26.38,18.19
398486.0,,cuttack,4465832436,Ekdal,phc,23.24,16.52
398442.0,,cuttack,4465832436,Ekdal,phc,54.73,33.31
398489.0,,cuttack,4465832436,Ekdal,phc,22.72,16.23
398477.0,,cuttack,4465832436,Ekdal,phc,30.96,20.63
398512.0,,cuttack,4465832436,Ekdal,phc,17.63,13.63
398490.0,,cuttack,4465832436,Ekdal,phc,24.91,17.41
398470.0,,cuttack,4465832436,Ekdal,phc,34.82,22.69
398499.0,,cuttack,4465832436,Ekdal,phc,16.84,13.07
398531.0,,cuttack,4465832436,Ekdal,phc,13.42,11.28
398503.0,,cuttack,4465832436,Ekdal,phc,17.8,13.17
398478.0,,cuttack,4465832436,Ekdal,phc,29.57,19.89
398488.0,,cuttack,4465832436,Ekdal,phc,21.73,15.71
398533.0,,cuttack,4465832436,Ekdal,phc,12.49,10.78
398449.0,,cuttack,4465832436,Ekdal,phc,42.11,26.58
