lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
383442.0,,deogarh,1111434146,Reamal,phc,9.95,13.92
383440.0,,deogarh,1111434146,Reamal,phc,14.09,14.9
383444.0,,deogarh,1111434146,Reamal,phc,24.09,28.51
383443.0,,deogarh,1111434146,Reamal,phc,10.57,14.81
383446.0,,deogarh,1111434146,Reamal,phc,7.27,10.12
383441.0,,deogarh,1111434146,Reamal,phc,9.75,13.64
383277.0,,deogarh,1887587135,Kansar,phc,20.88,13.11
383256.0,,deogarh,1887587135,Kansar,phc,14.92,9.87
383276.0,,deogarh,1887587135,Kansar,phc,14.98,9.91
383257.0,,deogarh,1887587135,Kansar,phc,14.92,9.87
383258.0,,deogarh,1887587135,Kansar,phc,14.95,9.88
382689.0,,deogarh,1887587135,Kansar,phc,13.38,8.84
382691.0,,deogarh,1887587135,Kansar,phc,26.63,21.82
382690.0,,deogarh,1887587135,Kansar,phc,13.93,9.2
382687.0,,deogarh,1887587135,Kansar,phc,24.12,18.27
382688.0,,deogarh,1887587135,Kansar,phc,26.58,21.75
382684.0,,deogarh,1887587135,Kansar,phc,26.71,21.93
382693.0,,deogarh,1887587135,Kansar,phc,29.08,25.3
382694.0,,deogarh,1887587135,Kansar,phc,29.42,25.78
382685.0,,deogarh,1887587135,Kansar,phc,22.34,15.75
383278.0,,deogarh,1887587135,Kansar,phc,14.98,9.91
383308.0,,deogarh,1887587135,Kansar,phc,17.0,11.25
383306.0,,deogarh,1887587135,Kansar,phc,17.19,11.38
383305.0,,deogarh,1887587135,Kansar,phc,14.19,9.24
383348.0,,deogarh,1111434146,Reamal,phc,17.47,12.05
383254.0,,deogarh,1887587135,Kansar,phc,13.38,8.84
383304.0,,deogarh,1887587135,Kansar,phc,11.73,7.74
383295.0,,deogarh,1887587135,Kansar,phc,0.0,0.0
383288.0,,deogarh,1887587135,Kansar,phc,2.01,1.34
383284.0,,deogarh,1887587135,Kansar,phc,9.28,6.11
383246.0,,deogarh,1887587135,Kansar,phc,18.18,12.12
383287.0,,deogarh,1887587135,Kansar,phc,2.87,1.91
383245.0,,deogarh,1887587135,Kansar,phc,5.06,3.37
383286.0,,deogarh,1887587135,Kansar,phc,7.54,4.68
383285.0,,deogarh,1887587135,Kansar,phc,8.94,5.88
383247.0,,deogarh,1887587135,Kansar,phc,9.34,6.15
383296.0,,deogarh,1887587135,Kansar,phc,3.1,1.99
383297.0,,deogarh,1887587135,Kansar,phc,4.1,2.66
383298.0,,deogarh,1887587135,Kansar,phc,5.52,3.6
383299.0,,deogarh,1887587135,Kansar,phc,5.55,3.62
383301.0,,deogarh,1887587135,Kansar,phc,6.94,4.55
383300.0,,deogarh,1887587135,Kansar,phc,6.62,4.25
383303.0,,deogarh,1887587135,Kansar,phc,11.34,7.48
383279.0,,deogarh,1887587135,Kansar,phc,14.04,9.28
383281.0,,deogarh,1887587135,Kansar,phc,12.47,8.23
383280.0,,deogarh,1887587135,Kansar,phc,13.32,8.79
383302.0,,deogarh,1887587135,Kansar,phc,8.38,5.51
383282.0,,deogarh,1887587135,Kansar,phc,12.0,7.92
383283.0,,deogarh,1887587135,Kansar,phc,10.5,6.92
383255.0,,deogarh,1887587135,Kansar,phc,13.3,8.78
383248.0,,deogarh,1887587135,Kansar,phc,20.17,13.44
383250.0,,deogarh,1887587135,Kansar,phc,22.3,15.7
382686.0,,deogarh,1887587135,Kansar,phc,22.43,15.88
383252.0,,deogarh,1887587135,Kansar,phc,10.4,6.85
383253.0,,deogarh,1887587135,Kansar,phc,10.78,7.11
383235.0,,deogarh,1887587135,Kansar,phc,11.54,7.69
383224.0,,deogarh,1887587135,Kansar,phc,29.24,25.46
383225.0,,deogarh,1887587135,Kansar,phc,29.29,25.53
383234.0,,deogarh,1887587135,Kansar,phc,11.6,7.74
383244.0,,deogarh,1887587135,Kansar,phc,7.97,5.31
383228.0,,deogarh,1887587135,Kansar,phc,28.54,24.46
383232.0,,deogarh,1887587135,Kansar,phc,29.0,25.12
383226.0,,deogarh,1887587135,Kansar,phc,12.97,8.64
383227.0,,deogarh,1887587135,Kansar,phc,12.97,8.64
383233.0,,deogarh,1887587135,Kansar,phc,13.32,8.88
383237.0,,deogarh,1887587135,Kansar,phc,11.54,7.69
383239.0,,deogarh,1887587135,Kansar,phc,32.46,29.96
383238.0,,deogarh,1887587135,Kansar,phc,11.54,7.69
383240.0,,deogarh,1887587135,Kansar,phc,2.31,1.54
383241.0,,deogarh,1887587135,Kansar,phc,2.31,1.54
383242.0,,deogarh,1887587135,Kansar,phc,7.88,5.26
