lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
403066.0,,dhenkanal,3377346725,Hatura,phc,15.31,16.03
403067.0,,dhenkanal,3377346725,Hatura,phc,14.58,15.02
403092.0,,dhenkanal,3553777834,Dudurakot,phc,12.37,13.81
403093.0,,dhenkanal,1656316138,Rasola,phc,21.46,14.28
403090.0,,dhenkanal,3553777834,Dudurakot,phc,11.25,12.72
403091.0,,dhenkanal,3553777834,Dudurakot,phc,9.73,11.07
403086.0,,dhenkanal,3553777834,Dudurakot,phc,7.33,8.47
403085.0,,dhenkanal,1656316138,Rasola,phc,10.41,8.67
403084.0,,dhenkanal,1656316138,Rasola,phc,10.05,8.43
403150.0,,dhenkanal,1656316138,Rasola,phc,20.77,14.06
403151.0,,dhenkanal,1656316138,Rasola,phc,24.36,16.45
403149.0,,dhenkanal,1656316138,Rasola,phc,16.28,11.07
403334.0,,dhenkanal,7534127886,Dhirapatna,phc,8.72,12.36
403328.0,,dhenkanal,7534127886,Dhirapatna,phc,11.51,13.34
403335.0,,dhenkanal,1656316138,Rasola,phc,10.25,11.09
403336.0,,dhenkanal,1656316138,Rasola,phc,7.25,10.27
403337.0,,dhenkanal,1656316138,Rasola,phc,8.08,11.45
403341.0,,dhenkanal,1656316138,Rasola,phc,9.21,13.06
403342.0,,dhenkanal,2283283683,Kalanga,phc,10.08,4.2
403339.0,,dhenkanal,2283283683,Kalanga,phc,4.75,1.98
403338.0,,dhenkanal,2283283683,Kalanga,phc,0.0,0.0
403388.0,,dhenkanal,2283283683,Kalanga,phc,21.14,8.73
403386.0,,dhenkanal,2283283683,Kalanga,phc,17.67,7.36
403387.0,,dhenkanal,7534127886,Dhirapatna,phc,19.82,14.83
403385.0,,dhenkanal,7534127886,Dhirapatna,phc,17.7,13.95
403384.0,,dhenkanal,7534127886,Dhirapatna,phc,13.17,12.88
403383.0,,dhenkanal,7534127886,Dhirapatna,phc,12.72,12.7
403340.0,,dhenkanal,2283283683,Kalanga,phc,7.45,3.1
403345.0,,dhenkanal,7534127886,Dhirapatna,phc,9.98,11.55
403344.0,,dhenkanal,7534127886,Dhirapatna,phc,8.38,11.87
403343.0,,dhenkanal,7534127886,Dhirapatna,phc,9.07,12.85
403346.0,,dhenkanal,7534127886,Dhirapatna,phc,6.8,9.64
403157.0,,dhenkanal,2283283683,Kalanga,phc,9.03,3.72
403156.0,,dhenkanal,2283283683,Kalanga,phc,26.2,10.85
403155.0,,dhenkanal,2283283683,Kalanga,phc,9.03,3.72
403153.0,,dhenkanal,1656316138,Rasola,phc,14.59,13.35
403152.0,,dhenkanal,1656316138,Rasola,phc,19.57,16.66
403147.0,,dhenkanal,1656316138,Rasola,phc,11.29,7.74
403146.0,,dhenkanal,1656316138,Rasola,phc,8.12,5.62
403145.0,,dhenkanal,1656316138,Rasola,phc,10.9,7.77
403144.0,,dhenkanal,1656316138,Rasola,phc,8.57,6.84
403154.0,,dhenkanal,2283283683,Kalanga,phc,9.03,3.72
403143.0,,dhenkanal,1656316138,Rasola,phc,12.42,11.69
403142.0,,dhenkanal,1656316138,Rasola,phc,9.28,9.82
403141.0,,dhenkanal,1656316138,Rasola,phc,7.25,8.47
403139.0,,dhenkanal,1656316138,Rasola,phc,9.23,10.26
403140.0,,dhenkanal,1656316138,Rasola,phc,4.18,5.93
403137.0,,dhenkanal,1656316138,Rasola,phc,1.27,1.79
403138.0,,dhenkanal,1656316138,Rasola,phc,6.67,6.93
403148.0,,dhenkanal,1656316138,Rasola,phc,10.6,7.28
403324.0,,dhenkanal,7534127886,Dhirapatna,phc,10.59,12.48
403329.0,,dhenkanal,7534127886,Dhirapatna,phc,9.21,11.23
403330.0,,dhenkanal,7534127886,Dhirapatna,phc,7.61,9.76
403356.0,,dhenkanal,7534127886,Dhirapatna,phc,6.78,7.26
403350.0,,dhenkanal,7534127886,Dhirapatna,phc,6.71,7.23
403333.0,,dhenkanal,7534127886,Dhirapatna,phc,7.25,9.97
403331.0,,dhenkanal,7534127886,Dhirapatna,phc,5.89,8.35
403349.0,,dhenkanal,7534127886,Dhirapatna,phc,6.48,8.4
403332.0,,dhenkanal,7534127886,Dhirapatna,phc,7.03,8.99
403347.0,,dhenkanal,7534127886,Dhirapatna,phc,12.66,11.85
403382.0,,dhenkanal,7534127886,Dhirapatna,phc,11.34,11.86
403348.0,,dhenkanal,7534127886,Dhirapatna,phc,6.74,7.27
403389.0,,dhenkanal,7534127886,Dhirapatna,phc,14.59,14.02
403381.0,,dhenkanal,7534127886,Dhirapatna,phc,11.73,9.35
403391.0,,dhenkanal,7534127886,Dhirapatna,phc,20.69,18.09
403351.0,,dhenkanal,7534127886,Dhirapatna,phc,5.17,5.9
403355.0,,dhenkanal,7534127886,Dhirapatna,phc,7.95,7.75
403354.0,,dhenkanal,7534127886,Dhirapatna,phc,7.74,6.97
403352.0,,dhenkanal,7534127886,Dhirapatna,phc,6.28,6.36
403390.0,,dhenkanal,7534127886,Dhirapatna,phc,18.17,16.41
403014.0,,dhenkanal,3377346725,Hatura,phc,24.17,16.12
403022.0,,dhenkanal,3377346725,Hatura,phc,22.75,15.52
403028.0,,dhenkanal,3377346725,Hatura,phc,1.44,2.04
403027.0,,dhenkanal,3377346725,Hatura,phc,1.69,2.39
403024.0,,dhenkanal,3377346725,Hatura,phc,24.77,16.36
403025.0,,dhenkanal,3377346725,Hatura,phc,27.97,17.68
403026.0,,dhenkanal,3553777834,Dudurakot,phc,1.45,2.06
403030.0,,dhenkanal,3553777834,Dudurakot,phc,0.78,1.1
403013.0,,dhenkanal,3377346725,Hatura,phc,28.49,17.89
403012.0,,dhenkanal,3377346725,Hatura,phc,29.23,18.2
403031.0,,dhenkanal,3377346725,Hatura,phc,36.11,21.02
403029.0,,dhenkanal,3553777834,Dudurakot,phc,0.0,0.0
403037.0,,dhenkanal,3553777834,Dudurakot,phc,3.94,4.83
403036.0,,dhenkanal,3553777834,Dudurakot,phc,5.08,6.06
403038.0,,dhenkanal,3553777834,Dudurakot,phc,3.06,3.87
403032.0,,dhenkanal,3553777834,Dudurakot,phc,5.92,6.97
403039.0,,dhenkanal,3377346725,Hatura,phc,8.79,8.89
403051.0,,dhenkanal,3377346725,Hatura,phc,4.58,5.49
403052.0,,dhenkanal,3377346725,Hatura,phc,10.29,10.06
403053.0,,dhenkanal,3377346725,Hatura,phc,12.56,11.57
403054.0,,dhenkanal,3377346725,Hatura,phc,15.16,13.29
403057.0,,dhenkanal,3377346725,Hatura,phc,11.89,11.97
403058.0,,dhenkanal,3377346725,Hatura,phc,14.51,13.72
403055.0,,dhenkanal,3377346725,Hatura,phc,5.53,6.82
403063.0,,dhenkanal,3377346725,Hatura,phc,8.34,9.87
403059.0,,dhenkanal,3377346725,Hatura,phc,11.91,11.98
403060.0,,dhenkanal,3377346725,Hatura,phc,13.91,12.21
403061.0,,dhenkanal,3377346725,Hatura,phc,13.54,12.06
403065.0,,dhenkanal,3377346725,Hatura,phc,16.26,15.69
403062.0,,dhenkanal,3377346725,Hatura,phc,13.91,12.21
403064.0,,dhenkanal,3377346725,Hatura,phc,18.58,16.66
403049.0,,dhenkanal,3377346725,Hatura,phc,0.83,1.17
403072.0,,dhenkanal,3553777834,Dudurakot,phc,3.11,3.91
403050.0,,dhenkanal,3377346725,Hatura,phc,1.28,1.82
403040.0,,dhenkanal,3377346725,Hatura,phc,1.28,1.81
403041.0,,dhenkanal,3377346725,Hatura,phc,5.9,6.17
403042.0,,dhenkanal,3377346725,Hatura,phc,6.09,6.3
403043.0,,dhenkanal,3377346725,Hatura,phc,8.36,7.81
403044.0,,dhenkanal,3377346725,Hatura,phc,0.06,0.09
403045.0,,dhenkanal,3377346725,Hatura,phc,0.0,0.0
403046.0,,dhenkanal,3377346725,Hatura,phc,0.12,0.17
403070.0,,dhenkanal,3553777834,Dudurakot,phc,1.27,1.8
403047.0,,dhenkanal,3553777834,Dudurakot,phc,1.32,1.87
403048.0,,dhenkanal,3377346725,Hatura,phc,1.67,2.36
403068.0,,dhenkanal,3553777834,Dudurakot,phc,14.03,13.59
403069.0,,dhenkanal,3553777834,Dudurakot,phc,7.84,9.04
403071.0,,dhenkanal,3553777834,Dudurakot,phc,5.89,6.54
403087.0,,dhenkanal,3553777834,Dudurakot,phc,7.57,8.74
403089.0,,dhenkanal,3553777834,Dudurakot,phc,11.19,12.66
403088.0,,dhenkanal,3553777834,Dudurakot,phc,9.97,11.34
403023.0,,dhenkanal,3377346725,Hatura,phc,24.77,16.36
403081.0,,dhenkanal,1656316138,Rasola,phc,9.91,8.34
403083.0,,dhenkanal,3553777834,Dudurakot,phc,5.47,6.06
403082.0,,dhenkanal,3553777834,Dudurakot,phc,5.47,6.06
403079.0,,dhenkanal,1656316138,Rasola,phc,11.4,8.44
403073.0,,dhenkanal,3553777834,Dudurakot,phc,3.6,4.43
403078.0,,dhenkanal,1656316138,Rasola,phc,6.09,5.99
403074.0,,dhenkanal,3553777834,Dudurakot,phc,2.8,3.97
403077.0,,dhenkanal,1656316138,Rasola,phc,4.2,4.72
403056.0,,dhenkanal,3377346725,Hatura,phc,11.64,11.8
402967.0,,dhenkanal,3374285280,Nimidha,phc,18.35,13.05
402969.0,,dhenkanal,3374285280,Nimidha,phc,15.58,13.76
402968.0,,dhenkanal,3374285280,Nimidha,phc,11.33,10.85
402971.0,,dhenkanal,3374285280,Nimidha,phc,18.24,14.16
402898.0,,dhenkanal,3374285280,Nimidha,phc,13.71,11.13
402901.0,,dhenkanal,3374285280,Nimidha,phc,8.54,6.9
402899.0,,dhenkanal,3374285280,Nimidha,phc,24.13,16.13
402902.0,,dhenkanal,3374285280,Nimidha,phc,8.21,6.43
402897.0,,dhenkanal,3374285280,Nimidha,phc,17.0,12.49
402970.0,,dhenkanal,3374285280,Nimidha,phc,14.31,12.53
402977.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,0.04,0.02
402991.0,,dhenkanal,3377346725,Hatura,phc,17.77,13.47
402972.0,,dhenkanal,3377346725,Hatura,phc,14.97,12.15
402973.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,3.67,2.44
402978.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,3.01,2.01
402989.0,,dhenkanal,3377346725,Hatura,phc,35.44,20.78
402979.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,0.0,0.0
402981.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,44.63,23.22
402980.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,43.61,22.79
402988.0,,dhenkanal,3377346725,Hatura,phc,35.44,20.78
402974.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,5.57,3.71
402975.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,2.6,1.74
402976.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,0.0,0.0
402985.0,,dhenkanal,3374285280,Nimidha,phc,24.13,16.13
402984.0,,dhenkanal,3374285280,Nimidha,phc,24.13,16.13
402983.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,0.0,0.0
402986.0,,dhenkanal,3374285280,Nimidha,phc,24.13,16.13
402987.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,44.63,23.22
403016.0,,dhenkanal,3377346725,Hatura,phc,17.78,13.45
403017.0,,dhenkanal,3377346725,Hatura,phc,19.25,14.07
403018.0,,dhenkanal,3377346725,Hatura,phc,19.25,14.07
403019.0,,dhenkanal,3377346725,Hatura,phc,9.69,8.69
403021.0,,dhenkanal,3377346725,Hatura,phc,9.35,8.47
403015.0,,dhenkanal,3377346725,Hatura,phc,21.71,15.09
403020.0,,dhenkanal,3377346725,Hatura,phc,22.1,15.25
403011.0,,dhenkanal,3377346725,Hatura,phc,26.1,16.9
403010.0,,dhenkanal,3377346725,Hatura,phc,31.77,19.26
403009.0,,dhenkanal,3377346725,Hatura,phc,36.11,21.02
403008.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,42.65,22.39
402994.0,,dhenkanal,3374285280,Nimidha,phc,8.14,5.42
403007.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,44.63,23.22
402993.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,44.63,23.22
403006.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,43.83,22.88
402900.0,,dhenkanal,3374285280,Nimidha,phc,8.18,6.39
402990.0,,dhenkanal,3377346725,Hatura,phc,25.65,16.71
402992.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,44.63,23.22
402982.0,,dhenkanal,1368673867,Paika Puruna Kota,phc,0.0,0.0
402839.0,,dhenkanal,1211826563,Kantiokateni,phc,4.93,3.28
402290.0,,dhenkanal,5772844410,Patrapada (Lodhanichhaka),phc,8.43,4.32
402837.0,,dhenkanal,7811764682,Sirimula,phc,0.0,0.0
402836.0,,dhenkanal,7811764682,Sirimula,phc,8.53,5.68
402310.0,,dhenkanal,8574277326,Kumusi,phc,12.84,7.86
402840.0,,dhenkanal,1211826563,Kantiokateni,phc,0.0,0.0
402291.0,,dhenkanal,5772844410,Patrapada (Lodhanichhaka),phc,10.02,5.77
402305.0,,dhenkanal,5772844410,Patrapada (Lodhanichhaka),phc,13.47,8.2
402835.0,,dhenkanal,7811764682,Sirimula,phc,9.48,6.32
402306.0,,dhenkanal,8574277326,Kumusi,phc,13.21,8.12
402859.0,,dhenkanal,1211826563,Kantiokateni,phc,30.0,17.55
402304.0,,dhenkanal,8574277326,Kumusi,phc,9.22,5.45
402841.0,,dhenkanal,1211826563,Kantiokateni,phc,28.03,16.71
