lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
414540.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414530.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414551.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414554.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414553.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414555.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414575.0,,gajapati,2347738326,Hadhubhangi,phc,0.36,0.39
414537.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414546.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414535.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414536.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414445.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414556.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414574.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414545.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414446.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414541.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414552.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414548.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414549.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414542.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414557.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
250545.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414444.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414544.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414547.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414550.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414543.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414531.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414506.0,,gajapati,3717481836,Khandava,phc,6.67,3.65
414526.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414534.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414514.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414523.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414426.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414442.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414516.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414499.0,,gajapati,3717481836,Khandava,phc,0.0,0.0
414508.0,,gajapati,3717481836,Khandava,phc,8.05,6.09
414538.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414441.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414428.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414507.0,,gajapati,3717481836,Khandava,phc,6.06,4.87
414425.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414539.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414443.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414529.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414505.0,,gajapati,3717481836,Khandava,phc,0.0,0.0
414528.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414527.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414520.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414438.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414525.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414518.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414427.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414502.0,,gajapati,3717481836,Khandava,phc,0.0,0.0
414524.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414532.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414439.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414429.0,,gajapati,8835316681,Gaiba,phc,0.0,0.0
414519.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414504.0,,gajapati,3717481836,Khandava,phc,0.0,0.0
414422.0,,gajapati,8835316681,Gaiba,phc,19.69,8.2
414511.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414517.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414509.0,,gajapati,3717481836,Khandava,phc,7.86,6.0
414384.0,,gajapati,8835316681,Gaiba,phc,19.75,8.23
414383.0,,gajapati,3717481836,Khandava,phc,0.0,0.0
414386.0,,gajapati,8835316681,Gaiba,phc,19.75,8.23
414512.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414522.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414440.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414513.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414385.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414424.0,,gajapati,8835316681,Gaiba,phc,19.69,8.2
414430.0,,gajapati,8835316681,Gaiba,phc,0.0,0.0
414521.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414423.0,,gajapati,8835316681,Gaiba,phc,0.74,0.31
414533.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414510.0,,gajapati,3717481836,Khandava,phc,7.86,6.0
414515.0,,gajapati,8835316681,Gaiba,phc,0.01,0.01
414503.0,,gajapati,3717481836,Khandava,phc,0.0,0.0
414566.0,,gajapati,2347738326,Hadhubhangi,phc,3.05,3.3
414606.0,,gajapati,2347738326,Hadhubhangi,phc,8.86,8.64
414576.0,,gajapati,2347738326,Hadhubhangi,phc,0.22,0.24
414602.0,,gajapati,1187858640,Namanguda,phc,1.58,0.66
414568.0,,gajapati,2347738326,Hadhubhangi,phc,1.39,1.5
414611.0,,gajapati,2347738326,Hadhubhangi,phc,3.14,3.4
414564.0,,gajapati,1187858640,Namanguda,phc,5.62,2.34
414608.0,,gajapati,2347738326,Hadhubhangi,phc,3.56,3.85
414612.0,,gajapati,2347738326,Hadhubhangi,phc,3.53,3.83
414573.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414558.0,,gajapati,2347738326,Hadhubhangi,phc,0.59,0.64
414622.0,,gajapati,1187858640,Namanguda,phc,15.22,7.11
414579.0,,gajapati,2347738326,Hadhubhangi,phc,0.45,0.49
414615.0,,gajapati,2347738326,Hadhubhangi,phc,5.99,6.49
414613.0,,gajapati,2347738326,Hadhubhangi,phc,3.18,3.44
414578.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414577.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414614.0,,gajapati,2347738326,Hadhubhangi,phc,4.61,4.99
414580.0,,gajapati,2347738326,Hadhubhangi,phc,1.79,1.94
414572.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414605.0,,gajapati,1187858640,Namanguda,phc,5.2,2.16
414569.0,,gajapati,2347738326,Hadhubhangi,phc,1.25,1.36
414607.0,,gajapati,2347738326,Hadhubhangi,phc,7.69,7.47
414567.0,,gajapati,2347738326,Hadhubhangi,phc,1.39,1.5
414603.0,,gajapati,1187858640,Namanguda,phc,2.51,1.05
414570.0,,gajapati,2347738326,Hadhubhangi,phc,0.59,0.64
414604.0,,gajapati,1187858640,Namanguda,phc,0.77,0.32
414571.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414596.0,,gajapati,1187858640,Namanguda,phc,6.33,2.64
414594.0,,gajapati,1187858640,Namanguda,phc,6.33,2.64
414595.0,,gajapati,1187858640,Namanguda,phc,3.23,1.35
414563.0,,gajapati,1187858640,Namanguda,phc,5.68,2.37
414447.0,,gajapati,2347738326,Hadhubhangi,phc,0.0,0.0
414610.0,,gajapati,1187858640,Namanguda,phc,1.35,0.56
414593.0,,gajapati,1187858640,Namanguda,phc,5.52,2.3
414565.0,,gajapati,2347738326,Hadhubhangi,phc,1.39,1.5
414616.0,,gajapati,2347738326,Hadhubhangi,phc,7.19,7.52
414609.0,,gajapati,1187858640,Namanguda,phc,0.0,0.0
414644.0,,gajapati,2282364849,Baghasala,phc,16.85,11.67
414645.0,,gajapati,2282364849,Baghasala,phc,15.77,10.95
414598.0,,gajapati,1187858640,Namanguda,phc,3.04,1.27
414662.0,,gajapati,2282364849,Baghasala,phc,17.1,9.62
414655.0,,gajapati,2282364849,Baghasala,phc,17.79,10.49
414665.0,,gajapati,2282364849,Baghasala,phc,17.93,10.5
414703.0,,gajapati,2282364849,Baghasala,phc,2.44,1.02
414597.0,,gajapati,1187858640,Namanguda,phc,0.89,0.37
414669.0,,gajapati,2282364849,Baghasala,phc,23.99,18.91
414656.0,,gajapati,2282364849,Baghasala,phc,19.17,11.35
414667.0,,gajapati,2282364849,Baghasala,phc,19.1,11.98
414657.0,,gajapati,2282364849,Baghasala,phc,16.37,8.97
250544.0,,gajapati,2347738326,Hadhubhangi,phc,13.54,13.24
414650.0,,gajapati,2282364849,Baghasala,phc,12.57,8.78
414641.0,,gajapati,2282364849,Baghasala,phc,16.85,13.27
414707.0,,gajapati,2282364849,Baghasala,phc,7.64,3.15
414706.0,,gajapati,2282364849,Baghasala,phc,8.63,3.54
414647.0,,gajapati,2282364849,Baghasala,phc,14.71,10.53
414702.0,,gajapati,2282364849,Baghasala,phc,17.25,9.91
414627.0,,gajapati,1187858640,Namanguda,phc,18.17,9.56
414638.0,,gajapati,1187858640,Namanguda,phc,18.52,9.79
414635.0,,gajapati,2282364849,Baghasala,phc,18.57,15.11
414658.0,,gajapati,2282364849,Baghasala,phc,19.19,11.3
414705.0,,gajapati,2282364849,Baghasala,phc,19.5,16.1
414639.0,,gajapati,2282364849,Baghasala,phc,17.0,13.0
414632.0,,gajapati,2282364849,Baghasala,phc,18.24,14.75
414704.0,,gajapati,2282364849,Baghasala,phc,19.64,12.46
414636.0,,gajapati,2282364849,Baghasala,phc,17.88,14.37
414701.0,,gajapati,2282364849,Baghasala,phc,15.26,8.44
414491.0,,gajapati,2282364849,Baghasala,phc,16.69,9.19
414624.0,,gajapati,2347738326,Hadhubhangi,phc,14.0,11.16
414708.0,,gajapati,2282364849,Baghasala,phc,4.18,1.74
414652.0,,gajapati,2282364849,Baghasala,phc,20.39,12.65
414666.0,,gajapati,2282364849,Baghasala,phc,17.97,10.55
414621.0,,gajapati,1187858640,Namanguda,phc,12.28,5.11
414626.0,,gajapati,1187858640,Namanguda,phc,14.52,6.48
414620.0,,gajapati,1187858640,Namanguda,phc,12.19,5.08
414629.0,,gajapati,1187858640,Namanguda,phc,18.52,9.79
