lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
413452.0,,ganjam,4758832234,Surangi,phc,26.83,17.88
413451.0,,ganjam,4758832234,Surangi,phc,34.56,23.03
413450.0,,ganjam,4758832234,Surangi,phc,29.48,19.64
413447.0,,ganjam,4758832234,Surangi,phc,5.46,3.64
413453.0,,ganjam,4758832234,Surangi,phc,5.46,3.64
413443.0,,ganjam,4758832234,Surangi,phc,4.92,3.27
413454.0,,ganjam,4758832234,Surangi,phc,4.92,3.27
413455.0,,ganjam,4758832234,Surangi,phc,4.92,3.27
413458.0,,ganjam,4758832234,Surangi,phc,80.17,44.21
413456.0,,ganjam,4758832234,Surangi,phc,61.72,36.28
413457.0,,ganjam,4758832234,Surangi,phc,80.17,44.21
413444.0,,ganjam,4758832234,Surangi,phc,4.92,3.27
413446.0,,ganjam,4758832234,Surangi,phc,4.95,3.3
413459.0,,ganjam,4758832234,Surangi,phc,4.5,3.0
413445.0,,ganjam,4758832234,Surangi,phc,4.92,3.27
413387.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413429.0,,ganjam,4758832234,Surangi,phc,16.1,10.73
413449.0,,ganjam,4758832234,Surangi,phc,23.08,15.38
413383.0,,ganjam,4758832234,Surangi,phc,16.1,10.73
413381.0,,ganjam,4758832234,Surangi,phc,16.09,10.72
413380.0,,ganjam,4758832234,Surangi,phc,16.09,10.72
413382.0,,ganjam,4758832234,Surangi,phc,16.09,10.72
413377.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413431.0,,ganjam,4758832234,Surangi,phc,22.59,15.05
413432.0,,ganjam,4758832234,Surangi,phc,13.91,9.27
413384.0,,ganjam,4758832234,Surangi,phc,16.09,10.72
413385.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413434.0,,ganjam,4758832234,Surangi,phc,19.39,12.92
413433.0,,ganjam,4758832234,Surangi,phc,17.32,11.54
413430.0,,ganjam,4758832234,Surangi,phc,18.25,12.16
413435.0,,ganjam,4758832234,Surangi,phc,16.87,11.24
413448.0,,ganjam,4758832234,Surangi,phc,22.95,15.3
413173.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413106.0,,ganjam,1111427728,Turubudi,phc,0.0,0.0
413175.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413174.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413110.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413107.0,,ganjam,1111427728,Turubudi,phc,0.0,0.0
413378.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413109.0,,ganjam,1111427728,Turubudi,phc,0.0,0.0
413105.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413171.0,,ganjam,1111427728,Turubudi,phc,0.0,0.0
413235.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413111.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413232.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413231.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413354.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413172.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413113.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413355.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413234.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413112.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413170.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413176.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413233.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413379.0,,ganjam,4758832234,Surangi,phc,16.09,10.72
413353.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413351.0,,ganjam,4758832234,Surangi,phc,14.25,9.5
413352.0,,ganjam,4758832234,Surangi,phc,14.24,9.49
413271.0,,ganjam,1111427728,Turubudi,phc,0.24,0.16
413365.0,,ganjam,1111427728,Turubudi,phc,1.99,1.33
413343.0,,ganjam,4758832234,Surangi,phc,1.95,1.3
413403.0,,ganjam,4758832234,Surangi,phc,0.0,0.0
413309.0,,ganjam,1111427728,Turubudi,phc,1.85,1.24
413305.0,,ganjam,5248683665,Jarada,phc,0.0,0.0
413345.0,,ganjam,4758832234,Surangi,phc,3.86,2.57
413339.0,,ganjam,4758832234,Surangi,phc,2.12,1.41
413439.0,,ganjam,4758832234,Surangi,phc,5.79,3.85
413406.0,,ganjam,4758832234,Surangi,phc,1.96,1.31
413374.0,,ganjam,4758832234,Surangi,phc,3.27,2.18
413373.0,,ganjam,1111427728,Turubudi,phc,2.98,1.99
413390.0,,ganjam,4758832234,Surangi,phc,12.5,8.33
413398.0,,ganjam,4758832234,Surangi,phc,3.27,2.18
413410.0,,ganjam,4758832234,Surangi,phc,4.28,2.85
413440.0,,ganjam,4758832234,Surangi,phc,5.79,3.85
413407.0,,ganjam,4758832234,Surangi,phc,3.91,2.6
413313.0,,ganjam,5248683665,Jarada,phc,0.03,0.02
413311.0,,ganjam,1111427728,Turubudi,phc,1.31,0.87
413306.0,,ganjam,1111427728,Turubudi,phc,0.94,0.63
413371.0,,ganjam,1111427728,Turubudi,phc,1.05,0.7
413402.0,,ganjam,4758832234,Surangi,phc,3.26,2.17
413376.0,,ganjam,4758832234,Surangi,phc,13.01,8.67
413411.0,,ganjam,4758832234,Surangi,phc,3.91,2.6
413421.0,,ganjam,4758832234,Surangi,phc,5.79,3.85
413420.0,,ganjam,4758832234,Surangi,phc,5.18,3.45
413341.0,,ganjam,4758832234,Surangi,phc,1.09,0.73
413428.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413332.0,,ganjam,1111427728,Turubudi,phc,3.35,2.23
413333.0,,ganjam,1111427728,Turubudi,phc,4.36,2.91
413415.0,,ganjam,4758832234,Surangi,phc,6.62,4.41
413369.0,,ganjam,1111427728,Turubudi,phc,1.99,1.33
413400.0,,ganjam,4758832234,Surangi,phc,3.26,2.17
413394.0,,ganjam,4758832234,Surangi,phc,12.38,8.26
413405.0,,ganjam,4758832234,Surangi,phc,1.23,0.82
413422.0,,ganjam,4758832234,Surangi,phc,7.24,4.82
413424.0,,ganjam,4758832234,Surangi,phc,8.85,5.9
413367.0,,ganjam,4758832234,Surangi,phc,13.01,8.67
413408.0,,ganjam,4758832234,Surangi,phc,3.91,2.6
413236.0,,ganjam,1111427728,Turubudi,phc,1.05,0.7
413372.0,,ganjam,1111427728,Turubudi,phc,2.98,1.99
413399.0,,ganjam,1111427728,Turubudi,phc,3.99,2.66
413391.0,,ganjam,4758832234,Surangi,phc,13.01,8.67
413370.0,,ganjam,1111427728,Turubudi,phc,1.99,1.33
413375.0,,ganjam,4758832234,Surangi,phc,12.5,8.33
413438.0,,ganjam,4758832234,Surangi,phc,10.63,7.09
413437.0,,ganjam,4758832234,Surangi,phc,9.6,6.4
413393.0,,ganjam,4758832234,Surangi,phc,12.38,8.26
413416.0,,ganjam,4758832234,Surangi,phc,8.7,5.8
413308.0,,ganjam,1111427728,Turubudi,phc,1.96,1.3
413312.0,,ganjam,1111427728,Turubudi,phc,2.56,1.71
413310.0,,ganjam,1111427728,Turubudi,phc,2.56,1.71
413386.0,,ganjam,4758832234,Surangi,phc,13.01,8.67
413395.0,,ganjam,4758832234,Surangi,phc,8.74,5.82
413425.0,,ganjam,4758832234,Surangi,phc,11.81,7.87
413427.0,,ganjam,4758832234,Surangi,phc,11.81,7.87
413392.0,,ganjam,4758832234,Surangi,phc,12.5,8.33
413368.0,,ganjam,4758832234,Surangi,phc,13.01,8.67
413307.0,,ganjam,1111427728,Turubudi,phc,1.05,0.7
413237.0,,ganjam,1111427728,Turubudi,phc,0.0,0.0
413388.0,,ganjam,4758832234,Surangi,phc,13.11,8.74
413389.0,,ganjam,4758832234,Surangi,phc,13.01,8.67
413396.0,,ganjam,4758832234,Surangi,phc,3.26,2.17
413436.0,,ganjam,4758832234,Surangi,phc,12.05,8.03
413412.0,,ganjam,4758832234,Surangi,phc,3.4,2.26
413338.0,,ganjam,4758832234,Surangi,phc,2.56,1.71
413330.0,,ganjam,5248683665,Jarada,phc,0.03,0.02
413397.0,,ganjam,4758832234,Surangi,phc,8.7,5.8
413417.0,,ganjam,4758832234,Surangi,phc,8.74,5.82
413401.0,,ganjam,4758832234,Surangi,phc,3.58,2.38
413418.0,,ganjam,4758832234,Surangi,phc,12.5,8.33
413331.0,,ganjam,5248683665,Jarada,phc,0.63,0.42
413334.0,,ganjam,1111427728,Turubudi,phc,3.88,2.59
413336.0,,ganjam,4758832234,Surangi,phc,4.2,2.8
413337.0,,ganjam,4758832234,Surangi,phc,2.92,1.95
413344.0,,ganjam,4758832234,Surangi,phc,3.86,2.57
413346.0,,ganjam,4758832234,Surangi,phc,3.86,2.57
413335.0,,ganjam,4758832234,Surangi,phc,3.86,2.57
413414.0,,ganjam,4758832234,Surangi,phc,6.62,4.41
413340.0,,ganjam,4758832234,Surangi,phc,1.0,0.67
413342.0,,ganjam,4758832234,Surangi,phc,1.5,1.0
413404.0,,ganjam,4758832234,Surangi,phc,1.39,0.92
413413.0,,ganjam,4758832234,Surangi,phc,2.88,1.92
413426.0,,ganjam,4758832234,Surangi,phc,10.15,6.77
413423.0,,ganjam,4758832234,Surangi,phc,5.79,3.85
413419.0,,ganjam,4758832234,Surangi,phc,5.46,3.64
413409.0,,ganjam,4758832234,Surangi,phc,4.28,2.85
413441.0,,ganjam,4758832234,Surangi,phc,5.46,3.64
