lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
401749.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401760.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401751.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401762.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401754.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401765.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401746.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401766.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401748.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401764.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401750.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401752.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401763.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401755.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401761.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401756.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401747.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401753.0,,jajapur,3387835170,Chhatia,phc,0.0,0.0
401858.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0
401850.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0
401860.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0
401851.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0
401861.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0
401849.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0
401859.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0
402081.0,,jajapur,3548658578,Arabala,phc,0.0,0.0
401862.0,,jajapur,3875426730,Birupagenguti,phc,0.0,0.0
402085.0,,jajapur,3548658578,Arabala,phc,0.0,0.0
402083.0,,jajapur,3548658578,Arabala,phc,0.0,0.0
402082.0,,jajapur,3548658578,Arabala,phc,0.0,0.0
402084.0,,jajapur,4461285878,Haladidiha,phc,0.0,0.0
401637.0,,jajapur,3118477839,Baunsamuli,phc,3.48,2.26
401636.0,,jajapur,3118477839,Baunsamuli,phc,12.69,8.4
401635.0,,jajapur,3118477839,Baunsamuli,phc,7.55,4.97
401634.0,,jajapur,3118477839,Baunsamuli,phc,2.44,1.63
400521.0,,jajapur,8852822587,Kuhika,phc,23.38,19.75
400524.0,,jajapur,8852822587,Kuhika,phc,18.93,14.37
400426.0,,jajapur,8852822587,Kuhika,phc,12.58,10.12
400455.0,,jajapur,8781383529,Atta,phc,3.36,1.32
