lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
381000.0,,jharsuguda,1111454276,Remta,phc,0.0,0.0
380999.0,,jharsuguda,1111454276,Remta,phc,9.87,5.45
380997.0,,jharsuguda,1111454276,Remta,phc,14.88,7.47
381002.0,,jharsuguda,1111454276,Remta,phc,1.78,1.19
380995.0,,jharsuguda,1111454276,Remta,phc,9.35,6.12
380998.0,,jharsuguda,1111454276,Remta,phc,10.63,6.54
380996.0,,jharsuguda,1111454276,Remta,phc,5.36,3.22
380994.0,,jharsuguda,1111454276,Remta,phc,11.13,7.41
380993.0,,jharsuguda,1111454276,Remta,phc,12.74,8.26
380988.0,,jharsuguda,1111454458,Kanaktora,phc,12.52,8.67
381003.0,,jharsuguda,1111454276,Remta,phc,1.78,1.19
381004.0,,jharsuguda,1111454276,Remta,phc,58.41,36.9
380970.0,,jharsuguda,1111454334,Palsada,phc,10.68,15.13
381001.0,,jharsuguda,1111454276,Remta,phc,2.02,1.35
380991.0,,jharsuguda,1111454276,Remta,phc,15.38,10.24
380992.0,,jharsuguda,1111454276,Remta,phc,14.22,9.33
380974.0,,jharsuguda,1111454334,Palsada,phc,8.55,12.12
380971.0,,jharsuguda,1111454334,Palsada,phc,9.4,13.31
380972.0,,jharsuguda,1111454334,Palsada,phc,9.38,13.29
380976.0,,jharsuguda,1111454334,Palsada,phc,7.09,10.04
380975.0,,jharsuguda,1111454334,Palsada,phc,8.22,11.65
380989.0,,jharsuguda,1111454458,Kanaktora,phc,12.5,8.66
380990.0,,jharsuguda,1111454458,Kanaktora,phc,13.89,9.59
380977.0,,jharsuguda,1111454334,Palsada,phc,2.61,3.71
380952.0,,jharsuguda,1111454458,Kanaktora,phc,5.31,2.98
380953.0,,jharsuguda,1111454458,Kanaktora,phc,0.0,0.0
380987.0,,jharsuguda,1111454458,Kanaktora,phc,5.55,4.03
380933.0,,jharsuguda,1111454334,Palsada,phc,6.78,5.2
380936.0,,jharsuguda,1111454334,Palsada,phc,9.11,6.76
380930.0,,jharsuguda,1111454334,Palsada,phc,13.76,9.28
380966.0,,jharsuguda,1111454334,Palsada,phc,6.59,9.34
380944.0,,jharsuguda,1111454334,Palsada,phc,4.48,3.68
380951.0,,jharsuguda,1111454458,Kanaktora,phc,5.75,3.26
380929.0,,jharsuguda,1111454334,Palsada,phc,10.05,7.83
380934.0,,jharsuguda,1111454334,Palsada,phc,9.99,6.76
380931.0,,jharsuguda,1111454334,Palsada,phc,8.22,7.17
380965.0,,jharsuguda,1111454334,Palsada,phc,6.99,9.9
380967.0,,jharsuguda,1111454334,Palsada,phc,8.36,11.85
380938.0,,jharsuguda,1111454334,Palsada,phc,9.57,8.23
380942.0,,jharsuguda,1111454334,Palsada,phc,2.92,4.14
380941.0,,jharsuguda,1111454334,Palsada,phc,5.19,7.36
380973.0,,jharsuguda,1111454334,Palsada,phc,8.06,11.42
380949.0,,jharsuguda,1111454334,Palsada,phc,6.49,6.33
380960.0,,jharsuguda,1111454334,Palsada,phc,0.83,1.18
380961.0,,jharsuguda,1111454334,Palsada,phc,1.59,2.25
380948.0,,jharsuguda,1111454334,Palsada,phc,3.42,2.39
380957.0,,jharsuguda,1111454334,Palsada,phc,2.83,3.45
380945.0,,jharsuguda,1111454334,Palsada,phc,4.54,3.2
380937.0,,jharsuguda,1111454334,Palsada,phc,7.3,5.56
380928.0,,jharsuguda,1111454334,Palsada,phc,15.96,10.2
380935.0,,jharsuguda,1111454334,Palsada,phc,13.19,9.48
380955.0,,jharsuguda,1111454458,Kanaktora,phc,4.48,5.5
380964.0,,jharsuguda,1111454334,Palsada,phc,4.0,5.68
380932.0,,jharsuguda,1111454334,Palsada,phc,8.89,5.11
380950.0,,jharsuguda,1111454334,Palsada,phc,6.73,7.03
380983.0,,jharsuguda,1111454334,Palsada,phc,4.49,6.35
380940.0,,jharsuguda,1111454334,Palsada,phc,5.63,7.99
380943.0,,jharsuguda,1111454334,Palsada,phc,5.84,3.69
380939.0,,jharsuguda,1111454334,Palsada,phc,11.97,9.23
380968.0,,jharsuguda,1111454334,Palsada,phc,8.96,12.7
380946.0,,jharsuguda,1111454334,Palsada,phc,3.77,2.9
380947.0,,jharsuguda,1111454334,Palsada,phc,4.6,2.92
380986.0,,jharsuguda,1111454458,Kanaktora,phc,5.09,3.45
