lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
424203.0,,kalahandi,4216554115,Dhansuli,phc,8.18,5.45
424219.0,,kalahandi,4216554115,Dhansuli,phc,3.92,2.6
424515.0,,kalahandi,4216554115,Dhansuli,phc,103.01,68.45
424220.0,,kalahandi,4216554115,Dhansuli,phc,7.26,4.84
424215.0,,kalahandi,4216554115,Dhansuli,phc,16.81,11.12
424182.0,,kalahandi,1212456717,Uchhula,phc,34.39,19.75
424218.0,,kalahandi,4216554115,Dhansuli,phc,0.0,0.0
424472.0,,kalahandi,4216554115,Dhansuli,phc,64.76,43.08
424201.0,,kalahandi,4216554115,Dhansuli,phc,2.32,1.54
424200.0,,kalahandi,1212456717,Uchhula,phc,33.19,19.25
424516.0,,kalahandi,4216554115,Dhansuli,phc,103.01,68.45
424223.0,,kalahandi,4216554115,Dhansuli,phc,11.74,7.81
424474.0,,kalahandi,4216554115,Dhansuli,phc,64.76,43.08
424224.0,,kalahandi,4216554115,Dhansuli,phc,6.98,4.66
424471.0,,kalahandi,4216554115,Dhansuli,phc,64.76,43.08
424226.0,,kalahandi,4216554115,Dhansuli,phc,4.3,2.86
424225.0,,kalahandi,4216554115,Dhansuli,phc,4.3,2.86
424202.0,,kalahandi,4216554115,Dhansuli,phc,4.41,2.94
424222.0,,kalahandi,4216554115,Dhansuli,phc,14.31,9.53
424217.0,,kalahandi,4216554115,Dhansuli,phc,1.1,0.73
424221.0,,kalahandi,4216554115,Dhansuli,phc,11.02,7.34
424475.0,,kalahandi,4216554115,Dhansuli,phc,66.43,44.19
424476.0,,kalahandi,4216554115,Dhansuli,phc,66.44,44.2
424077.0,,kalahandi,1111457725,Ampani,phc,5.21,7.24
424008.0,,kalahandi,8871377258,Badpodaguda,phc,10.95,8.82
424076.0,,kalahandi,1111457725,Ampani,phc,31.31,28.97
424075.0,,kalahandi,1111457725,Ampani,phc,31.92,29.37
424154.0,,kalahandi,1212456717,Uchhula,phc,16.79,11.01
424179.0,,kalahandi,1212456717,Uchhula,phc,13.96,9.31
424199.0,,kalahandi,1212456717,Uchhula,phc,23.92,15.84
424183.0,,kalahandi,1212456717,Uchhula,phc,33.17,19.24
424175.0,,kalahandi,1212456717,Uchhula,phc,16.23,10.77
424187.0,,kalahandi,1212456717,Uchhula,phc,25.64,16.98
424147.0,,kalahandi,1212456717,Uchhula,phc,7.79,5.21
424144.0,,kalahandi,1212456717,Uchhula,phc,4.43,2.86
424174.0,,kalahandi,1212456717,Uchhula,phc,18.18,12.07
424180.0,,kalahandi,1212456717,Uchhula,phc,15.77,10.51
424173.0,,kalahandi,1212456717,Uchhula,phc,26.69,16.55
424152.0,,kalahandi,1212456717,Uchhula,phc,15.89,10.28
424186.0,,kalahandi,1212456717,Uchhula,phc,25.64,16.98
424197.0,,kalahandi,4216554115,Dhansuli,phc,13.49,8.99
424181.0,,kalahandi,1212456717,Uchhula,phc,15.88,10.59
424185.0,,kalahandi,1212456717,Uchhula,phc,23.92,15.84
424146.0,,kalahandi,1212456717,Uchhula,phc,5.76,3.85
424188.0,,kalahandi,4216554115,Dhansuli,phc,17.57,11.71
424150.0,,kalahandi,1212456717,Uchhula,phc,23.44,15.49
424156.0,,kalahandi,5631788287,Bandigaon,phc,8.8,5.87
424155.0,,kalahandi,5631788287,Bandigaon,phc,11.11,7.41
424151.0,,kalahandi,1212456717,Uchhula,phc,8.01,5.21
424198.0,,kalahandi,4216554115,Dhansuli,phc,6.64,4.43
424184.0,,kalahandi,1212456717,Uchhula,phc,23.92,15.84
424071.0,,kalahandi,1111457725,Ampani,phc,1.31,1.72
424139.0,,kalahandi,1212456717,Uchhula,phc,12.46,8.16
424138.0,,kalahandi,1212456717,Uchhula,phc,15.27,10.03
424176.0,,kalahandi,1212456717,Uchhula,phc,19.15,12.65
424189.0,,kalahandi,5631788287,Bandigaon,phc,17.28,11.52
424172.0,,kalahandi,1212456717,Uchhula,phc,25.45,16.86
424145.0,,kalahandi,1212456717,Uchhula,phc,3.37,2.25
424177.0,,kalahandi,1212456717,Uchhula,phc,10.69,7.13
424149.0,,kalahandi,1212456717,Uchhula,phc,12.1,8.02
424148.0,,kalahandi,1212456717,Uchhula,phc,7.34,4.84
424171.0,,kalahandi,5631788287,Bandigaon,phc,14.18,9.46
424153.0,,kalahandi,5631788287,Bandigaon,phc,17.1,11.34
424142.0,,kalahandi,1212456717,Uchhula,phc,6.8,4.39
424078.0,,kalahandi,1111457725,Ampani,phc,24.12,23.26
424205.0,,kalahandi,4216554115,Dhansuli,phc,11.86,7.88
424178.0,,kalahandi,1111457725,Ampani,phc,24.15,23.28
424119.0,,kalahandi,5631788287,Bandigaon,phc,1.63,1.08
424140.0,,kalahandi,1212456717,Uchhula,phc,11.73,7.68
424058.0,,kalahandi,1212456717,Uchhula,phc,12.59,8.25
424048.0,,kalahandi,1111457725,Ampani,phc,5.76,7.19
424068.0,,kalahandi,1111457725,Ampani,phc,6.46,8.05
424098.0,,kalahandi,5631788287,Bandigaon,phc,3.56,2.37
424084.0,,kalahandi,5631788287,Bandigaon,phc,10.66,7.11
424049.0,,kalahandi,8871377258,Badpodaguda,phc,12.62,8.33
424046.0,,kalahandi,8871377258,Badpodaguda,phc,4.99,6.41
424043.0,,kalahandi,8871377258,Badpodaguda,phc,5.81,3.87
424120.0,,kalahandi,5631788287,Bandigaon,phc,1.35,0.9
424030.0,,kalahandi,7876523734,Ladugaon,phc,19.19,12.69
424047.0,,kalahandi,1111457725,Ampani,phc,3.19,4.42
424041.0,,kalahandi,8871377258,Badpodaguda,phc,16.88,11.62
424053.0,,kalahandi,8871377258,Badpodaguda,phc,15.24,11.84
424118.0,,kalahandi,5631788287,Bandigaon,phc,0.01,0.01
424045.0,,kalahandi,8871377258,Badpodaguda,phc,16.63,10.99
424055.0,,kalahandi,7876523734,Ladugaon,phc,13.36,8.89
424050.0,,kalahandi,8871377258,Badpodaguda,phc,13.33,8.8
424062.0,,kalahandi,7876523734,Ladugaon,phc,8.95,5.95
424032.0,,kalahandi,2784532869,Charbahal,phc,9.53,11.85
424067.0,,kalahandi,7876523734,Ladugaon,phc,4.21,2.77
424136.0,,kalahandi,5631788287,Bandigaon,phc,4.97,3.32
424066.0,,kalahandi,1212456717,Uchhula,phc,6.78,4.53
424063.0,,kalahandi,8871377258,Badpodaguda,phc,18.8,13.29
424072.0,,kalahandi,1111457725,Ampani,phc,3.74,4.19
424121.0,,kalahandi,5631788287,Bandigaon,phc,1.25,0.83
424054.0,,kalahandi,8871377258,Badpodaguda,phc,18.15,12.85
424052.0,,kalahandi,8871377258,Badpodaguda,phc,17.21,12.23
424096.0,,kalahandi,5631788287,Bandigaon,phc,6.95,4.62
424070.0,,kalahandi,1212456717,Uchhula,phc,11.18,7.48
424073.0,,kalahandi,1111457725,Ampani,phc,0.0,0.0
424069.0,,kalahandi,1111457725,Ampani,phc,5.2,6.26
424141.0,,kalahandi,1212456717,Uchhula,phc,9.05,5.89
424059.0,,kalahandi,7876523734,Ladugaon,phc,8.41,5.6
424064.0,,kalahandi,7876523734,Ladugaon,phc,0.0,0.0
424061.0,,kalahandi,7876523734,Ladugaon,phc,4.75,3.16
424009.0,,kalahandi,8871377258,Badpodaguda,phc,5.32,5.08
424074.0,,kalahandi,1111457725,Ampani,phc,2.35,3.34
424143.0,,kalahandi,1212456717,Uchhula,phc,0.0,0.0
424056.0,,kalahandi,7876523734,Ladugaon,phc,13.7,8.9
424065.0,,kalahandi,7876523734,Ladugaon,phc,1.99,1.27
424044.0,,kalahandi,8871377258,Badpodaguda,phc,9.64,6.34
424057.0,,kalahandi,7876523734,Ladugaon,phc,13.72,8.9
424033.0,,kalahandi,8871377258,Badpodaguda,phc,16.12,13.09
424031.0,,kalahandi,7876523734,Ladugaon,phc,19.04,12.59
424085.0,,kalahandi,2784532869,Charbahal,phc,18.68,12.31
424029.0,,kalahandi,5631788287,Bandigaon,phc,11.78,7.86
424036.0,,kalahandi,8871377258,Badpodaguda,phc,15.32,11.95
424037.0,,kalahandi,8871377258,Badpodaguda,phc,14.45,10.71
424097.0,,kalahandi,5631788287,Bandigaon,phc,6.19,4.12
424137.0,,kalahandi,1212456717,Uchhula,phc,14.52,9.53
424051.0,,kalahandi,8871377258,Badpodaguda,phc,11.96,7.88
424060.0,,kalahandi,7876523734,Ladugaon,phc,7.23,4.81
423983.0,,kalahandi,3841115128,Behera,phc,20.44,17.66
423997.0,,kalahandi,2784532869,Charbahal,phc,34.94,26.07
423989.0,,kalahandi,3841115128,Behera,phc,8.86,7.92
424083.0,,kalahandi,2784532869,Charbahal,phc,11.99,10.49
424017.0,,kalahandi,2784532869,Charbahal,phc,28.38,27.46
423994.0,,kalahandi,2784532869,Charbahal,phc,27.27,20.92
423981.0,,kalahandi,3841115128,Behera,phc,19.93,17.29
424082.0,,kalahandi,2784532869,Charbahal,phc,10.12,9.23
424015.0,,kalahandi,8871377258,Badpodaguda,phc,25.47,17.87
424010.0,,kalahandi,8871377258,Badpodaguda,phc,0.0,0.0
423984.0,,kalahandi,2784532869,Charbahal,phc,35.75,26.62
423992.0,,kalahandi,3841115128,Behera,phc,3.16,3.6
424001.0,,kalahandi,3841115128,Behera,phc,4.04,2.7
424027.0,,kalahandi,2784532869,Charbahal,phc,7.88,9.52
424024.0,,kalahandi,2784532869,Charbahal,phc,6.29,6.68
424026.0,,kalahandi,2784532869,Charbahal,phc,8.92,10.99
424020.0,,kalahandi,2784532869,Charbahal,phc,11.66,10.68
424042.0,,kalahandi,8871377258,Badpodaguda,phc,3.22,2.15
424035.0,,kalahandi,2784532869,Charbahal,phc,10.49,13.21
423986.0,,kalahandi,2784532869,Charbahal,phc,38.29,28.29
423987.0,,kalahandi,2784532869,Charbahal,phc,40.68,29.88
424025.0,,kalahandi,2784532869,Charbahal,phc,7.08,8.39
424034.0,,kalahandi,2784532869,Charbahal,phc,10.41,13.1
424028.0,,kalahandi,2784532869,Charbahal,phc,10.13,9.31
424038.0,,kalahandi,8871377258,Badpodaguda,phc,19.35,13.8
424011.0,,kalahandi,3841115128,Behera,phc,3.83,4.64
424007.0,,kalahandi,8871377258,Badpodaguda,phc,1.61,0.85
424039.0,,kalahandi,8871377258,Badpodaguda,phc,25.47,17.87
424012.0,,kalahandi,3841115128,Behera,phc,3.83,4.64
424019.0,,kalahandi,2784532869,Charbahal,phc,23.01,23.9
424014.0,,kalahandi,3841115128,Behera,phc,6.21,7.58
424016.0,,kalahandi,2784532869,Charbahal,phc,13.54,11.91
424018.0,,kalahandi,2784532869,Charbahal,phc,24.01,24.57
424022.0,,kalahandi,2784532869,Charbahal,phc,9.86,7.61
424006.0,,kalahandi,3841115128,Behera,phc,5.5,7.14
424005.0,,kalahandi,3841115128,Behera,phc,5.13,5.71
424013.0,,kalahandi,3841115128,Behera,phc,3.02,3.63
423999.0,,kalahandi,2784532869,Charbahal,phc,7.69,6.17
424004.0,,kalahandi,3841115128,Behera,phc,3.97,3.42
424000.0,,kalahandi,2784532869,Charbahal,phc,28.05,27.27
423998.0,,kalahandi,2784532869,Charbahal,phc,7.3,5.91
424023.0,,kalahandi,2784532869,Charbahal,phc,0.0,0.0
424003.0,,kalahandi,3841115128,Behera,phc,0.0,0.0
424002.0,,kalahandi,3841115128,Behera,phc,2.87,1.92
423995.0,,kalahandi,2784532869,Charbahal,phc,26.29,20.34
423993.0,,kalahandi,3841115128,Behera,phc,4.56,3.69
423990.0,,kalahandi,3841115128,Behera,phc,6.04,5.33
423996.0,,kalahandi,2784532869,Charbahal,phc,20.67,16.65
423988.0,,kalahandi,2784532869,Charbahal,phc,3.64,3.48
424021.0,,kalahandi,8871377258,Badpodaguda,phc,25.47,17.87
424040.0,,kalahandi,8871377258,Badpodaguda,phc,19.48,13.88
423976.0,,kalahandi,3841115128,Behera,phc,9.82,8.63
423971.0,,kalahandi,3841115128,Behera,phc,41.15,25.63
423950.0,,kalahandi,1471111649,Kankeri,phc,4.11,2.66
423975.0,,kalahandi,3841115128,Behera,phc,27.31,19.87
423946.0,,kalahandi,8674234268,Khairpadar,phc,4.01,2.67
423978.0,,kalahandi,3841115128,Behera,phc,7.61,9.16
423974.0,,kalahandi,3841115128,Behera,phc,9.82,8.63
423969.0,,kalahandi,8674234268,Khairpadar,phc,14.67,9.74
423980.0,,kalahandi,3841115128,Behera,phc,13.22,14.37
423951.0,,kalahandi,1471111649,Kankeri,phc,0.0,0.0
423967.0,,kalahandi,8674234268,Khairpadar,phc,14.99,9.99
423953.0,,kalahandi,1471111649,Kankeri,phc,7.19,6.21
423949.0,,kalahandi,1471111649,Kankeri,phc,12.06,12.9
423979.0,,kalahandi,3841115128,Behera,phc,10.84,11.31
423970.0,,kalahandi,1471111649,Kankeri,phc,11.87,11.99
423955.0,,kalahandi,1471111649,Kankeri,phc,12.35,10.03
423957.0,,kalahandi,8674234268,Khairpadar,phc,12.43,8.85
423991.0,,kalahandi,3841115128,Behera,phc,16.11,14.57
423982.0,,kalahandi,8674234268,Khairpadar,phc,19.36,12.89
423948.0,,kalahandi,1471111649,Kankeri,phc,10.99,11.38
423954.0,,kalahandi,1471111649,Kankeri,phc,9.85,9.55
423985.0,,kalahandi,8674234268,Khairpadar,phc,33.99,22.61
423960.0,,kalahandi,8674234268,Khairpadar,phc,10.12,8.08
423940.0,,kalahandi,8674234268,Khairpadar,phc,4.66,3.11
423968.0,,kalahandi,8674234268,Khairpadar,phc,17.85,11.81
423973.0,,kalahandi,3841115128,Behera,phc,36.21,23.58
423972.0,,kalahandi,3841115128,Behera,phc,7.39,9.61
423947.0,,kalahandi,8674234268,Khairpadar,phc,10.57,6.54
423936.0,,kalahandi,1471111649,Kankeri,phc,4.11,2.66
423937.0,,kalahandi,8674234268,Khairpadar,phc,14.3,11.36
423952.0,,kalahandi,1471111649,Kankeri,phc,4.94,3.29
423956.0,,kalahandi,1471111649,Kankeri,phc,9.05,8.75
423945.0,,kalahandi,8674234268,Khairpadar,phc,0.92,0.61
423959.0,,kalahandi,8674234268,Khairpadar,phc,9.19,6.78
423977.0,,kalahandi,3841115128,Behera,phc,7.68,7.11
423965.0,,kalahandi,8674234268,Khairpadar,phc,11.66,10.28
423939.0,,kalahandi,8674234268,Khairpadar,phc,14.59,8.8
423931.0,,kalahandi,1471111649,Kankeri,phc,1.42,0.94
423938.0,,kalahandi,8674234268,Khairpadar,phc,10.19,6.71
423958.0,,kalahandi,8674234268,Khairpadar,phc,12.7,8.46
