lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
417232.0,,kandhamal,6464445276,Durgapanga,phc,0.85,0.92
417231.0,,kandhamal,6464445276,Durgapanga,phc,0.0,0.0
417222.0,,kandhamal,3821873829,Judabali,phc,0.0,0.0
417193.0,,kandhamal,3821873829,Judabali,phc,0.9,0.98
417196.0,,kandhamal,3821873829,Judabali,phc,1.23,1.33
417195.0,,kandhamal,3821873829,Judabali,phc,1.68,1.83
417233.0,,kandhamal,3821873829,Judabali,phc,8.44,7.39
417124.0,,kandhamal,3821873829,Judabali,phc,0.88,0.95
417228.0,,kandhamal,3821873829,Judabali,phc,5.79,6.26
417227.0,,kandhamal,3821873829,Judabali,phc,9.43,7.8
417192.0,,kandhamal,3821873829,Judabali,phc,0.86,0.93
417223.0,,kandhamal,3821873829,Judabali,phc,1.0,1.09
417194.0,,kandhamal,3821873829,Judabali,phc,4.25,4.6
417230.0,,kandhamal,6464445276,Durgapanga,phc,2.1,2.28
417229.0,,kandhamal,6464445276,Durgapanga,phc,4.13,4.48
417234.0,,kandhamal,3821873829,Judabali,phc,12.45,9.05
417235.0,,kandhamal,3821873829,Judabali,phc,16.31,10.66
417226.0,,kandhamal,3821873829,Judabali,phc,3.35,3.63
417225.0,,kandhamal,3821873829,Judabali,phc,2.48,2.69
417224.0,,kandhamal,3821873829,Judabali,phc,2.27,2.45
417107.0,,kandhamal,6464445276,Durgapanga,phc,50.96,47.72
416972.0,,kandhamal,8581668756,Lankagada,phc,14.8,18.36
417118.0,,kandhamal,6464445276,Durgapanga,phc,50.98,47.73
417111.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
416978.0,,kandhamal,3821873829,Judabali,phc,13.98,15.14
417093.0,,kandhamal,8581668756,Lankagada,phc,11.39,14.68
417092.0,,kandhamal,8581668756,Lankagada,phc,11.34,14.61
417122.0,,kandhamal,3821873829,Judabali,phc,3.67,3.98
417100.0,,kandhamal,3821873829,Judabali,phc,10.68,11.57
417123.0,,kandhamal,3821873829,Judabali,phc,2.85,3.09
417091.0,,kandhamal,8581668756,Lankagada,phc,8.65,11.71
417189.0,,kandhamal,3821873829,Judabali,phc,5.93,6.43
417121.0,,kandhamal,3821873829,Judabali,phc,3.78,4.1
417115.0,,kandhamal,6464445276,Durgapanga,phc,50.98,47.73
417098.0,,kandhamal,3821873829,Judabali,phc,10.63,11.51
417101.0,,kandhamal,3821873829,Judabali,phc,10.68,11.57
417082.0,,kandhamal,8581668756,Lankagada,phc,8.56,11.61
416976.0,,kandhamal,8581668756,Lankagada,phc,11.26,14.54
417079.0,,kandhamal,8581668756,Lankagada,phc,11.34,14.61
416973.0,,kandhamal,8581668756,Lankagada,phc,14.0,17.5
417084.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417103.0,,kandhamal,3821873829,Judabali,phc,10.68,11.57
417086.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
416977.0,,kandhamal,3821873829,Judabali,phc,14.73,15.96
417097.0,,kandhamal,3821873829,Judabali,phc,10.68,11.57
417191.0,,kandhamal,3821873829,Judabali,phc,3.78,4.1
417096.0,,kandhamal,3821873829,Judabali,phc,12.64,13.69
417105.0,,kandhamal,3821873829,Judabali,phc,10.63,11.51
417087.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417110.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
416983.0,,kandhamal,3821873829,Judabali,phc,11.78,12.76
417190.0,,kandhamal,3821873829,Judabali,phc,6.88,7.45
417119.0,,kandhamal,3821873829,Judabali,phc,3.81,4.13
417114.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417095.0,,kandhamal,3821873829,Judabali,phc,10.68,11.57
416982.0,,kandhamal,3821873829,Judabali,phc,12.64,13.69
416975.0,,kandhamal,8581668756,Lankagada,phc,11.34,14.61
417102.0,,kandhamal,3821873829,Judabali,phc,10.68,11.57
417106.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417104.0,,kandhamal,3821873829,Judabali,phc,13.98,15.14
417088.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417094.0,,kandhamal,3821873829,Judabali,phc,13.98,15.14
416974.0,,kandhamal,3821873829,Judabali,phc,14.73,15.96
417080.0,,kandhamal,8581668756,Lankagada,phc,8.65,11.71
417113.0,,kandhamal,6464445276,Durgapanga,phc,50.96,47.72
417112.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417099.0,,kandhamal,3821873829,Judabali,phc,10.63,11.51
417116.0,,kandhamal,6464445276,Durgapanga,phc,50.96,47.72
417109.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417085.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417090.0,,kandhamal,8581668756,Lankagada,phc,8.65,11.71
417089.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417117.0,,kandhamal,6464445276,Durgapanga,phc,50.98,47.73
417083.0,,kandhamal,8581668756,Lankagada,phc,8.56,11.61
417120.0,,kandhamal,3821873829,Judabali,phc,7.18,7.78
417108.0,,kandhamal,6464445276,Durgapanga,phc,52.13,48.24
417056.0,,kandhamal,1111433759,Sunagaon,phc,71.8,63.38
417061.0,,kandhamal,8581668756,Lankagada,phc,4.89,6.92
417025.0,,kandhamal,8581668756,Lankagada,phc,0.0,0.0
417067.0,,kandhamal,8581668756,Lankagada,phc,8.55,11.61
417028.0,,kandhamal,8581668756,Lankagada,phc,0.0,0.0
417023.0,,kandhamal,1111433759,Sunagaon,phc,71.97,63.45
417036.0,,kandhamal,8581668756,Lankagada,phc,1.87,2.65
416942.0,,kandhamal,8581668756,Lankagada,phc,2.75,3.89
417070.0,,kandhamal,8581668756,Lankagada,phc,4.89,6.92
417066.0,,kandhamal,8581668756,Lankagada,phc,8.56,11.61
417050.0,,kandhamal,1111433759,Sunagaon,phc,71.9,63.42
417042.0,,kandhamal,8581668756,Lankagada,phc,3.16,4.48
417075.0,,kandhamal,8581668756,Lankagada,phc,8.42,11.46
417049.0,,kandhamal,1111433759,Sunagaon,phc,71.97,63.45
417031.0,,kandhamal,8581668756,Lankagada,phc,2.1,2.97
417073.0,,kandhamal,8581668756,Lankagada,phc,4.89,6.92
417065.0,,kandhamal,8581668756,Lankagada,phc,8.34,11.37
417069.0,,kandhamal,8581668756,Lankagada,phc,4.92,6.97
417058.0,,kandhamal,8581668756,Lankagada,phc,3.22,4.55
417035.0,,kandhamal,8581668756,Lankagada,phc,1.84,2.61
416960.0,,kandhamal,8581668756,Lankagada,phc,4.62,6.55
417045.0,,kandhamal,1111433759,Sunagaon,phc,71.9,63.42
