lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
387280.0,,kendujhar,3727681383,Purunabandhagoda,phc,2.68,1.12
387315.0,,kendujhar,3727681383,Purunabandhagoda,phc,0.0,0.0
387281.0,,kendujhar,7754658578,Khalpal,phc,43.19,34.73
387317.0,,kendujhar,3727681383,Purunabandhagoda,phc,7.44,3.1
387319.0,,kendujhar,3727681383,Purunabandhagoda,phc,7.3,4.88
387318.0,,kendujhar,3727681383,Purunabandhagoda,phc,8.79,6.0
387316.0,,kendujhar,3727681383,Purunabandhagoda,phc,2.61,1.09
387314.0,,kendujhar,3727681383,Purunabandhagoda,phc,4.3,2.22
387324.0,,kendujhar,3727681383,Purunabandhagoda,phc,1.41,0.59
387337.0,,kendujhar,3727681383,Purunabandhagoda,phc,15.56,13.3
387366.0,,kendujhar,1135651584,Odapada,phc,19.18,7.94
387368.0,,kendujhar,1135651584,Odapada,phc,19.18,7.93
387321.0,,kendujhar,3727681383,Purunabandhagoda,phc,9.53,3.97
387323.0,,kendujhar,3727681383,Purunabandhagoda,phc,4.99,2.08
387320.0,,kendujhar,3727681383,Purunabandhagoda,phc,6.07,3.75
387336.0,,kendujhar,3727681383,Purunabandhagoda,phc,9.87,7.04
387322.0,,kendujhar,3727681383,Purunabandhagoda,phc,8.97,3.74
387367.0,,kendujhar,1135651584,Odapada,phc,19.17,7.93
387326.0,,kendujhar,3727681383,Purunabandhagoda,phc,6.44,4.18
387325.0,,kendujhar,3727681383,Purunabandhagoda,phc,5.71,3.5
387335.0,,kendujhar,3727681383,Purunabandhagoda,phc,8.64,6.14
387252.0,,kendujhar,8411743746,Tukuna,phc,30.02,12.41
387250.0,,kendujhar,8411743746,Tukuna,phc,28.0,11.59
387278.0,,kendujhar,4643715842,Orali,phc,43.74,20.04
387248.0,,kendujhar,8411743746,Tukuna,phc,23.79,9.84
387233.0,,kendujhar,8411743746,Tukuna,phc,28.0,11.59
387374.0,,kendujhar,1135651584,Odapada,phc,0.0,0.0
387267.0,,kendujhar,4643715842,Orali,phc,38.97,18.05
387273.0,,kendujhar,4643715842,Orali,phc,43.13,19.78
387251.0,,kendujhar,8411743746,Tukuna,phc,31.1,12.85
387254.0,,kendujhar,8411743746,Tukuna,phc,26.21,10.85
387274.0,,kendujhar,4643715842,Orali,phc,41.9,19.27
387268.0,,kendujhar,4643715842,Orali,phc,47.64,21.66
387279.0,,kendujhar,4643715842,Orali,phc,45.53,20.78
387272.0,,kendujhar,4643715842,Orali,phc,45.34,20.7
387269.0,,kendujhar,4643715842,Orali,phc,49.09,22.26
387270.0,,kendujhar,4643715842,Orali,phc,47.91,21.78
387271.0,,kendujhar,4643715842,Orali,phc,46.86,21.34
387275.0,,kendujhar,4643715842,Orali,phc,40.93,18.87
387232.0,,kendujhar,8411743746,Tukuna,phc,23.95,9.86
387255.0,,kendujhar,8411743746,Tukuna,phc,23.79,9.84
387253.0,,kendujhar,8411743746,Tukuna,phc,28.68,11.85
387257.0,,kendujhar,4643715842,Orali,phc,34.1,16.02
