lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
429725.0,,koraput,8666821742,Bilaput,phc,12.13,11.45
429726.0,,koraput,8666821742,Bilaput,phc,10.67,4.6
429397.0,,koraput,3353438678,Dasmantpur,phc,56.21,40.98
429348.0,,koraput,8712686438,Ramgiri,phc,5.64,3.48
429411.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31
429490.0,,koraput,3353438678,Dasmantpur,phc,33.24,31.52
429491.0,,koraput,3353438678,Dasmantpur,phc,32.28,31.12
429492.0,,koraput,3353438678,Dasmantpur,phc,32.32,31.14
429493.0,,koraput,3353438678,Dasmantpur,phc,13.06,18.5
429494.0,,koraput,3353438678,Dasmantpur,phc,17.89,18.52
429495.0,,koraput,3353438678,Dasmantpur,phc,16.52,17.95
429496.0,,koraput,3353438678,Dasmantpur,phc,17.89,18.52
429418.0,,koraput,3353438678,Dasmantpur,phc,22.38,18.91
429417.0,,koraput,3353438678,Dasmantpur,phc,8.79,12.46
429416.0,,koraput,3353438678,Dasmantpur,phc,20.81,18.26
429415.0,,koraput,3353438678,Dasmantpur,phc,10.75,14.08
429414.0,,koraput,3353438678,Dasmantpur,phc,17.43,16.85
429413.0,,koraput,3353438678,Dasmantpur,phc,16.39,16.42
429412.0,,koraput,3353438678,Dasmantpur,phc,11.07,15.68
429410.0,,koraput,3353438678,Dasmantpur,phc,45.12,36.46
429489.0,,koraput,3353438678,Dasmantpur,phc,34.83,32.19
429487.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31
429485.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31
429484.0,,koraput,3353438678,Dasmantpur,phc,34.83,32.19
429482.0,,koraput,3353438678,Dasmantpur,phc,17.89,18.52
429480.0,,koraput,3353438678,Dasmantpur,phc,17.89,18.52
429479.0,,koraput,3353438678,Dasmantpur,phc,14.01,19.85
429476.0,,koraput,3353438678,Dasmantpur,phc,14.01,19.85
429475.0,,koraput,3353438678,Dasmantpur,phc,13.46,19.06
429474.0,,koraput,3353438678,Dasmantpur,phc,12.89,18.25
429473.0,,koraput,3353438678,Dasmantpur,phc,12.08,17.11
429471.0,,koraput,3353438678,Dasmantpur,phc,12.65,17.92
429469.0,,koraput,3353438678,Dasmantpur,phc,14.09,16.93
429461.0,,koraput,3353438678,Dasmantpur,phc,16.22,17.82
429465.0,,koraput,3353438678,Dasmantpur,phc,10.57,14.97
429452.0,,koraput,3353438678,Dasmantpur,phc,9.52,13.49
429439.0,,koraput,3353438678,Dasmantpur,phc,11.73,13.8
429438.0,,koraput,3353438678,Dasmantpur,phc,11.73,13.8
429361.0,,koraput,3353438678,Dasmantpur,phc,5.26,7.45
429310.0,,koraput,3353438678,Dasmantpur,phc,14.34,9.91
429347.0,,koraput,8712686438,Ramgiri,phc,4.87,2.97
429334.0,,koraput,3353438678,Dasmantpur,phc,7.74,3.83
429360.0,,koraput,3353438678,Dasmantpur,phc,5.29,7.49
429300.0,,koraput,8712686438,Ramgiri,phc,3.92,2.33
429299.0,,koraput,8712686438,Ramgiri,phc,4.94,3.01
429346.0,,koraput,8712686438,Ramgiri,phc,5.5,3.39
429398.0,,koraput,3353438678,Dasmantpur,phc,52.3,39.59
429399.0,,koraput,3353438678,Dasmantpur,phc,52.3,39.59
429400.0,,koraput,3353438678,Dasmantpur,phc,52.17,39.5
429497.0,,koraput,3353438678,Dasmantpur,phc,19.01,18.98
429407.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429408.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429409.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31
429401.0,,koraput,3353438678,Dasmantpur,phc,35.12,32.31
429402.0,,koraput,3353438678,Dasmantpur,phc,52.17,39.5
429404.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429405.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429406.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429390.0,,koraput,3353438678,Dasmantpur,phc,6.57,9.31
429391.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429392.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429393.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429394.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429403.0,,koraput,3353438678,Dasmantpur,phc,19.18,19.05
429396.0,,koraput,3353438678,Dasmantpur,phc,52.17,39.5
429395.0,,koraput,3353438678,Dasmantpur,phc,52.17,39.5
429353.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429352.0,,koraput,3353438678,Dasmantpur,phc,52.3,39.59
429354.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429355.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429349.0,,koraput,3353438678,Dasmantpur,phc,52.3,39.59
429350.0,,koraput,3353438678,Dasmantpur,phc,52.3,39.59
429344.0,,koraput,8712686438,Ramgiri,phc,0.0,0.0
429301.0,,koraput,8712686438,Ramgiri,phc,0.0,0.0
429302.0,,koraput,8712686438,Ramgiri,phc,0.0,0.0
429345.0,,koraput,8712686438,Ramgiri,phc,0.0,0.0
429304.0,,koraput,8712686438,Ramgiri,phc,0.0,0.0
429303.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429342.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429343.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429351.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429356.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429337.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429338.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429341.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429340.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429306.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429307.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429339.0,,koraput,8712686438,Ramgiri,phc,16.48,12.1
429305.0,,koraput,8712686438,Ramgiri,phc,13.55,8.43
429286.0,,koraput,8712686438,Ramgiri,phc,16.48,12.1
429283.0,,koraput,8712686438,Ramgiri,phc,16.45,12.08
429308.0,,koraput,8712686438,Ramgiri,phc,16.45,12.08
429432.0,,koraput,8712686438,Ramgiri,phc,16.48,12.1
429335.0,,koraput,8712686438,Ramgiri,phc,16.48,12.1
429336.0,,koraput,8712686438,Ramgiri,phc,16.48,12.1
429357.0,,koraput,8712686438,Ramgiri,phc,16.48,12.1
429358.0,,koraput,3353438678,Dasmantpur,phc,5.26,7.45
429429.0,,koraput,8712686438,Ramgiri,phc,16.45,12.08
429359.0,,koraput,3353438678,Dasmantpur,phc,7.86,5.65
429434.0,,koraput,3353438678,Dasmantpur,phc,10.26,7.25
429309.0,,koraput,3353438678,Dasmantpur,phc,15.85,14.72
429435.0,,koraput,3353438678,Dasmantpur,phc,15.85,14.72
429436.0,,koraput,3353438678,Dasmantpur,phc,10.3,7.28
429443.0,,koraput,3353438678,Dasmantpur,phc,10.24,7.24
