lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
431169.0,,malkangiri,8116616510,Motu,phc,0.0,0.0
431168.0,,malkangiri,8116616510,Motu,phc,4.81,2.63
431167.0,,malkangiri,8116616510,Motu,phc,7.83,4.64
431171.0,,malkangiri,8116616510,Motu,phc,19.14,9.85
431170.0,,malkangiri,8116616510,Motu,phc,4.09,3.56
431140.0,,malkangiri,8116616510,Motu,phc,7.71,8.7
431141.0,,malkangiri,8116616510,Motu,phc,11.85,11.08
431166.0,,malkangiri,8116616510,Motu,phc,12.17,7.14
431165.0,,malkangiri,8116616510,Motu,phc,16.68,13.09
431136.0,,malkangiri,3256858477,Koikonda,phc,24.33,14.95
431135.0,,malkangiri,3256858477,Koikonda,phc,20.7,13.4
431175.0,,malkangiri,3256858477,Koikonda,phc,22.21,14.73
431125.0,,malkangiri,3256858477,Koikonda,phc,11.87,6.53
431176.0,,malkangiri,3256858477,Koikonda,phc,14.31,11.07
431188.0,,malkangiri,3256858477,Koikonda,phc,19.89,10.09
431126.0,,malkangiri,3256858477,Koikonda,phc,15.26,12.38
431162.0,,malkangiri,3256858477,Koikonda,phc,6.23,6.37
431177.0,,malkangiri,3256858477,Koikonda,phc,8.22,4.65
431159.0,,malkangiri,3256858477,Koikonda,phc,7.81,5.79
431146.0,,malkangiri,3256858477,Koikonda,phc,11.27,9.5
431147.0,,malkangiri,3256858477,Koikonda,phc,0.0,0.0
431157.0,,malkangiri,3256858477,Koikonda,phc,6.2,3.48
431160.0,,malkangiri,3256858477,Koikonda,phc,10.21,6.05
431164.0,,malkangiri,3256858477,Koikonda,phc,7.43,6.48
431144.0,,malkangiri,3256858477,Koikonda,phc,7.92,9.1
431161.0,,malkangiri,3256858477,Koikonda,phc,13.29,8.59
431178.0,,malkangiri,3256858477,Koikonda,phc,7.12,5.26
431155.0,,malkangiri,8826372180,Manyamkonda,phc,0.0,0.0
431189.0,,malkangiri,3256858477,Koikonda,phc,19.2,9.8
431187.0,,malkangiri,3256858477,Koikonda,phc,19.09,11.56
431186.0,,malkangiri,8826372180,Manyamkonda,phc,11.41,8.6
431184.0,,malkangiri,8826372180,Manyamkonda,phc,6.51,5.34
431183.0,,malkangiri,8826372180,Manyamkonda,phc,4.68,4.12
431185.0,,malkangiri,3256858477,Koikonda,phc,15.01,10.11
431190.0,,malkangiri,3256858477,Koikonda,phc,25.64,14.29
431180.0,,malkangiri,8826372180,Manyamkonda,phc,15.12,9.96
431191.0,,malkangiri,3256858477,Koikonda,phc,25.35,14.17
431119.0,,malkangiri,3256858477,Koikonda,phc,17.95,16.06
431124.0,,malkangiri,3256858477,Koikonda,phc,20.99,16.2
431121.0,,malkangiri,7335845348,MV 55,phc,20.54,18.77
431148.0,,malkangiri,3256858477,Koikonda,phc,5.29,5.34
431127.0,,malkangiri,3256858477,Koikonda,phc,11.36,11.67
431122.0,,malkangiri,7335845348,MV 55,phc,29.33,24.16
