lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
391331.0,,mayurbhanj,7428228543,Satkosia,phc,15.25,12.93
391332.0,,mayurbhanj,7428228543,Satkosia,phc,19.05,14.46
391333.0,,mayurbhanj,7428228543,Satkosia,phc,35.76,29.98
391336.0,,mayurbhanj,7428228543,Satkosia,phc,34.82,29.59
391334.0,,mayurbhanj,7428228543,Satkosia,phc,39.3,31.45
391335.0,,mayurbhanj,7428228543,Satkosia,phc,50.71,36.21
391337.0,,mayurbhanj,7428228543,Satkosia,phc,48.22,35.17
391314.0,,mayurbhanj,7428228543,Satkosia,phc,3.58,3.87
391322.0,,mayurbhanj,7428228543,Satkosia,phc,0.55,0.6
391323.0,,mayurbhanj,7428228543,Satkosia,phc,0.0,0.0
391330.0,,mayurbhanj,7428228543,Satkosia,phc,21.13,15.37
391325.0,,mayurbhanj,7428228543,Satkosia,phc,1.39,1.51
391321.0,,mayurbhanj,7428228543,Satkosia,phc,1.9,2.06
391315.0,,mayurbhanj,7428228543,Satkosia,phc,2.4,2.6
391313.0,,mayurbhanj,7428228543,Satkosia,phc,5.16,5.59
391316.0,,mayurbhanj,7428228543,Satkosia,phc,5.1,5.53
391311.0,,mayurbhanj,7428228543,Satkosia,phc,6.25,6.77
391329.0,,mayurbhanj,7428228543,Satkosia,phc,39.2,31.41
391324.0,,mayurbhanj,7428228543,Satkosia,phc,4.07,4.41
389052.0,,mayurbhanj,3475442855,Keshidiha,phc,5.02,3.72
389054.0,,mayurbhanj,3475442855,Keshidiha,phc,5.02,3.72
389055.0,,mayurbhanj,3475442855,Keshidiha,phc,5.02,3.72
389057.0,,mayurbhanj,3475442855,Keshidiha,phc,4.64,3.31
389058.0,,mayurbhanj,3475442855,Keshidiha,phc,6.03,4.72
389059.0,,mayurbhanj,3475442855,Keshidiha,phc,6.94,5.69
389060.0,,mayurbhanj,3475442855,Keshidiha,phc,6.06,4.75
389061.0,,mayurbhanj,3475442855,Keshidiha,phc,6.03,4.72
389072.0,,mayurbhanj,3475442855,Keshidiha,phc,7.46,6.26
389071.0,,mayurbhanj,3475442855,Keshidiha,phc,7.32,6.11
389062.0,,mayurbhanj,3475442855,Keshidiha,phc,6.03,4.72
389064.0,,mayurbhanj,3475442855,Keshidiha,phc,5.18,3.79
389047.0,,mayurbhanj,3475442855,Keshidiha,phc,4.61,3.27
389048.0,,mayurbhanj,3475442855,Keshidiha,phc,5.02,3.72
389046.0,,mayurbhanj,3475442855,Keshidiha,phc,4.74,3.42
389045.0,,mayurbhanj,3475442855,Keshidiha,phc,4.87,3.46
389044.0,,mayurbhanj,3475442855,Keshidiha,phc,3.74,2.49
389043.0,,mayurbhanj,3475442855,Keshidiha,phc,2.82,1.88
389065.0,,mayurbhanj,3475442855,Keshidiha,phc,5.81,4.47
391312.0,,mayurbhanj,7428228543,Satkosia,phc,7.41,8.02
391302.0,,mayurbhanj,3475442855,Keshidiha,phc,13.48,10.26
389068.0,,mayurbhanj,3475442855,Keshidiha,phc,1.49,0.99
389067.0,,mayurbhanj,3475442855,Keshidiha,phc,0.21,0.14
389066.0,,mayurbhanj,3475442855,Keshidiha,phc,2.1,1.4
389042.0,,mayurbhanj,3475442855,Keshidiha,phc,0.68,0.45
389069.0,,mayurbhanj,3475442855,Keshidiha,phc,0.82,0.55
389074.0,,mayurbhanj,3475442855,Keshidiha,phc,8.51,6.95
389070.0,,mayurbhanj,3475442855,Keshidiha,phc,8.7,7.08
389075.0,,mayurbhanj,3475442855,Keshidiha,phc,3.6,2.4
389073.0,,mayurbhanj,3475442855,Keshidiha,phc,9.89,8.9
391303.0,,mayurbhanj,7428228543,Satkosia,phc,9.08,9.83
389063.0,,mayurbhanj,3475442855,Keshidiha,phc,6.03,4.71
391293.0,,mayurbhanj,5833846537,Sarat,phc,3.4,2.26
391294.0,,mayurbhanj,5833846537,Sarat,phc,0.09,0.06
391295.0,,mayurbhanj,5833846537,Sarat,phc,2.38,1.59
391292.0,,mayurbhanj,5833846537,Sarat,phc,4.49,3.0
391291.0,,mayurbhanj,8873281326,Champajhar,phc,3.27,2.19
391296.0,,mayurbhanj,8873281326,Champajhar,phc,3.72,2.48
391285.0,,mayurbhanj,8873281326,Champajhar,phc,0.98,0.65
391284.0,,mayurbhanj,8873281326,Champajhar,phc,1.99,1.33
391297.0,,mayurbhanj,8873281326,Champajhar,phc,1.77,1.18
391298.0,,mayurbhanj,8873281326,Champajhar,phc,2.91,1.94
391290.0,,mayurbhanj,8873281326,Champajhar,phc,1.91,1.27
391286.0,,mayurbhanj,8873281326,Champajhar,phc,0.15,0.1
391283.0,,mayurbhanj,8873281326,Champajhar,phc,0.0,0.0
391282.0,,mayurbhanj,3475442855,Keshidiha,phc,5.23,3.49
391299.0,,mayurbhanj,8873281326,Champajhar,phc,2.93,1.95
391306.0,,mayurbhanj,8873281326,Champajhar,phc,3.67,2.45
391307.0,,mayurbhanj,8873281326,Champajhar,phc,2.91,1.94
391308.0,,mayurbhanj,8873281326,Champajhar,phc,2.91,1.94
391309.0,,mayurbhanj,8873281326,Champajhar,phc,3.67,2.45
391310.0,,mayurbhanj,7428228543,Satkosia,phc,7.03,7.61
391305.0,,mayurbhanj,8873281326,Champajhar,phc,3.75,2.5
391300.0,,mayurbhanj,8873281326,Champajhar,phc,3.97,2.65
391289.0,,mayurbhanj,8873281326,Champajhar,phc,3.78,2.52
391287.0,,mayurbhanj,8873281326,Champajhar,phc,5.6,3.73
391288.0,,mayurbhanj,3475442855,Keshidiha,phc,6.57,4.38
391301.0,,mayurbhanj,8873281326,Champajhar,phc,5.85,3.9
391304.0,,mayurbhanj,7428228543,Satkosia,phc,8.52,9.23
391317.0,,mayurbhanj,7428228543,Satkosia,phc,5.1,5.53
389076.0,,mayurbhanj,3475442855,Keshidiha,phc,4.79,3.19
391318.0,,mayurbhanj,8873281326,Champajhar,phc,2.91,1.94
391319.0,,mayurbhanj,7428228543,Satkosia,phc,5.1,5.53
391320.0,,mayurbhanj,7428228543,Satkosia,phc,45.38,33.99
391327.0,,mayurbhanj,7428228543,Satkosia,phc,45.18,33.9
391326.0,,mayurbhanj,7428228543,Satkosia,phc,45.17,33.9
391328.0,,mayurbhanj,7428228543,Satkosia,phc,45.17,33.9
391272.0,,mayurbhanj,7468881516,Kalamgadia,phc,1.0,0.67
391226.0,,mayurbhanj,3344812833,Katuria,phc,1.31,1.2
391225.0,,mayurbhanj,3344812833,Katuria,phc,0.81,0.74
391224.0,,mayurbhanj,3344812833,Katuria,phc,0.0,0.0
391227.0,,mayurbhanj,3344812833,Katuria,phc,2.27,2.09
391255.0,,mayurbhanj,7468881516,Kalamgadia,phc,23.26,12.85
391273.0,,mayurbhanj,7468881516,Kalamgadia,phc,20.98,11.89
391270.0,,mayurbhanj,7468881516,Kalamgadia,phc,11.45,7.16
391261.0,,mayurbhanj,7468881516,Kalamgadia,phc,4.42,2.94
391263.0,,mayurbhanj,7468881516,Kalamgadia,phc,4.42,2.94
391260.0,,mayurbhanj,7468881516,Kalamgadia,phc,4.42,2.94
391262.0,,mayurbhanj,7468881516,Kalamgadia,phc,4.42,2.94
391259.0,,mayurbhanj,5833846537,Sarat,phc,2.97,1.98
391217.0,,mayurbhanj,5833846537,Sarat,phc,2.97,1.98
391218.0,,mayurbhanj,5833846537,Sarat,phc,0.72,0.48
391219.0,,mayurbhanj,5833846537,Sarat,phc,0.0,0.0
391258.0,,mayurbhanj,7468881516,Kalamgadia,phc,4.42,2.94
391220.0,,mayurbhanj,3344812833,Katuria,phc,0.0,0.0
391264.0,,mayurbhanj,7468881516,Kalamgadia,phc,4.42,2.94
391265.0,,mayurbhanj,7468881516,Kalamgadia,phc,3.85,2.57
391268.0,,mayurbhanj,7468881516,Kalamgadia,phc,2.49,1.66
391267.0,,mayurbhanj,7468881516,Kalamgadia,phc,1.36,0.91
391266.0,,mayurbhanj,7468881516,Kalamgadia,phc,0.0,0.0
391271.0,,mayurbhanj,7468881516,Kalamgadia,phc,7.75,5.17
391257.0,,mayurbhanj,7468881516,Kalamgadia,phc,4.42,2.94
391256.0,,mayurbhanj,7468881516,Kalamgadia,phc,21.64,12.17
391222.0,,mayurbhanj,3344812833,Katuria,phc,0.86,0.79
391221.0,,mayurbhanj,7468881516,Kalamgadia,phc,4.42,2.94
391223.0,,mayurbhanj,3344812833,Katuria,phc,0.82,0.75
391047.0,,mayurbhanj,5833846537,Sarat,phc,7.25,4.83
391054.0,,mayurbhanj,8342356444,Podadiha,phc,13.09,7.12
