lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
427896.0,,nabarangpur,3865782811,Badamba,phc,6.2,4.13
427909.0,,nabarangpur,3865782811,Badamba,phc,63.58,35.36
427826.0,,nabarangpur,3865782811,Badamba,phc,58.82,31.12
427911.0,,nabarangpur,3865782811,Badamba,phc,36.08,20.14
427906.0,,nabarangpur,3865782811,Badamba,phc,2.55,1.62
427910.0,,nabarangpur,3865782811,Badamba,phc,62.75,31.95
427827.0,,nabarangpur,3865782811,Badamba,phc,58.82,31.12
427917.0,,nabarangpur,3865782811,Badamba,phc,32.25,18.62
427894.0,,nabarangpur,3865782811,Badamba,phc,5.0,3.33
427900.0,,nabarangpur,3865782811,Badamba,phc,57.87,37.29
427893.0,,nabarangpur,3865782811,Badamba,phc,34.79,23.1
427908.0,,nabarangpur,3865782811,Badamba,phc,2.55,1.62
427914.0,,nabarangpur,3865782811,Badamba,phc,48.77,25.22
427823.0,,nabarangpur,3865782811,Badamba,phc,41.62,22.36
427885.0,,nabarangpur,3865782811,Badamba,phc,20.94,13.76
427901.0,,nabarangpur,3865782811,Badamba,phc,57.74,37.1
427886.0,,nabarangpur,3865782811,Badamba,phc,0.0,0.0
427898.0,,nabarangpur,3865782811,Badamba,phc,39.57,26.29
427902.0,,nabarangpur,3865782811,Badamba,phc,65.24,36.0
427904.0,,nabarangpur,3865782811,Badamba,phc,65.24,36.0
427897.0,,nabarangpur,3865782811,Badamba,phc,6.2,4.13
427895.0,,nabarangpur,3865782811,Badamba,phc,6.17,4.11
427915.0,,nabarangpur,3865782811,Badamba,phc,47.02,24.52
427888.0,,nabarangpur,3865782811,Badamba,phc,1.58,1.05
427916.0,,nabarangpur,3865782811,Badamba,phc,40.02,21.72
427907.0,,nabarangpur,3865782811,Badamba,phc,2.55,1.62
427825.0,,nabarangpur,3865782811,Badamba,phc,58.82,31.12
427913.0,,nabarangpur,3865782811,Badamba,phc,34.56,19.54
427912.0,,nabarangpur,3865782811,Badamba,phc,33.95,19.29
427842.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,3.3,2.13
427828.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,1.83,1.22
427841.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,4.5,3.0
427829.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,0.0,0.0
427892.0,,nabarangpur,3865782811,Badamba,phc,4.37,2.91
427824.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,15.6,9.22
427918.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,16.82,9.87
427905.0,,nabarangpur,3865782811,Badamba,phc,6.2,4.13
427903.0,,nabarangpur,3865782811,Badamba,phc,65.24,36.0
427899.0,,nabarangpur,3865782811,Badamba,phc,57.96,37.42
427966.0,,nabarangpur,1235356613,Gumaguda,phc,26.95,21.36
427962.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,23.43,15.48
427965.0,,nabarangpur,1235356613,Gumaguda,phc,20.32,17.0
427970.0,,nabarangpur,1235356613,Gumaguda,phc,40.82,29.33
427840.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,4.4,2.93
427961.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,20.35,13.42
427837.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,18.67,12.31
427969.0,,nabarangpur,1235356613,Gumaguda,phc,32.83,25.23
427960.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,18.01,11.87
427967.0,,nabarangpur,1235356613,Gumaguda,phc,30.59,23.73
427838.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,13.21,8.74
427952.0,,nabarangpur,8433434258,Ekamba,phc,14.89,9.84
427839.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,12.49,8.26
427968.0,,nabarangpur,1235356613,Gumaguda,phc,32.77,25.14
427973.0,,nabarangpur,1235356613,Gumaguda,phc,13.86,12.87
427843.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,6.28,4.11
427844.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,12.02,7.94
427963.0,,nabarangpur,8628561485,Asanga (Kokidisemala),phc,28.39,18.78
427971.0,,nabarangpur,1235356613,Gumaguda,phc,7.48,10.6
427964.0,,nabarangpur,1235356613,Gumaguda,phc,21.44,17.74
427975.0,,nabarangpur,4448317232,Jagannathpur,phc,26.83,17.66
428089.0,,nabarangpur,3773678259,Panaspadar,phc,32.35,20.48
427951.0,,nabarangpur,8433434258,Ekamba,phc,12.5,8.31
427977.0,,nabarangpur,8433434258,Ekamba,phc,9.27,6.18
428066.0,,nabarangpur,4448317232,Jagannathpur,phc,0.0,0.0
428080.0,,nabarangpur,4448317232,Jagannathpur,phc,8.73,5.68
428065.0,,nabarangpur,4448317232,Jagannathpur,phc,0.78,0.52
428061.0,,nabarangpur,3773678259,Panaspadar,phc,11.36,7.39
427972.0,,nabarangpur,8433434258,Ekamba,phc,13.28,8.84
428071.0,,nabarangpur,4448317232,Jagannathpur,phc,12.28,8.12
428073.0,,nabarangpur,4448317232,Jagannathpur,phc,2.79,1.86
428075.0,,nabarangpur,4448317232,Jagannathpur,phc,1.83,1.22
428063.0,,nabarangpur,3773678259,Panaspadar,phc,3.46,2.3
428084.0,,nabarangpur,3773678259,Panaspadar,phc,33.52,20.97
428054.0,,nabarangpur,3773678259,Panaspadar,phc,14.79,9.63
428059.0,,nabarangpur,3773678259,Panaspadar,phc,15.19,9.95
427976.0,,nabarangpur,8433434258,Ekamba,phc,13.28,8.84
428072.0,,nabarangpur,4448317232,Jagannathpur,phc,10.43,6.94
428081.0,,nabarangpur,4448317232,Jagannathpur,phc,7.85,5.17
428023.0,,nabarangpur,8433434258,Ekamba,phc,2.58,1.72
428082.0,,nabarangpur,3773678259,Panaspadar,phc,25.71,16.98
427974.0,,nabarangpur,4448317232,Jagannathpur,phc,26.77,17.61
428078.0,,nabarangpur,4448317232,Jagannathpur,phc,3.23,2.14
428088.0,,nabarangpur,3773678259,Panaspadar,phc,14.81,9.64
428083.0,,nabarangpur,3773678259,Panaspadar,phc,18.41,12.1
428060.0,,nabarangpur,3773678259,Panaspadar,phc,11.44,7.44
428058.0,,nabarangpur,3773678259,Panaspadar,phc,11.29,7.41
428025.0,,nabarangpur,4448317232,Jagannathpur,phc,13.99,9.14
428067.0,,nabarangpur,4448317232,Jagannathpur,phc,2.73,1.8
428070.0,,nabarangpur,4448317232,Jagannathpur,phc,7.22,4.81
427950.0,,nabarangpur,8433434258,Ekamba,phc,9.1,6.07
428024.0,,nabarangpur,8433434258,Ekamba,phc,0.0,0.0
428064.0,,nabarangpur,3773678259,Panaspadar,phc,2.03,1.35
428074.0,,nabarangpur,4448317232,Jagannathpur,phc,1.93,1.29
428077.0,,nabarangpur,4448317232,Jagannathpur,phc,3.98,2.65
428076.0,,nabarangpur,4448317232,Jagannathpur,phc,0.93,0.62
428055.0,,nabarangpur,3773678259,Panaspadar,phc,14.19,9.22
428079.0,,nabarangpur,4448317232,Jagannathpur,phc,11.29,7.38
428056.0,,nabarangpur,3773678259,Panaspadar,phc,14.0,9.1
428086.0,,nabarangpur,3773678259,Panaspadar,phc,32.43,20.51
428087.0,,nabarangpur,3773678259,Panaspadar,phc,14.8,9.64
428085.0,,nabarangpur,3773678259,Panaspadar,phc,14.79,9.63
428049.0,,nabarangpur,3773678259,Panaspadar,phc,12.17,8.05
427304.0,,nabarangpur,6468124869,Jodinga,phc,5.37,3.19
427306.0,,nabarangpur,6468124869,Jodinga,phc,7.04,4.21
427305.0,,nabarangpur,6468124869,Jodinga,phc,5.41,3.07
427310.0,,nabarangpur,3582387241,Turudihi,phc,10.26,6.35
427302.0,,nabarangpur,6468124869,Jodinga,phc,9.57,6.31
427293.0,,nabarangpur,3582387241,Turudihi,phc,13.25,8.34
427299.0,,nabarangpur,6468124869,Jodinga,phc,18.26,11.6
427287.0,,nabarangpur,3582387241,Turudihi,phc,0.0,0.0
427301.0,,nabarangpur,6468124869,Jodinga,phc,14.87,9.32
427300.0,,nabarangpur,6468124869,Jodinga,phc,16.13,7.96
427289.0,,nabarangpur,3582387241,Turudihi,phc,5.78,3.14
427308.0,,nabarangpur,6468124869,Jodinga,phc,9.31,5.0
427303.0,,nabarangpur,6468124869,Jodinga,phc,8.04,5.12
427294.0,,nabarangpur,3582387241,Turudihi,phc,15.87,9.29
427291.0,,nabarangpur,3582387241,Turudihi,phc,6.97,3.31
427296.0,,nabarangpur,3582387241,Turudihi,phc,18.03,7.94
427309.0,,nabarangpur,6468124869,Jodinga,phc,4.98,3.27
427307.0,,nabarangpur,6468124869,Jodinga,phc,0.0,0.0
427298.0,,nabarangpur,3582387241,Turudihi,phc,14.06,8.76
