lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
406631.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406630.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406629.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406474.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,18.27,7.61
406470.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,18.36,7.65
406475.0,,nayagarh,2684356476,Sunamuhin,phc,22.65,9.39
406476.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,17.85,7.44
406440.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,18.36,7.65
406469.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,18.36,7.65
406467.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,18.36,7.65
406477.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,19.25,8.02
406503.0,,nayagarh,2684356476,Sunamuhin,phc,23.47,9.73
406502.0,,nayagarh,2684356476,Sunamuhin,phc,22.65,9.39
406473.0,,nayagarh,2684356476,Sunamuhin,phc,24.1,9.99
406472.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,18.36,7.65
406468.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,18.36,7.65
406471.0,,nayagarh,2684356476,Sunamuhin,phc,24.1,9.99
406439.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,18.36,7.65
406632.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406581.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406557.0,,nayagarh,2684356476,Sunamuhin,phc,4.81,2.01
406514.0,,nayagarh,7381818819,Komanda,phc,3.6,1.5
406561.0,,nayagarh,2684356476,Sunamuhin,phc,46.74,27.79
406593.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406611.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406573.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406550.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,5.66,2.35
406549.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,5.66,2.35
406511.0,,nayagarh,2684356476,Sunamuhin,phc,4.15,1.73
406576.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406589.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406564.0,,nayagarh,7381818819,Komanda,phc,0.0,0.0
406740.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406567.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406596.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406619.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406618.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406603.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406601.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406591.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406569.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406590.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406565.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406702.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406571.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406706.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406625.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406628.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406626.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406600.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406622.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406623.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406563.0,,nayagarh,7381818819,Komanda,phc,0.0,0.0
406552.0,,nayagarh,7381818819,Komanda,phc,3.07,1.28
406615.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406604.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406553.0,,nayagarh,7381818819,Komanda,phc,4.53,1.89
406570.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406588.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406579.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406598.0,,nayagarh,2684356476,Sunamuhin,phc,48.4,29.59
406582.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406545.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406620.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406627.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406624.0,,nayagarh,2684356476,Sunamuhin,phc,49.48,30.76
406574.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406578.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406556.0,,nayagarh,2684356476,Sunamuhin,phc,2.96,1.23
406548.0,,nayagarh,7743746526,Bahadajhola (K Dakua),phc,5.66,2.35
406583.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406577.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406605.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406505.0,,nayagarh,2684356476,Sunamuhin,phc,6.0,2.5
406617.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406599.0,,nayagarh,2684356476,Sunamuhin,phc,47.16,28.24
406610.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
406609.0,,nayagarh,7381818819,Komanda,phc,6.8,2.83
