lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
422247.0,,nuapada,1655613568,Timanpur,phc,24.71,21.77
422241.0,,nuapada,1655613568,Timanpur,phc,33.13,24.85
422242.0,,nuapada,1655613568,Timanpur,phc,27.17,22.55
422248.0,,nuapada,1655613568,Timanpur,phc,25.15,22.07
422249.0,,nuapada,1655613568,Timanpur,phc,22.19,20.17
422181.0,,nuapada,1655613568,Timanpur,phc,21.14,18.52
422229.0,,nuapada,1655613568,Timanpur,phc,14.57,14.15
422246.0,,nuapada,1655613568,Timanpur,phc,24.29,21.49
422175.0,,nuapada,1655613568,Timanpur,phc,54.47,33.74
422232.0,,nuapada,1655613568,Timanpur,phc,17.83,16.32
422231.0,,nuapada,1655613568,Timanpur,phc,14.57,14.15
422237.0,,nuapada,1655613568,Timanpur,phc,24.33,19.89
422233.0,,nuapada,1655613568,Timanpur,phc,18.14,16.53
422182.0,,nuapada,1655613568,Timanpur,phc,18.79,16.94
422170.0,,nuapada,1655613568,Timanpur,phc,59.57,34.61
422163.0,,nuapada,1655613568,Timanpur,phc,11.83,5.5
422160.0,,nuapada,1655613568,Timanpur,phc,4.3,2.36
422171.0,,nuapada,1655613568,Timanpur,phc,56.66,33.41
422173.0,,nuapada,1655613568,Timanpur,phc,52.37,31.62
422164.0,,nuapada,1655613568,Timanpur,phc,14.45,7.55
422140.0,,nuapada,1474653787,Karangamal,phc,10.0,4.98
422159.0,,nuapada,1655613568,Timanpur,phc,0.0,0.0
422152.0,,nuapada,1655613568,Timanpur,phc,5.8,4.04
422176.0,,nuapada,1655613568,Timanpur,phc,37.5,25.43
422178.0,,nuapada,1655613568,Timanpur,phc,20.75,9.21
422165.0,,nuapada,1655613568,Timanpur,phc,17.38,8.77
422167.0,,nuapada,1655613568,Timanpur,phc,24.89,10.94
422243.0,,nuapada,1655613568,Timanpur,phc,24.73,20.93
422245.0,,nuapada,1655613568,Timanpur,phc,25.15,22.07
422240.0,,nuapada,1655613568,Timanpur,phc,42.69,28.83
422184.0,,nuapada,1655613568,Timanpur,phc,16.4,15.35
422185.0,,nuapada,1655613568,Timanpur,phc,12.32,12.66
422179.0,,nuapada,1655613568,Timanpur,phc,16.16,7.29
422168.0,,nuapada,1111436422,BHAINSADANI,phc,63.69,26.52
422157.0,,nuapada,1655613568,Timanpur,phc,5.01,6.99
422162.0,,nuapada,1655613568,Timanpur,phc,8.25,4.79
422158.0,,nuapada,1655613568,Timanpur,phc,5.59,7.81
422239.0,,nuapada,1655613568,Timanpur,phc,28.88,21.83
422238.0,,nuapada,1655613568,Timanpur,phc,21.05,18.47
422236.0,,nuapada,1655613568,Timanpur,phc,19.58,17.49
422235.0,,nuapada,1655613568,Timanpur,phc,19.69,17.55
422234.0,,nuapada,1655613568,Timanpur,phc,16.67,15.55
422172.0,,nuapada,1655613568,Timanpur,phc,59.81,34.72
422174.0,,nuapada,1655613568,Timanpur,phc,50.77,30.91
422177.0,,nuapada,1655613568,Timanpur,phc,38.23,25.73
422180.0,,nuapada,1655613568,Timanpur,phc,23.75,19.7
422183.0,,nuapada,1655613568,Timanpur,phc,4.67,3.31
422148.0,,nuapada,1111436422,BHAINSADANI,phc,59.14,24.62
422186.0,,nuapada,1655613568,Timanpur,phc,3.47,4.81
422169.0,,nuapada,1655613568,Timanpur,phc,61.99,35.62
422166.0,,nuapada,1655613568,Timanpur,phc,20.65,9.13
422161.0,,nuapada,1655613568,Timanpur,phc,9.98,4.7
422244.0,,nuapada,1655613568,Timanpur,phc,22.21,19.25
422250.0,,nuapada,1655613568,Timanpur,phc,22.19,20.17
422189.0,,nuapada,1655613568,Timanpur,phc,7.75,9.61
422193.0,,nuapada,1655613568,Timanpur,phc,8.02,10.78
422187.0,,nuapada,1655613568,Timanpur,phc,4.33,6.14
422253.0,,nuapada,1655613568,Timanpur,phc,21.36,19.61
422227.0,,nuapada,1655613568,Timanpur,phc,15.76,15.88
422218.0,,nuapada,8827281273,Hatibandha,phc,11.01,7.02
422225.0,,nuapada,1655613568,Timanpur,phc,6.59,9.34
422220.0,,nuapada,8827281273,Hatibandha,phc,6.14,7.73
422230.0,,nuapada,1655613568,Timanpur,phc,14.57,14.15
422258.0,,nuapada,1655613568,Timanpur,phc,15.6,15.78
422203.0,,nuapada,8827281273,Hatibandha,phc,4.13,4.36
422198.0,,nuapada,8827281273,Hatibandha,phc,4.57,5.62
422205.0,,nuapada,8827281273,Hatibandha,phc,1.45,1.19
422211.0,,nuapada,3664237744,Liad,phc,0.04,0.01
422142.0,,nuapada,1474653787,Karangamal,phc,8.46,5.08
422257.0,,nuapada,1655613568,Timanpur,phc,17.66,17.15
422268.0,,nuapada,8827281273,Hatibandha,phc,9.99,6.63
422266.0,,nuapada,8827281273,Hatibandha,phc,9.99,6.63
422267.0,,nuapada,8827281273,Hatibandha,phc,9.99,6.63
422196.0,,nuapada,8827281273,Hatibandha,phc,6.86,8.75
422147.0,,nuapada,1474653787,Karangamal,phc,18.23,8.3
422145.0,,nuapada,8827281273,Hatibandha,phc,16.68,14.16
422200.0,,nuapada,1474653787,Karangamal,phc,19.25,8.72
422146.0,,nuapada,1474653787,Karangamal,phc,5.74,3.82
422199.0,,nuapada,1474653787,Karangamal,phc,15.82,7.29
422222.0,,nuapada,1655613568,Timanpur,phc,11.63,13.13
422202.0,,nuapada,8827281273,Hatibandha,phc,19.18,16.48
422201.0,,nuapada,8827281273,Hatibandha,phc,18.82,16.24
422223.0,,nuapada,1655613568,Timanpur,phc,13.69,14.5
422219.0,,nuapada,8827281273,Hatibandha,phc,11.01,7.02
422265.0,,nuapada,8827281273,Hatibandha,phc,9.99,6.63
422217.0,,nuapada,8827281273,Hatibandha,phc,9.99,6.63
422255.0,,nuapada,1655613568,Timanpur,phc,17.76,17.21
422251.0,,nuapada,1655613568,Timanpur,phc,22.19,20.17
422188.0,,nuapada,1655613568,Timanpur,phc,9.45,10.74
422262.0,,nuapada,1655613568,Timanpur,phc,22.25,20.21
422260.0,,nuapada,1655613568,Timanpur,phc,21.73,19.87
422264.0,,nuapada,8827281273,Hatibandha,phc,9.99,6.63
422254.0,,nuapada,1655613568,Timanpur,phc,19.68,18.5
422256.0,,nuapada,1655613568,Timanpur,phc,17.41,16.99
422259.0,,nuapada,1655613568,Timanpur,phc,20.87,19.29
422191.0,,nuapada,1655613568,Timanpur,phc,9.87,9.54
422212.0,,nuapada,3664237744,Liad,phc,0.14,0.06
422194.0,,nuapada,8827281273,Hatibandha,phc,7.73,8.78
422144.0,,nuapada,1655613568,Timanpur,phc,14.11,11.31
