lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
426475.0,,rayagada,1552546556,Kumbhikota,phc,34.07,36.01
426478.0,,rayagada,1552546556,Kumbhikota,phc,34.07,36.01
426476.0,,rayagada,1552546556,Kumbhikota,phc,34.12,36.04
426477.0,,rayagada,1552546556,Kumbhikota,phc,34.12,36.04
426117.0,,rayagada,6744157741,Kuchiepadar,phc,23.18,15.36
426115.0,,rayagada,6744157741,Kuchiepadar,phc,20.96,13.88
426114.0,,rayagada,6744157741,Kuchiepadar,phc,19.73,13.07
426116.0,,rayagada,6744157741,Kuchiepadar,phc,23.18,15.36
425986.0,,rayagada,6744157741,Kuchiepadar,phc,1.55,1.03
426174.0,,rayagada,6744157741,Kuchiepadar,phc,6.64,4.42
426176.0,,rayagada,6744157741,Kuchiepadar,phc,16.1,10.74
426145.0,,rayagada,6744157741,Kuchiepadar,phc,1.51,1.01
426146.0,,rayagada,6744157741,Kuchiepadar,phc,0.79,0.53
426142.0,,rayagada,6744157741,Kuchiepadar,phc,1.7,1.13
426141.0,,rayagada,6744157741,Kuchiepadar,phc,3.04,2.03
426152.0,,rayagada,7271782869,Dongasil,phc,3.45,2.3
426150.0,,rayagada,6744157741,Kuchiepadar,phc,3.88,2.59
426151.0,,rayagada,7271782869,Dongasil,phc,4.42,2.95
426138.0,,rayagada,7271782869,Dongasil,phc,3.2,2.14
426170.0,,rayagada,6744157741,Kuchiepadar,phc,7.3,4.87
426171.0,,rayagada,6744157741,Kuchiepadar,phc,2.91,1.95
426167.0,,rayagada,6744157741,Kuchiepadar,phc,10.46,6.98
426169.0,,rayagada,6744157741,Kuchiepadar,phc,7.7,5.13
426168.0,,rayagada,6744157741,Kuchiepadar,phc,9.01,6.01
426159.0,,rayagada,7271782869,Dongasil,phc,6.59,4.41
426161.0,,rayagada,6744157741,Kuchiepadar,phc,31.8,21.11
426165.0,,rayagada,6744157741,Kuchiepadar,phc,30.68,20.37
426164.0,,rayagada,6744157741,Kuchiepadar,phc,30.65,20.35
426163.0,,rayagada,6744157741,Kuchiepadar,phc,30.68,20.37
426166.0,,rayagada,6744157741,Kuchiepadar,phc,30.57,20.3
426156.0,,rayagada,7271782869,Dongasil,phc,3.8,2.53
426157.0,,rayagada,7271782869,Dongasil,phc,3.88,2.59
426154.0,,rayagada,7271782869,Dongasil,phc,3.66,2.44
426105.0,,rayagada,6744157741,Kuchiepadar,phc,9.4,6.27
426113.0,,rayagada,6744157741,Kuchiepadar,phc,19.73,13.07
426111.0,,rayagada,6744157741,Kuchiepadar,phc,16.63,11.09
426112.0,,rayagada,6744157741,Kuchiepadar,phc,16.63,11.09
426175.0,,rayagada,6744157741,Kuchiepadar,phc,15.79,10.53
426148.0,,rayagada,6744157741,Kuchiepadar,phc,3.21,2.14
426162.0,,rayagada,8665417740,Tikiri,phc,168.26,183.09
426155.0,,rayagada,6744157741,Kuchiepadar,phc,10.46,6.98
426160.0,,rayagada,7271782869,Dongasil,phc,6.59,4.41
426153.0,,rayagada,7271782869,Dongasil,phc,3.57,2.38
426149.0,,rayagada,6744157741,Kuchiepadar,phc,3.76,2.51
426137.0,,rayagada,7271782869,Dongasil,phc,4.31,2.87
426147.0,,rayagada,6744157741,Kuchiepadar,phc,0.0,0.0
426158.0,,rayagada,7271782869,Dongasil,phc,6.59,4.41
426480.0,,rayagada,1552546556,Kumbhikota,phc,32.48,22.97
426481.0,,rayagada,1552546556,Kumbhikota,phc,32.48,22.97
426474.0,,rayagada,1552546556,Kumbhikota,phc,11.79,16.69
426479.0,,rayagada,1552546556,Kumbhikota,phc,39.26,27.69
426484.0,,rayagada,1552546556,Kumbhikota,phc,32.03,22.48
426482.0,,rayagada,1552546556,Kumbhikota,phc,30.88,22.16
426483.0,,rayagada,1552546556,Kumbhikota,phc,32.03,22.48
426486.0,,rayagada,1552546556,Kumbhikota,phc,27.6,19.9
426471.0,,rayagada,1552546556,Kumbhikota,phc,8.16,11.55
426472.0,,rayagada,1552546556,Kumbhikota,phc,8.67,12.28
426485.0,,rayagada,1552546556,Kumbhikota,phc,32.03,22.48
426473.0,,rayagada,1552546556,Kumbhikota,phc,9.73,13.77
426487.0,,rayagada,1552546556,Kumbhikota,phc,23.73,15.95
426488.0,,rayagada,1552546556,Kumbhikota,phc,23.29,15.76
426490.0,,rayagada,1552546556,Kumbhikota,phc,1.34,1.91
426489.0,,rayagada,1552546556,Kumbhikota,phc,0.88,1.25
