lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
419806.0,,sonepur,2551341239,Kamsara,phc,33.31,14.31
419808.0,,sonepur,2551341239,Kamsara,phc,31.95,14.78
419811.0,,sonepur,2551341239,Kamsara,phc,33.43,13.9
419813.0,,sonepur,2551341239,Kamsara,phc,33.45,13.91
419784.0,,sonepur,2551341239,Kamsara,phc,30.22,12.53
419789.0,,sonepur,2551341239,Kamsara,phc,24.04,9.94
419809.0,,sonepur,2551341239,Kamsara,phc,33.2,15.62
419781.0,,sonepur,2551341239,Kamsara,phc,28.82,13.78
419772.0,,sonepur,2551341239,Kamsara,phc,22.46,9.31
419792.0,,sonepur,2551341239,Kamsara,phc,24.51,10.17
419790.0,,sonepur,2551341239,Kamsara,phc,27.05,11.24
419786.0,,sonepur,2551341239,Kamsara,phc,27.05,11.21
419791.0,,sonepur,2551341239,Kamsara,phc,26.11,10.83
419794.0,,sonepur,2551341239,Kamsara,phc,20.3,8.43
419810.0,,sonepur,2551341239,Kamsara,phc,32.83,15.38
419797.0,,sonepur,2551341239,Kamsara,phc,26.92,11.31
419796.0,,sonepur,2551341239,Kamsara,phc,25.38,10.53
419783.0,,sonepur,2551341239,Kamsara,phc,27.83,11.53
419805.0,,sonepur,2551341239,Kamsara,phc,34.59,14.83
419804.0,,sonepur,2551341239,Kamsara,phc,30.76,13.25
419814.0,,sonepur,2551341239,Kamsara,phc,31.8,13.21
419785.0,,sonepur,2551341239,Kamsara,phc,30.12,12.48
419807.0,,sonepur,2551341239,Kamsara,phc,31.3,14.35
419795.0,,sonepur,2551341239,Kamsara,phc,25.97,10.79
419780.0,,sonepur,2551341239,Kamsara,phc,28.36,13.59
419762.0,,sonepur,2551341239,Kamsara,phc,21.84,9.03
419801.0,,sonepur,2551341239,Kamsara,phc,35.28,15.11
419803.0,,sonepur,2551341239,Kamsara,phc,32.78,14.09
419799.0,,sonepur,2551341239,Kamsara,phc,32.95,14.12
419776.0,,sonepur,2551341239,Kamsara,phc,20.65,10.47
419766.0,,sonepur,2551341239,Kamsara,phc,12.7,5.26
419736.0,,sonepur,2551341239,Kamsara,phc,29.83,14.52
419802.0,,sonepur,2551341239,Kamsara,phc,34.2,14.68
419768.0,,sonepur,2551341239,Kamsara,phc,21.81,9.06
419767.0,,sonepur,2551341239,Kamsara,phc,14.83,6.15
419778.0,,sonepur,2551341239,Kamsara,phc,22.74,11.25
419779.0,,sonepur,2551341239,Kamsara,phc,24.15,11.84
419774.0,,sonepur,2551341239,Kamsara,phc,17.41,7.2
419763.0,,sonepur,2551341239,Kamsara,phc,26.39,10.93
419787.0,,sonepur,2551341239,Kamsara,phc,28.27,11.74
419769.0,,sonepur,2551341239,Kamsara,phc,24.3,10.07
419812.0,,sonepur,2551341239,Kamsara,phc,34.56,14.36
419770.0,,sonepur,2551341239,Kamsara,phc,18.84,7.84
419773.0,,sonepur,2551341239,Kamsara,phc,21.25,8.85
419777.0,,sonepur,2551341239,Kamsara,phc,19.41,9.95
419735.0,,sonepur,2551341239,Kamsara,phc,29.83,14.52
419793.0,,sonepur,2551341239,Kamsara,phc,22.76,9.45
419798.0,,sonepur,2551341239,Kamsara,phc,31.86,13.67
419788.0,,sonepur,2551341239,Kamsara,phc,22.89,9.48
419771.0,,sonepur,2551341239,Kamsara,phc,19.18,7.94
419782.0,,sonepur,2551341239,Kamsara,phc,30.38,12.6
419800.0,,sonepur,2551341239,Kamsara,phc,34.31,14.68
419720.0,,sonepur,2551341239,Kamsara,phc,7.41,3.08
419729.0,,sonepur,2551341239,Kamsara,phc,23.62,13.36
419722.0,,sonepur,2551341239,Kamsara,phc,9.64,4.13
419728.0,,sonepur,2551341239,Kamsara,phc,24.67,14.06
419726.0,,sonepur,2551341239,Kamsara,phc,23.0,12.95
419717.0,,sonepur,2551341239,Kamsara,phc,5.31,2.19
419724.0,,sonepur,2551341239,Kamsara,phc,19.43,10.57
419721.0,,sonepur,2551341239,Kamsara,phc,9.13,3.78
419750.0,,sonepur,2551341239,Kamsara,phc,12.68,5.39
419754.0,,sonepur,2551341239,Kamsara,phc,7.92,3.26
419745.0,,sonepur,2551341239,Kamsara,phc,14.37,6.81
419752.0,,sonepur,2551341239,Kamsara,phc,7.29,3.03
419742.0,,sonepur,2551341239,Kamsara,phc,27.84,13.45
419730.0,,sonepur,2551341239,Kamsara,phc,25.13,14.37
419716.0,,sonepur,2551341239,Kamsara,phc,18.12,7.52
419725.0,,sonepur,2551341239,Kamsara,phc,20.51,11.29
419703.0,,sonepur,2551341239,Kamsara,phc,23.6,13.35
419705.0,,sonepur,2551341239,Kamsara,phc,22.13,12.29
419710.0,,sonepur,2551341239,Kamsara,phc,18.57,9.99
419708.0,,sonepur,2551341239,Kamsara,phc,21.9,12.18
250549.0,,sonepur,8754687211,Pua,phc,19.48,13.41
419741.0,,sonepur,2551341239,Kamsara,phc,22.83,11.35
419715.0,,sonepur,2551341239,Kamsara,phc,14.18,5.89
419714.0,,sonepur,2551341239,Kamsara,phc,14.16,7.14
419707.0,,sonepur,2551341239,Kamsara,phc,22.48,12.5
419704.0,,sonepur,2551341239,Kamsara,phc,22.7,12.65
419687.0,,sonepur,8754687211,Pua,phc,24.02,16.4
419686.0,,sonepur,8754687211,Pua,phc,21.92,15.0
419734.0,,sonepur,2551341239,Kamsara,phc,31.36,15.54
419757.0,,sonepur,2551341239,Kamsara,phc,5.65,2.31
419743.0,,sonepur,2551341239,Kamsara,phc,18.34,7.75
419732.0,,sonepur,2551341239,Kamsara,phc,29.29,16.9
419765.0,,sonepur,2551341239,Kamsara,phc,8.24,3.41
419699.0,,sonepur,8754687211,Pua,phc,25.44,17.35
419744.0,,sonepur,2551341239,Kamsara,phc,16.14,6.83
419756.0,,sonepur,2551341239,Kamsara,phc,2.83,1.15
419719.0,,sonepur,2551341239,Kamsara,phc,5.83,2.43
419713.0,,sonepur,2551341239,Kamsara,phc,18.54,7.71
419712.0,,sonepur,2551341239,Kamsara,phc,16.74,8.86
419761.0,,sonepur,2551341239,Kamsara,phc,19.93,8.23
419760.0,,sonepur,2551341239,Kamsara,phc,11.37,4.71
419764.0,,sonepur,2551341239,Kamsara,phc,10.82,4.48
419747.0,,sonepur,2551341239,Kamsara,phc,14.33,5.93
419746.0,,sonepur,2551341239,Kamsara,phc,16.28,8.08
419753.0,,sonepur,2551341239,Kamsara,phc,11.7,4.83
419748.0,,sonepur,2551341239,Kamsara,phc,13.42,5.54
419759.0,,sonepur,2551341239,Kamsara,phc,7.19,2.97
419749.0,,sonepur,2551341239,Kamsara,phc,11.27,4.67
419723.0,,sonepur,2551341239,Kamsara,phc,15.06,6.38
419718.0,,sonepur,2551341239,Kamsara,phc,2.47,1.02
419711.0,,sonepur,2551341239,Kamsara,phc,17.71,9.42
419709.0,,sonepur,2551341239,Kamsara,phc,17.34,9.26
419685.0,,sonepur,8754687211,Pua,phc,20.77,14.23
419688.0,,sonepur,8754687211,Pua,phc,21.29,14.61
419691.0,,sonepur,8261788718,Haradakhol,phc,23.21,24.61
419758.0,,sonepur,2551341239,Kamsara,phc,4.9,2.02
419775.0,,sonepur,2551341239,Kamsara,phc,14.85,6.15
419740.0,,sonepur,2551341239,Kamsara,phc,25.46,12.41
419727.0,,sonepur,2551341239,Kamsara,phc,24.18,13.74
419731.0,,sonepur,2551341239,Kamsara,phc,26.13,15.04
419751.0,,sonepur,2551341239,Kamsara,phc,10.9,4.88
419706.0,,sonepur,2551341239,Kamsara,phc,21.08,11.59
419689.0,,sonepur,8754687211,Pua,phc,21.24,14.58
419737.0,,sonepur,2551341239,Kamsara,phc,27.73,13.36
419738.0,,sonepur,2551341239,Kamsara,phc,29.08,14.02
419739.0,,sonepur,2551341239,Kamsara,phc,30.17,14.74
419700.0,,sonepur,8754687211,Pua,phc,25.44,17.35
419755.0,,sonepur,2551341239,Kamsara,phc,0.0,0.0
419648.0,,sonepur,8754687211,Pua,phc,4.24,2.83
419626.0,,sonepur,8261788718,Haradakhol,phc,14.81,12.31
419618.0,,sonepur,6338866327,Lachhipur,phc,10.49,7.07
419647.0,,sonepur,8754687211,Pua,phc,3.22,2.15
419611.0,,sonepur,7246477355,Menda,phc,0.0,0.0
419679.0,,sonepur,8754687211,Pua,phc,29.05,19.77
419678.0,,sonepur,8754687211,Pua,phc,28.26,19.25
419673.0,,sonepur,8261788718,Haradakhol,phc,22.58,24.19
419680.0,,sonepur,8754687211,Pua,phc,13.76,9.22
419646.0,,sonepur,8754687211,Pua,phc,0.0,0.0
419635.0,,sonepur,8754687211,Pua,phc,15.87,11.06
419628.0,,sonepur,8754687211,Pua,phc,19.49,13.4
419653.0,,sonepur,8754687211,Pua,phc,15.54,10.34
419677.0,,sonepur,8754687211,Pua,phc,26.85,18.32
419690.0,,sonepur,8754687211,Pua,phc,22.0,15.09
419676.0,,sonepur,8754687211,Pua,phc,25.99,17.74
419682.0,,sonepur,8754687211,Pua,phc,12.67,8.4
419683.0,,sonepur,8754687211,Pua,phc,12.95,8.6
419637.0,,sonepur,8754687211,Pua,phc,15.73,10.46
419632.0,,sonepur,8261788718,Haradakhol,phc,10.5,12.93
419630.0,,sonepur,8754687211,Pua,phc,18.64,12.91
419638.0,,sonepur,8754687211,Pua,phc,16.31,11.35
419636.0,,sonepur,8754687211,Pua,phc,18.86,13.06
419639.0,,sonepur,8754687211,Pua,phc,13.41,9.43
419645.0,,sonepur,8754687211,Pua,phc,4.62,3.08
419633.0,,sonepur,8261788718,Haradakhol,phc,14.79,15.79
419642.0,,sonepur,8754687211,Pua,phc,6.7,4.96
419644.0,,sonepur,8754687211,Pua,phc,7.13,4.75
419643.0,,sonepur,8754687211,Pua,phc,3.23,2.15
419658.0,,sonepur,8261788718,Haradakhol,phc,9.05,12.83
419651.0,,sonepur,8754687211,Pua,phc,8.9,5.93
419652.0,,sonepur,8754687211,Pua,phc,6.24,4.16
419659.0,,sonepur,8261788718,Haradakhol,phc,7.82,11.08
419641.0,,sonepur,8754687211,Pua,phc,11.84,8.37
419640.0,,sonepur,8754687211,Pua,phc,13.54,8.75
419616.0,,sonepur,8754687211,Pua,phc,5.41,4.09
419675.0,,sonepur,8754687211,Pua,phc,26.32,17.96
419681.0,,sonepur,8754687211,Pua,phc,11.32,7.55
419655.0,,sonepur,8261788718,Haradakhol,phc,9.88,14.0
419650.0,,sonepur,8754687211,Pua,phc,5.92,3.95
419649.0,,sonepur,8754687211,Pua,phc,4.52,3.02
419623.0,,sonepur,8754687211,Pua,phc,12.34,8.7
419631.0,,sonepur,8261788718,Haradakhol,phc,6.91,9.79
419654.0,,sonepur,8754687211,Pua,phc,14.21,9.45
419634.0,,sonepur,8754687211,Pua,phc,19.38,13.33
419684.0,,sonepur,8754687211,Pua,phc,19.17,13.21
419627.0,,sonepur,8261788718,Haradakhol,phc,14.83,12.33
