lgd_villagecode,village_name,district,NIN,facility_name,facility_type,travel_time_min,distance_km
383618.0,,sundargarh,5362151812,Kanika,phc,26.46,15.0
383611.0,,sundargarh,5362151812,Kanika,phc,31.54,17.12
383594.0,,sundargarh,5362151812,Kanika,phc,17.72,11.67
383620.0,,sundargarh,5362151812,Kanika,phc,8.32,5.4
383596.0,,sundargarh,5362151812,Kanika,phc,15.79,9.67
383619.0,,sundargarh,5362151812,Kanika,phc,31.44,17.07
383609.0,,sundargarh,5362151812,Kanika,phc,6.87,4.44
383623.0,,sundargarh,5362151812,Kanika,phc,42.0,31.5
383615.0,,sundargarh,5362151812,Kanika,phc,26.95,17.79
383624.0,,sundargarh,5362151812,Kanika,phc,38.79,26.97
383616.0,,sundargarh,5362151812,Kanika,phc,29.78,19.47
383625.0,,sundargarh,5362151812,Kanika,phc,42.03,31.54
383617.0,,sundargarh,5362151812,Kanika,phc,22.02,13.15
383593.0,,sundargarh,5362151812,Kanika,phc,20.95,13.83
383597.0,,sundargarh,5362151812,Kanika,phc,10.26,6.61
383627.0,,sundargarh,5362151812,Kanika,phc,42.0,31.5
383610.0,,sundargarh,5362151812,Kanika,phc,7.6,4.93
383595.0,,sundargarh,5362151812,Kanika,phc,16.52,9.98
383612.0,,sundargarh,5362151812,Kanika,phc,13.56,8.89
383613.0,,sundargarh,5362151812,Kanika,phc,22.79,15.04
383614.0,,sundargarh,5362151812,Kanika,phc,28.96,16.04
383569.0,,sundargarh,7111222647,Gopalpur,phc,31.18,22.02
383537.0,,sundargarh,7111222647,Gopalpur,phc,31.18,22.02
383541.0,,sundargarh,5362151812,Kanika,phc,26.1,17.29
383598.0,,sundargarh,5362151812,Kanika,phc,4.43,2.81
383590.0,,sundargarh,5362151812,Kanika,phc,4.83,3.12
383592.0,,sundargarh,5362151812,Kanika,phc,21.13,13.94
383540.0,,sundargarh,5362151812,Kanika,phc,25.52,16.89
383565.0,,sundargarh,5362151812,Kanika,phc,24.32,16.1
383571.0,,sundargarh,5362151812,Kanika,phc,23.79,15.75
383570.0,,sundargarh,7111222647,Gopalpur,phc,48.07,29.01
383563.0,,sundargarh,5362151812,Kanika,phc,20.7,13.68
383575.0,,sundargarh,5362151812,Kanika,phc,9.05,5.93
383568.0,,sundargarh,5362151812,Kanika,phc,25.52,16.89
383564.0,,sundargarh,5362151812,Kanika,phc,24.32,16.1
383567.0,,sundargarh,5362151812,Kanika,phc,24.32,16.1
383574.0,,sundargarh,5362151812,Kanika,phc,13.44,8.86
383562.0,,sundargarh,5362151812,Kanika,phc,18.27,12.08
383573.0,,sundargarh,5362151812,Kanika,phc,13.32,8.78
383526.0,,sundargarh,4473841239,Duduka,phc,19.3,12.86
383572.0,,sundargarh,5362151812,Kanika,phc,18.74,12.37
383581.0,,sundargarh,4473841239,Duduka,phc,38.38,17.9
383579.0,,sundargarh,4473841239,Duduka,phc,31.36,16.12
383588.0,,sundargarh,5362151812,Kanika,phc,82.44,64.26
383607.0,,sundargarh,5362151812,Kanika,phc,3.91,2.48
383544.0,,sundargarh,4473841239,Duduka,phc,15.67,10.45
383602.0,,sundargarh,5362151812,Kanika,phc,81.96,64.05
383546.0,,sundargarh,4473841239,Duduka,phc,9.43,6.28
383556.0,,sundargarh,4473841239,Duduka,phc,38.3,17.87
