village_id,first_stop,assigned_DH_SDH,closest_facility_type,t_phc_min,t_chc_min,t_dh_sdh_min,d_phc_km,d_chc_km,d_dh_sdh_km,phc_is_functional,chc_is_functional,comment
382348,1111346332,6184284633,PHC,24.868333333333332,99.69166666666666,89.47333333333333,10.3344,77.89160000000001,63.558699999999995,True,True,PHC is closer and functional
382349,1111346332,6184284633,PHC,0.0,100.855,90.63666666666667,0.0,78.3814,64.0485,True,True,PHC is closer and functional
382350,1111346332,6184284633,PHC,2.8316666666666666,98.02333333333333,87.805,1.1747999999999998,77.20660000000001,62.8738,True,True,PHC is closer and functional
382351,1111346332,6184284633,PHC,3.065,97.78999999999999,87.57166666666667,1.2715999999999998,77.1098,62.777,True,True,PHC is closer and functional
382352,1111346332,6184284633,PHC,5.13,95.725,85.50666666666666,2.1321999999999997,76.2492,61.9164,True,True,PHC is closer and functional
382354,1111346332,6184284633,PHC,6.525,94.33,84.11166666666666,2.7113,75.6701,61.337300000000006,True,True,PHC is closer and functional
382353,1111346332,6184284633,PHC,5.096666666666667,95.75833333333334,85.53999999999999,2.1182,76.2632,61.9303,True,True,PHC is closer and functional
382355,1111346332,6184284633,PHC,4.756666666666666,96.09833333333333,85.88000000000001,1.9764000000000002,76.405,62.0721,True,True,PHC is closer and functional
382356,1111346332,6184284633,PHC,6.525,94.33,84.11166666666666,2.7113,75.6701,61.337300000000006,True,True,PHC is closer and functional
382357,1111346332,6184284633,PHC,6.2316666666666665,94.62333333333332,84.405,2.5896,75.79180000000001,61.459,True,True,PHC is closer and functional
382364,1111346332,6184284633,PHC,51.309999999999995,77.19833333333332,66.98,24.868299999999998,64.9876,50.6547,True,True,PHC is closer and functional
382363,1111346332,6184284633,PHC,51.309999999999995,77.19833333333332,66.98,24.868299999999998,64.9876,50.6547,True,True,PHC is closer and functional
382365,1111346332,6184284633,PHC,50.755,76.64333333333335,66.425,24.6373,64.75659999999999,50.4237,True,True,PHC is closer and functional
382366,Village→DH/SDH,6184284633,DH/SDH,48.52333333333333,38.28333333333333,36.05,25.6034,30.454900000000002,27.3309,True,True,Direct to DH/SDH
382447,1111346332,6184284633,PHC,48.151666666666664,74.03999999999999,63.82166666666667,23.5548,63.674,49.3412,True,True,PHC is closer and functional
382359,Village→DH/SDH,6184284633,DH/SDH,48.52333333333333,38.28333333333333,36.05,25.6034,30.454900000000002,27.3309,True,True,Direct to DH/SDH
382358,6137845688,6184284633,CHC,110.31166666666667,12.09,19.836666666666666,91.9436,13.6046,27.8951,True,True,CHC is closer and functional
382503,1111346365,6184284633,PHC,16.11,38.059999999999995,27.841666666666665,10.0275,41.5832,27.2503,True,True,PHC is closer and functional
382506,1111346365,6184284633,PHC,5.543333333333334,27.493333333333332,17.275,3.7849,35.3406,21.0077,True,True,PHC is closer and functional
